,UKF296,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH916T1
IGFL3,,,,,-0.017325835131073473
BMP1,-0.002399775647117079,0.03434929060907499,0.026956059734582254,0.06303276584495454,0.013169977019753417
NDP,0.049209238064284705,-0.07342699845925205,0.07234856760828322,-0.049777348158778496,0.010203426937791558
TNFSF18,,-0.04345011358704349,,,-0.029225586324754974
RTN4,0.032855268252125126,-0.0825799008354444,-0.07489368004194664,0.007868373940692763,-0.0029853980242944837
HEBP1,-0.025340074239965524,-0.018310203453574418,-0.046411172328730474,0.06835027134650995,0.038934054917051014
WNT7B,-0.013874670368349091,,-0.02950957449211772,-0.03096921675669285,-0.03698053462028143
PTMA,0.030563175971188298,0.060106093121916726,-0.053759932926159194,0.04441448574388143,-0.05578101052955593
FASLG,,,,,0.012209935968477277
CEACAM1,,0.07501531487348118,-0.02646465906966194,-0.017353579608360835,-0.020907433365937325
PDAP1,0.009664458023151114,-1.5541611673753666e-05,-0.028866553354516312,-0.041393779391352796,0.04777972429130594
QDPR,0.047254915268551495,0.06975919515895487,-0.07235290373901826,-0.02790824831288259,0.036564393584621865
POMC,-0.02947801576218885,0.13281835844725332,0.06538202088301721,0.0007779291185669737,0.02425206934910256
CCL18,,,-0.01876387840112489,0.044913242051203374,
CCL17,-0.01717295245800378,,,0.1261057063284145,0.016707170804831837
VEGFD,0.00963924946908152,-0.05519381655545099,,,
TNFSF13,,,,-0.023623966862726286,0.016251483986972296
WNT5A,0.030673835277256874,-0.029082309674421308,0.014737375067841235,-0.023578536906661948,0.014747021675640216
CXCL8,-0.011730472125192286,0.020748666222859674,-0.011120701169095448,0.03285566256428581,0.02415210952063074
GRN,-0.04094118826239298,0.09236560240178156,0.018581032918622238,0.07574394312321305,0.00801403138359303
MIA,-0.014325943637501176,0.08502548628668269,-0.03680136216872236,-0.001903241303057945,0.01350983199652053
COL4A4,-0.024066446006498526,-0.06360299935997472,-0.023723405134213962,0.02449006024729284,0.0487445795186809
TAC1,0.052857091593148976,,,,-0.017904884808858833
RARRES2,0.08244214256607534,-0.04900022384049665,-0.00526499060079759,0.04686809558631521,-0.010228715265002493
FGF7,-0.01223541876439369,-0.02546452915630624,-0.027190886843913537,-0.04855742432093731,0.04303228657335731
HBEGF,0.05067569749670127,0.044320608923244575,-0.015070883215133115,0.012036747567098103,-0.01750718229292836
CSF3,,,,0.0647145165122203,0.04311153639044865
PI3,,,,0.005773000301520891,0.009249141766176595
PCSK1N,0.037596728566377476,-0.008082455343084525,0.019799271868955727,-0.03098622285768129,0.03072879348382789
NTS,-0.006073208322402857,,,-0.028721505764862904,0.09739079124148993
SFRP1,-0.017172952630949513,-0.03476138661544599,-0.042895818018319765,0.015286511793941976,-0.020741786038921448
CXCL13,,,,-0.010795633061133982,
MICA,0.04460050152774784,0.017977116547346683,0.036369662960532324,0.00568519906037977,0.07964350754841645
TG,-0.01242799111823115,0.11620242661270745,0.04308912711822932,-0.01635893839530451,0.10617691401086844
ADA,-0.020184057035718336,0.06782134678816525,0.05119404504139083,0.020632666956438343,0.027992889798366165
LAMC3,-0.003902021749972664,0.06949756206182414,0.00979911889295794,-0.00517252540755034,0.00426406618258325
CCL7,,,,-0.018452137853986767,-0.015026685555074033
NGF,,0.002476174009925895,-0.027884307964518632,-0.021310742016028898,-0.035446909034534596
TNFSF15,,0.04998127908249939,0.022468970463039566,-0.017988762411259948,0.0262108158727123
HMGB1,-0.013100335262265537,-0.09395768403927572,-0.0003080515807570261,-0.015405345717208953,0.01223448424651784
ITGB3BP,-0.0006658781848579874,-0.005732672943306437,-0.04898772800668559,-0.02484484345814414,0.03829438752060219
AANAT,-0.01432594443434674,,-0.019543365901659553,-0.01618773144408127,-0.015898859962787042
RELN,0.04785563123526309,0.03023080843501132,,,
IL15,-0.021516837710349363,0.03693338054151579,0.13600252857262823,-0.029656587244173704,0.03688476104166126
UTS2,,,,-0.013785038065659647,
BSG,0.002217445767217943,0.011704632931709058,0.060658644009917495,-0.012111131145155676,0.04550737174047813
ADAMTS3,-0.02281744646502204,,-0.023401191070116015,0.08636929398154106,0.012961805829334918
CD34,-0.005747598742553479,-0.08243666947402381,-0.00989661887315021,-0.04238282355466682,-0.02105180479587885
PLAT,0.0042090338966725115,0.07959462646577478,-0.0320476491861601,0.032813804818360534,0.04144889957514502
NTF3,-0.02312549183587223,,,0.06269998427295363,
LTA,,,,,-0.021397469494210394
CKLF,0.02124624698015176,0.12835985646542153,0.0794141133781218,-0.013333456903353923,0.06664854621920178
CD24,-0.06083056393349869,-0.14051379517729484,0.05365479405008958,-0.0542313965287014,0.055478672849910135
HSP90AA1,-0.052514338215749135,-0.1336156561060098,-0.10295038496119602,-0.00868198675569256,-0.04090575175111659
BMP4,0.035432987573523055,-0.07588214956251395,0.046266262536821146,0.022621525355629526,0.003118697221298671
SCGB3A1,-0.012084074247985296,0.0038752199630806756,,-0.02808493387576785,-0.018054866578821695
IGFBP4,0.0003822068763610701,0.010952440047732968,0.01715821819632642,0.03715263734296084,-0.013774895326671484
RSPO4,-0.012084072480416076,0.09235896198282631,,,0.04944124265282803
LEFTY2,-0.013250333266229888,,0.002501411336882742,-0.015663775498433383,0.02560745544869596
PF4,,,,,-0.02139746454267724
ANGPTL2,0.03446927919965112,0.01988726976031785,0.0011189436664398604,0.0375762383031531,0.005946929013470967
LRIG2,-0.021387106897119437,-0.0034384585126102356,0.04956613515786234,0.02979728381094834,0.01701056602332279
ICOSLG,0.0018023805655330142,0.04994466610739022,-0.05385377550124652,0.058270306232021965,0.09883254401344105
WIF1,0.05391190700219151,,,,
