,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF275,UKF296,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.0018019887430789669,,-0.023228206489547498,
BMP1,0.003190763996845261,0.047951640364274316,0.028101338031083944,0.13023964286038908,-0.03300166159843053,0.07584411214089432,0.20623027485183962,-0.004297102908570289,0.01566381696877102,0.03499883229486372,0.05754137887731674,-0.04624254644268527,0.04784586004467837,0.03492713980339354,0.05903053716218847,0.07942041943215097
NDP,-0.027553111063742208,0.0009442529881073557,-0.0029532172255334376,0.01787899516372958,-0.06794303987470585,0.03607631616814021,0.02481834256310534,-0.001138040806600258,0.029311774491700616,0.02744325196741438,-0.03470658766632856,0.07041509191965038,0.03778837630258987,-0.0223917142682166,0.011527295161801659,0.006387271293688022
TNFSF18,-0.0247277498166302,-0.03143721680603316,-0.01006390057921258,,,,0.07063556837520395,-0.01433915972666538,,,,,-0.024060949627049043,,-0.01761158936288399,0.03447805568786492
RTN4,-0.09713682012014214,0.06990739915824702,-0.028173712198272718,-0.00046281078082824545,0.003891633686918877,0.006043248336728238,-0.23679471286302617,-0.07221959870864075,0.05723812868597507,-0.02724449513194108,0.03506141745764335,0.07714046852739398,-0.02355665103267147,0.1568289997411235,0.014924845353514751,0.023186399651838715
HEBP1,0.02879075947911781,0.05459901420659912,-0.019107506857726872,-0.028675483982538802,-0.03327224370942402,0.05682015259852049,0.11579896204795934,-0.03472468517932849,0.04437278244192821,0.012508737659072776,0.024343421666829394,0.0717234427398171,0.01531263601283411,0.015762149013256933,0.03293757551615649,0.018044647920339434
WNT7B,-0.02178437309378985,0.012697138082534145,0.015503694060449422,0.0025479730085357084,-0.00787684742557914,0.012718362046675286,-0.03237645070477554,-0.013504589101682962,-0.0048284545891323525,0.06618747298746304,0.0018814920948878513,-0.007339193378625977,-0.02890113312238802,0.006482838487802387,-0.023561908993483312,-0.07597822877181949
PTMA,0.03555214722577385,0.03654848828169885,-0.012639570987511136,0.10287559316708529,-0.08184052576804564,0.026493697970432807,0.32404994900374795,0.009175405257682928,0.01834744868482323,0.06851167284466593,-0.031550816943906344,0.015812229699220165,0.019397956690608186,0.12657330813517795,0.02707543180961379,0.054537579217540974
FASLG,-0.021784379252176318,,,,,,,,,,,,,,2.103270699299371e-05,
CEACAM1,0.06720661398710222,0.0004412036105196912,-0.022231526900395364,,0.029232938910659097,-0.03792637394387025,,0.0258695185218341,,,0.0214321978075447,0.04625120674467948,-0.00591967943013554,-0.00493913568933193,-0.013263031347973357,
PDAP1,0.046608191886343145,0.04127695229517208,-0.006966159849855713,0.029488172996222407,-0.004475052404403726,-0.029684579558060968,0.09978637443621588,-0.016652452085813715,0.01256527665664579,0.030850274853273917,0.04368870095625095,-0.054304712595582616,0.030886611096071333,0.18177289074080352,-0.01868407690853865,0.0018727442973990294
QDPR,-0.006772989977498363,0.003889941503462443,0.0136382743425699,0.11559221171223963,-0.02839996391346333,0.03323584121441501,-0.12073628310786398,0.009971118058369153,0.029358102495711674,-0.026452472906099766,0.0043726524648390105,0.03256555064988603,-0.019497685109289443,-0.08255180577380962,-0.023889614628099902,-0.020088542012206275
POMC,-0.016757547792392347,-0.01854590696490316,-0.013712466018154292,,0.022214641923867087,-0.023593606107494867,-0.0010942482032662644,-0.016638027032781447,-0.038275258969285346,-0.022929645661566612,0.07533526257026657,0.05925645661168477,0.10479251061638037,-0.009014553954053086,-0.036370111724455534,-0.024356184340591242
CCL18,,-0.04053044461053879,,,,,,,,0.018506902346645173,0.04745668621609063,-0.06219052071883002,,0.03941075378143352,,
CCL17,,,,,0.08247291705657517,,,0.07480503547592254,-0.03314528179811581,,-0.017759861770049176,-0.04793583267255244,-0.03076070509103026,,0.09382882274647386,
VEGFD,,-0.01259028160488111,0.020417282265512447,,0.05872460976237694,0.007539141339427729,,0.03980047113093705,-0.00033588843209516293,0.009237777882281663,,0.024571942065464834,0.03199845672642075,,,
TNFSF13,,0.06787887124327417,,,0.026875327769706945,,0.0034435952808739155,,,,-0.06772920226095452,0.02557347732669761,0.028781056024953993,-0.005099201105700036,-0.029753013979573036,-0.008605460419738933
WNT5A,0.00030024627310344274,-0.008266295093959443,0.026858119188895618,0.027467911431409205,0.0135352350185105,0.08035737887361326,0.24632543098309534,0.03416008478174017,0.006043414714039217,0.019084180490354267,0.06639820452394433,0.0870003267273366,0.029404949577001873,0.04997266671101473,0.13217234205056802,-0.00787202530311738
CXCL8,,-0.04733451529963978,-0.018089032109758256,-0.05773010787719152,0.047866411547111985,-0.025717954926855545,-0.004852913285520864,0.031955422700766775,0.029270774166328825,-0.018050119811056566,-0.04107612487449863,-0.20684466004343796,0.038935595993435705,0.027668900380830138,0.09232848780859756,-0.046942329169877416
GRN,-0.046257198144963145,0.06727439198503447,0.05106178813060224,0.04303549570998279,0.022487900556671183,0.01390867472022876,0.10414807067191781,0.019613656293860426,-0.04667073706050202,-0.003833998155419015,0.11485445705943452,0.09779649564533453,-0.013072730958083197,-0.12395926144537671,0.12981458267658208,0.10539574111690543
MIA,0.05460839624367316,-0.03373843085281763,-0.016771969447910765,0.017950039042942692,0.01658501276890331,-0.002184171211356971,0.1169618360518692,0.013665619979097886,-0.016596451181547317,-0.021010200322125895,-0.04787819120330312,0.040471180391917334,-0.04491305425586247,-0.07474802892539273,-0.0672749729990761,0.04504432055239852
COL4A4,-0.025228965586493002,0.04546387707926468,0.05019248123188123,0.04792587013343406,0.002332393286362886,0.04273363264240308,0.05900160878841442,-0.018671161079281965,0.07614229245984795,,0.07032576680104091,0.021847165175189566,0.040403910331684965,0.07046096082858663,0.023358841438672354,2.613204740762595e-05
TAC1,-0.02178436740019191,0.04813096125366618,-0.027385219112443616,0.034678875338883614,-0.029903597493358355,0.06042178061026804,-0.2148750483584425,-0.07317465725471248,-0.01968126525821533,,,,,-0.025554240006323437,0.09755673449720476,0.07031782470786739
