,UKF243,UKF251,UKF259,UKF260,UKF275,UKF304,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.006291082587436832,
BMP1,0.048093049570278525,-0.006041592929143801,-0.01850449292647113,0.071876793358821,0.02515329108007323,0.031688603273374596,-0.09137397795015777,0.04579047320657668,0.08467768339666658,0.12553738581113283,0.060775668837779795
NDP,0.02598165030172502,0.017915056073003543,0.021053292436181714,-0.018241613106907292,-0.025854266353636707,0.0192624097900851,-0.00680301078113298,0.035440837692082804,0.006092537119711771,0.025334183219145035,-0.030769825325508305
TNFSF18,0.17801718079239975,0.1059074764271135,,,-0.02028382883130505,,0.2732452040390328,,,0.04896584502695628,0.0327466513859001
RTN4,-0.1076557913147,0.014845193501395503,-0.015742006879809544,-0.06035760379976509,-0.06092301990612313,-0.0033423842242540506,-0.06931050075120662,-0.04307389167834446,-0.029300200935624823,0.011111998561857635,-0.03886991509850314
HEBP1,-0.001480302745454453,0.005406790698885273,0.012223148175700438,-0.09486031191763082,0.004110875048524358,0.02942369440211926,0.017918822583273732,0.05917394558301611,0.01561841619605694,0.004921666268991628,0.06365813446773803
WNT7B,-0.02085809899138043,-0.03698859024999854,-0.026041893385034945,-0.008890976651656973,-0.027791369406951434,,-0.027806266212330684,-0.030467304904077546,-0.032997077777050486,-0.0013077467862031,-0.021478850322001683
PTMA,0.019449849629328258,0.010819543338499278,0.00787414962373168,0.02443140863129864,-0.01571891859644517,0.040855895615123615,0.03311635844455579,0.06137342829827882,-0.02061628110818806,0.004274808884636477,0.02391862964478393
FASLG,,,,,,,,,,0.04460061409441157,
CEACAM1,,0.042517885728507884,0.009894377357413843,-0.014343780620965706,0.0373972876095167,,,-0.027323567043409033,-0.018489890155958488,-0.006696282186607868,
PDAP1,0.006599748615917031,0.004235088619126599,-0.05872879799398962,0.029569376646197222,0.0063590482214268265,0.005294187260925154,0.008942971056126913,-0.01891018032076392,-0.00045365601996397127,-0.02118718023711445,-0.04619081348952479
QDPR,0.0689198212703783,-0.03057025441584317,0.03206771549548916,-0.009439612463354778,0.0066298815885014965,0.0619521848271463,-0.05700211638057132,-0.0076068076703301535,0.003949009633925608,-0.003914023475807108,0.0046149797131593995
POMC,0.05248198184720846,0.016398964615023565,0.058587152846531466,0.027024707204434367,-0.011538032256738153,0.03364906483464911,0.02690973150912384,0.028094333254617587,0.10188956029589172,-0.010057989423179947,0.021493871749289527
CCL18,-0.03483605705028408,,,,,-0.021855670625037463,,-0.01937285827631332,-0.02044969087743143,,
CCL17,,,0.09138887001530904,,-0.0035548547633406933,,,,0.08685296823132811,0.08482895280235224,
