,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF304,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.07066303495323067,,,,,,-0.01731273920908034,,-0.01732583179698087,
BMP1,0.07986981283819061,-0.060371590425027134,-0.08684626097289386,0.1594617647448912,0.2650984101378973,0.021480120921803972,0.0009729421079577596,0.07660132407888424,0.27907152974761884,0.14211011265067616,0.05873402626519445,0.19249209368904888,-0.007110755350875232,-0.028279178391388906
NDP,-0.014352168418823795,-0.05914638381353966,-0.055854636912489514,-0.12241410496497201,-0.011448820089410698,-0.028972682711200903,-0.027519893853187715,-0.03696271434254284,0.10507952429787296,0.04573748839069516,0.03402922734494648,-0.09270969613748453,-0.013755645716206662,0.0043863572153831675
TNFSF18,0.007560375851765224,-0.017954206361538806,,,0.07315962010798777,-0.01567068173491883,,,,,0.0380036327688698,,-0.02922558070073683,-0.0612557998783432
RTN4,0.15548565754774976,0.026594796560031716,-0.004834380468613067,-0.028764151129500225,-0.10024371366306506,-0.0446760330103984,-0.2067350338060783,0.07299864384376138,0.03462516064908235,0.03575609801606193,-0.09423120313307397,-0.29418400139616746,0.03463536322857279,0.14242429915454632
HEBP1,0.08632018326303445,0.03966693525841371,0.018961434220157586,-0.04183683268136602,0.12222071223031276,0.05065222716187947,0.028893855927383222,0.06868976732899569,-0.019528923638828067,0.024417115745258323,-0.018898647104348302,-0.009148176211013563,-0.024422967364637598,0.044021412986537854
WNT7B,0.024254660023557834,-0.03897941121834805,-0.006337517420403338,-0.1690668837047805,-0.09531753395834636,0.0008669813970677402,,0.10992432467080765,-0.0500783262019996,-0.08515646327828431,0.015232927434434577,-0.02452612488269439,-0.025158889833804602,-0.0009563560488472913
PTMA,-0.11090753652761817,-0.16591095099459122,0.028826350109024703,0.04213030616372295,-0.30438187905326614,-0.046770454939030814,0.20334423647488092,-0.13361815646155828,-0.11704541100910926,-0.04094333371175446,-0.10203974066606078,0.0945354042389055,0.038755236808954666,-0.14055422903392095
FASLG,,,,,,,,,,,,,-0.015026688006728578,
CEACAM1,,-0.03506901293857694,0.03364698452005123,-0.007786553643603615,0.04045962272906005,-0.02464624907924849,,0.2230009544424976,-0.10376180870880418,0.04858973142969175,0.012871555122188266,-0.046584496340134965,-0.020907429342620795,
PDAP1,-0.07357457342181417,-0.06582883968181222,0.019619102514717546,0.09633420723039084,0.1063045984180083,-0.0356212480115324,0.08894057605531458,-0.093243011233908,0.1372971634292711,0.22767226929369833,0.060713846407889474,0.0469356825252056,0.003645811606478574,0.05091016703112249
QDPR,-0.06522817599296035,-0.03971741852630456,0.0016886650163055066,-0.15839059206519396,-0.17140679537709588,-0.016645059027425243,-0.08584246152184552,0.18785240990909563,-0.16202237213345547,-0.20099039213250122,-0.12546664458637632,-0.04032528002362829,-0.04450987072181741,0.18147047466440683
POMC,-0.0652419561528066,-0.010356155463931292,0.0362243055997964,-0.09941702553195801,-0.013111104589197188,-0.018183019876878613,0.02275953488004701,0.013499174238483543,0.017538590239274947,0.015895644031937536,-0.05548608738714682,-0.004151866920533947,-0.027243518866185746,0.0993150665371713
CCL18,0.06913803872109693,0.05158626968326762,,,,,0.039746375901248646,-0.05017146240787056,0.0753896858777365,0.06015743813254537,,0.2739694599058889,,
CCL17,,,-0.029364844484806224,,,-0.019544391111463305,,,0.07913786101564718,0.09008077382588796,0.020220559228209055,,-0.01362000488622888,
VEGFD,0.044853369062794475,0.003848437328054401,0.03428120026940735,-0.013020761623462138,-0.04852652194199301,-0.0074657425969865705,0.08265808283350262,0.06674088541809949,,-0.012675732931015558,-0.02407422295616979,,,
TNFSF13,,-0.033024834789298296,0.03070679481274338,,,,,,0.01047883607014027,0.023928993862014195,0.0590736111642253,0.07493372238258751,-0.02219266114649324,0.007474513964959913
WNT5A,-0.03154520542772634,0.014391804826843772,0.022601519385106756,-0.23495772465986128,0.1650173630351674,0.011465257349581029,-0.01012699777881795,0.04478282921877459,0.03263221947709704,0.1010333783693403,-0.0016222841627364039,0.03385843919907563,0.06580613682139426,-0.16870343143997982
CXCL8,0.09435093148233172,0.16912420069373924,0.12523917530147274,0.3923544537369001,0.08554040684045872,0.045246984408124344,0.18586464478668643,0.029880779130003265,0.34786272307431526,0.24210701142080324,0.03599179740766282,0.2517912305436355,0.005639739580252373,-0.10572736059415345
GRN,0.09824768309005019,-0.002468625160337554,-0.014729827506625026,0.1660397050216709,0.12868906633873695,-0.050817679876332726,0.17159925064884424,0.09739129304325563,0.24004598674020303,0.21016511615336825,0.06950487079130165,0.19906116558750955,0.020418557603709614,0.10047486921329067
MIA,-0.05207377754302204,-0.021737593949710497,0.013423658872717544,0.13006425705013216,0.09847301809373993,0.02898426841220884,,0.19027014112165241,-0.2800913936044711,-0.3521679019128767,0.042479282933974245,0.4714321708352694,0.01012651422789913,-0.01886237362784424
COL4A4,-0.0010526287194463453,-0.032387018665012215,-0.03129156324730363,-0.14463737706322394,-0.0016069105089631577,-0.02040494899786391,,,-0.03661504917357964,-0.025085155542557108,-0.03516137152313941,-0.018653959794073596,0.040147091653340745,-0.0820051959186182
TAC1,-0.0740148588288901,0.07804185369591003,-0.021381949014054685,-0.19367674534957907,-0.15581625131966095,-0.08699243510225413,-0.12307255236492215,,,,,-0.15987042156982645,0.07492098503632562,0.06712802583034448
RARRES2,-0.0672275076515861,0.02927372209672657,0.0347095851921278,0.3200451222145378,0.19766953996490172,-0.020237155123291165,0.09611304957184356,0.11103154468592004,0.35526665300294274,0.277264014319854,0.04902259939268036,0.1996866853682991,0.00370437113350264,0.02448466973531525
FGF7,0.038121030431830724,,-0.002750531949665747,-0.003906327089662718,0.039881159147175396,-0.0014138155381322758,-0.06186230476605604,0.010419082259792491,-0.11414657133355458,-0.006895141415905872,-0.031756947215768605,-0.008186385690879835,-0.011315252862641815,0.01090286723854631
EFNA2,,,,,,,,,,0.020867400536863884,,,,
HBEGF,0.15189511483840187,0.009580140149256679,0.04923592186447119,0.2975785892846094,0.18315846989859874,0.11922952589270194,0.1581178669036711,0.05495347622886221,-0.005819511105648165,-0.0026459758366724497,0.034592963655281264,0.15686522582958098,-0.0008558971333553346,-0.14887479724671693
CSF3,0.014013025306683965,,0.05616857974342956,0.294214233229037,0.27029744485785057,,,,0.3030173289282016,0.2636836408718592,,0.22342213015247803,-0.014339764011451032,-0.018508702590493874
PI3,0.17929930447133124,0.11607452788971176,0.23684096942206745,0.30673818417177795,0.294270039612577,,,0.2450266307865933,0.5902168885600283,0.5082947230962696,-0.019394279478174924,0.5572609323835153,0.03835072812055038,0.12971128925942446
