,UKF248,UKF266,UKF275,UKF304,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,-0.006143611505247502,-0.008272752807491,-0.01042399165197223,-0.04718768450419154,0.06298391809204354,0.03876869744589501,-0.012263117651400602,0.018113195798327684
NDP,-0.026301771397426784,-0.005481528699796999,0.041204716167335696,-0.04420846136404996,0.014305639553806758,-0.0018315683573325494,-0.029982414770832053,-0.06847791313635644
TNFSF18,-0.02944833331856988,-0.013966648113097781,-0.012622089446573373,,,,,
RTN4,0.04302616908890633,0.02129163217746633,0.01602217849118696,0.08609294559801962,-0.009606118788375634,0.06545518257440658,0.09390211869334684,0.08232290996830234
HEBP1,-0.020163078251013936,0.048076388179163494,0.015122228681063946,-0.12480933036504903,0.04123297289556859,0.025980373494349823,0.019016362345634866,-0.02628167563048451
WNT7B,-0.025746847172204865,-0.014508057567724853,0.09772518290596566,,0.018439019627483056,0.04179655594648947,0.1198306728265243,-0.038049191923369634
PTMA,-0.03357088685941244,-0.06955733858306627,-0.013467700945346583,-0.1279058812461709,0.06908510979052322,-0.14418974811315233,0.014162373039725453,0.05269555218157263
CEACAM1,-0.018743057105168142,,0.09463639695837195,,,0.0246383862757828,0.017208183041428144,-0.01905207896848214
PDAP1,0.00753468460748043,-0.012909650399137657,0.034473336631285344,-0.06776236053817883,0.07701115172423274,0.020073655723161006,0.007987451891851327,0.030465009773513047
QDPR,-0.011065231145582869,0.03835130569322718,0.00021060376010726957,-0.1102684296728175,-0.007897824031776097,-0.05208487741960299,-0.01216767099734959,-0.03690059831656086
POMC,-0.027314861390322905,-0.015088331391102085,-0.014645674462481979,-0.055472502089793,-0.011246750891632766,-0.014697056859920036,-0.05077275485606167,-0.02692322179312748
CCL18,0.005813936360840217,,,-0.02285182732404761,0.11230369052193225,0.07949213756248423,-0.037952614734032344,-0.017082065289241357
CCL17,,,-0.01574220298520926,,,-0.02350260469812324,0.0777090746211247,
VEGFD,-0.023389571775015276,,-0.01677198578689285,-0.019823591830905207,0.04785018974375037,,0.022226113796865052,
TNFSF13,-0.0176505214283821,-0.013544735062551841,,,,0.029093558245051346,-0.024056075815339004,-0.03492778319759552
WNT5A,-0.0021386369738567762,-0.04234055859780189,-0.009590616082328075,-0.021687861050909814,0.053480984230557145,0.15150646577351723,0.018076829434650724,-0.016500364224624746
CXCL8,0.01861224199339988,-0.019266507126401093,-0.008071323238432812,-0.045171337362895324,0.0459032607757103,0.17084918275580596,0.03157668516279397,0.04234020648584894
GRN,-0.022727548295269035,-5.461240043400472e-05,-0.009842558694612976,-0.12847483195429193,-0.01710063464217262,0.008155934425082846,-0.052709164779244914,-0.07095233249110572
MIA,0.0011251995540420407,-0.02449149324712244,-0.02098970883053247,,-0.018855037894944873,0.021613941402731096,-0.05844896568531295,0.02914622994996748
COL4A4,0.02434216091781144,-0.012887216999990353,-0.016435346959405277,,,0.04150010575697252,-0.02536255545637878,-0.02042519962184413
TAC1,0.03375516034675263,-0.003841630429391886,0.0824932651408275,0.11646637621259658,,,,-0.045606150134797026
RARRES2,-0.04899826700347731,-0.10130882278028072,0.03669627087347882,-0.028067565729428864,-0.059664595049836615,0.1434242407782698,0.05613140466023445,0.05213113355978039
FGF7,,0.050464578103463116,0.039929271174781115,-0.04602210135893637,0.03059249838040206,-0.015754790851668164,0.026208121577245932,0.03959803999114438
EFNA2,,,,,,,-0.005028496209451864,
HBEGF,-0.0175117769274625,-0.0675491341602104,0.012939358921905795,-0.00760629783306804,0.030194361078819107,0.02193016673428608,0.0020108996458510684,0.05018422477240558
CSF3,,,,,-0.0122262286412153,0.19075169350378868,0.0615853072927551,-0.008514410325722315
PI3,-0.024606807838878145,,,,,0.19052522396300417,0.0634200736938694,0.03711658396587138
PCSK1N,-0.06820411399105043,0.09576026809710948,0.020529498687995078,0.12090128802943212,0.14987296983621368,0.05187611040795307,-0.06515205836622479,0.08600683865410151
NTS,,-0.01573236387589727,-0.018775473414429384,-0.01784760052267162,,0.0741521683400299,0.029223486545731623,-0.07087187035346895
SFRP1,-0.031946158813524694,-0.03121601384919047,0.034700272794543734,-0.0410598142474242,0.044247605829082375,0.09294500470617677,-0.018602781341302325,-0.02877835008205615
CXCL13,,,,,0.05901054309222102,0.02801610678280094,0.019027433075271105,0.030883011207355104
MICA,0.03835759412305471,-0.033392458357211344,0.03435057554197785,-0.01221076944035911,0.047101349569799354,0.05455547332301166,0.049707911649915955,-0.019610228705581333
TG,-0.03683288953736905,-0.01815929517274831,0.05491779618428138,,0.09724681882088848,0.007654566797163762,-0.04263101327045712,0.006270359536803457
ADA,-0.04086766762254926,-0.024079393052391887,0.0560711083513045,-0.03489425907982732,0.05921136776503525,-0.04142835040364868,0.011193180172890038,-0.009869705604823847
