,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.010638314963267323,,,,,,,,,,,-0.017771228468736584,,,0.0033313096635240666,,
BMP1,0.014222984347705652,0.016900603835910733,0.008938963640156767,0.02324181987888095,-0.05153034359218956,0.018495924918491845,0.009968320244295854,0.044581246105239024,0.023047156487255964,0.03152649862161246,-0.05251150798210672,0.0584394536573731,0.018353359353405756,0.01761146532044583,0.045179774317099304,-0.058954285719873566,0.05695221350042485,0.07285236063903688,0.04730799649884289,0.05396036463899818,-0.01490921455156258,-0.034526803280546955,0.08028470042514728,0.0012651780666730016
NDP,0.056737028927144356,-0.011685138862601474,0.023919521257135923,0.023709516284290463,-0.02987723568988433,0.06926090809150827,0.012141555279482883,-0.04931466564260605,-0.0010676819440347649,0.0015568119728242415,-0.059554581911649904,-0.014396817552420454,0.08137723289265748,0.10778958941393284,0.11270206449577315,0.05213562604257433,0.05295579229705379,-0.031096664564915943,0.07734830895790178,-0.023758859615137677,0.014828019013315813,0.03069064667784989,-0.0001982797380156284,0.0613480574245186
TNFSF18,-0.04045594023041896,-0.00986657556350641,-0.0061044225297914746,,,,0.010385379880312347,0.012053196378082229,-0.02710881947966928,,,,,-0.027738344783965033,0.035229881933952885,,,,-0.018327154239204658,,-0.03264734130701485,-0.01714661700885556,0.02947262909475398,
IL36G,,,,,,,,,,,,,-0.030802055145514966,,,,,,,,,,,
RTN4,-0.011451167121393763,-0.009569130386637707,0.00542337044259507,0.04842577146805528,0.017109484626833822,-0.007176570764883749,0.024484280626576767,-0.019260324057615043,0.0017092075685979653,-0.049333746528211396,0.08829771033328916,-0.008966994880390676,-0.04000522001326253,0.08796934087950842,-0.027226688425341428,-0.055061528667274644,-0.011663212029324717,-0.021442897541151914,-0.018791196163164242,0.1030552858718524,0.09877732311549887,0.017740029378774377,-0.05324075313985357,0.07573962270806978
HEBP1,0.03499817764838708,0.028474462472158645,0.05120279173991482,0.04727822204671995,0.00410187422278057,-0.0011223328866475765,-0.05322675858761501,-0.006212116313608496,0.0263187283099504,0.01400174029479406,-0.07787890979326068,0.03046308415719573,0.06591792976793806,0.09997628976245539,-0.06688003614868877,-0.006792583655462243,-0.011172211124539736,0.044611302722997986,0.03838648309895609,0.035982715840957316,0.02053316875043587,0.07133074669786998,0.00531694147948757,0.004341966945757173
WNT7B,-0.028838369107615357,-0.008459867857735302,-0.02630781212397907,0.010912371703159314,0.029224689461288724,0.029097553596910356,0.007712495606467475,0.060925781129512024,0.07030512800143612,-0.0002469210468971972,,-0.0016028883557661004,-0.012513765596647108,0.2651004023253753,,-0.0014118423679783563,-0.026095977304898012,-0.07545072090343379,-0.03832356214237641,-0.01742230470597121,-0.03264730745417437,0.04590961406409291,0.04837296503780303,0.11127534856180958
PTMA,-0.05525130024615926,0.02944953068674958,0.01951730244748942,-0.0076830656530001195,0.03806364935348346,-0.02433507102248999,0.019929515770361016,-0.05125975867954704,-0.03220490491901832,0.015258871428958884,-0.09554636413512867,0.015128254635876184,0.0832213551200201,0.024074026259240832,-0.03549145289361989,-0.0778266080407569,-0.11163637128883389,0.010020995088291969,-0.07718846954662405,0.013579644970812038,0.12699855571628194,-0.04595925136119883,-0.04724645222198799,-0.0364847528965866
FASLG,,,,,,,,,,,,,,,,,,,,,,0.00866664319133684,,
