,UKF243,UKF248,UKF259,UKF269,UKF275,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,-0.013977903073045864,,,,,,,,0.02959886829082423
BMP1,0.014937961787316531,-0.04260666457809742,-0.030178272461115416,0.006114436152356748,0.011368109969805602,-0.12747614868263601,-0.008766303856079086,0.10946712954053388,-0.039226441202657204,0.04467186456209495,0.007863302688753375,0.04652696216179856
NDP,0.05136972320151784,-0.013800381697006025,-0.02842765095296852,0.05346830011043365,-0.059519991006401166,0.02375705615999806,-0.04975603537209958,0.02526644935247247,-0.009560016947770006,0.0305929463796265,0.04682906352136478,-0.007499691962920197
TNFSF18,-0.027528067873443637,-0.010255076908307324,,-0.020756766435323773,0.009585371356504955,,-0.001111441355662385,,,,,-0.02995941103386278
RTN4,0.02041998547763518,0.011049131347087024,0.03798933314760207,-0.005873687925035197,-0.006883615133580824,0.05576393786011693,0.04923560218197041,-0.0441322302911978,-0.03762306604831405,-0.008841528334379211,0.035081032025287034,0.004760015892973193
HEBP1,0.030261835304490507,0.002854033056141344,-0.028865965056194327,-0.01546257282228641,-0.0217804660056989,0.17370065366285187,-0.029856761519643102,0.02501375020957463,0.008056378457599598,0.04347186625500955,0.018505083848482668,0.04132474348637375
WNT7B,0.12220648162008739,-0.036746420733686856,0.03894212116943386,0.003822297428565349,-0.019526910639078278,-0.010854190067362204,,-0.009326103248354591,-0.035482417223610674,-0.03775903387687804,-0.029824915041173707,-0.027216264286944937
PTMA,-0.026424864576177716,-0.10250829362008627,0.06251818970649206,-0.049022202690445736,0.057397408569582205,-0.05644375938812628,0.04475500252339193,-0.1251428571949611,-0.02340642799986425,0.023223644079252773,0.019001215152413133,-0.008831421344760589
FASLG,,,,,,,,,,,,-0.015403995803575168
CEACAM1,,-0.015803934635700758,-0.02037227973183407,0.05579296446547428,0.036653688615326835,-0.027123397401222108,0.12923167100825408,0.03980808455436643,0.07308130574912321,0.036761432876406264,-0.019795229877457212,-0.021432397725504482
