,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.041272387092907606,,,,,,,,-0.026033757765492493,,,,
BMP1,0.0027618064776766898,0.02352548733974599,-0.016108077256575176,-0.01593083797562877,-0.08936558122799103,-0.03188959577123465,-0.24929891166891624,-0.10693950901425489,0.05010187287759903,-0.14203368328426466,-0.23970590468229958,0.01238239770067784,-0.09815761345889971,-0.06790677575513664,0.02438277084865893,-0.13511417749249782,-0.022341027920783803,-0.04145624399300782,-0.06963102573691232
NDP,-0.024520964240534,-0.002062906316733379,0.018407749690484854,0.02621288415643315,0.14740705316941163,0.05189701559697726,-0.10656051093087286,0.011597743245352465,0.0059208866965915034,-0.0752158493033062,-0.04712147341831192,-0.016211238599682674,0.04028398920906663,0.14517326281925153,-0.031143672171103268,-0.03214694782683439,0.006547540678143887,0.0933858963436217,-0.017102493734743762
TNFSF18,-0.0007528183565953591,0.01950654141786339,-0.026010530130416244,,,-0.03135761066136362,-0.06128825580195405,-0.03196744501234947,,,,0.0941518822499511,,,-0.02684815486074235,,0.02422779089474346,-0.058144437129735355,
IL36G,,,,,,,,,,,-0.03414698822072298,,,,,,,,
RTN4,0.19246280041514877,0.08383920122305433,0.07740625867627186,0.025085669446497386,0.20195983123145647,0.21813028891373762,0.3135889971860851,0.126449979022494,-0.028551733642860736,0.3809743746892635,0.29207819955315956,-0.03447139360742871,-0.00480451493714666,0.027322620603025073,-0.018872344062952143,0.2033920448460917,0.03563547204752153,0.31570525269511973,-0.027097265548774764
HEBP1,-0.04316383092694226,0.028558740631367815,0.002773867364150871,-0.02678224142085702,-0.020876660055994794,-0.05582748337841247,-0.0737140495607181,-0.043220178966467446,0.0147958286769114,-0.1594513556941892,0.023147948951954732,-0.004454949884098955,0.07643706306753227,0.11575830962473248,-0.033786410167383506,0.09968717282889719,0.07348408490742915,-0.04908191392656345,-0.008168952807037255
WNT7B,0.3171504906360418,0.009724979359374,-0.01615693502292477,0.07817190555199352,0.04016539454905873,0.046595134179341725,0.19870093709466186,0.05482660544268337,-0.011133465657013298,,0.12971563169540265,,0.018074381351095403,0.06046256742500798,-0.03736524548314152,0.006143048452049749,-0.006105011757724796,0.036241011099924066,0.05907953398629764
PTMA,0.022429523348303435,0.03896515982335141,-0.0406881324005984,-0.01442066720412855,-0.11888801860169716,-0.16919464400241974,0.061905176582195943,0.07043655169410672,0.05740219265920556,-0.45268939600397207,-0.3176668102882538,-0.06878423650552365,-0.032501850598806586,-0.07611720076018348,-0.03380445855872257,-0.12045847838809137,-0.0009215041603632467,-0.12127956794001332,-0.12762177423560658
CEACAM1,,0.06901667119506302,-0.012399475855889228,-0.03265239648394791,-0.013002828159613506,,-0.039874341033748706,0.00984545185472761,,,,-0.0429675244274007,-0.03732390045417668,0.014330465758364126,0.042722016708427644,-0.026120255530025917,,,
PDAP1,-0.012012162776417966,-0.010653815019219923,-0.01648030549121308,-0.026501552549278856,-0.10010725035474467,-0.0401611757592159,-0.14019710559481133,-0.002044390272184002,0.018722922544840342,0.04916498029829893,-0.14928362895371117,0.11109029271119651,-0.042914618233229375,-0.1339175085523166,0.034208529530670655,0.029485204466476553,0.09048140675282625,-0.029889023988606163,0.014441043743927314
QDPR,0.15010007766310812,-0.014975692672766008,0.09261462973343988,0.0020230179353664577,0.2251077407883701,0.021157206650929836,0.08832750010529279,0.05952563104759474,0.04972849489575328,-0.34387126167825116,0.013532680575141228,0.08941327068809705,0.07496693227676256,0.22069536942804854,-0.074753538894549,0.08858089744096102,-0.053954928544690084,0.20433055202309663,0.04366426482292073
POMC,0.12898796447655628,0.10867481565181504,0.008562506289599559,-0.02074171619619265,0.1980404204732939,0.0767678236570886,-0.01586374910020511,-0.02169185226822436,0.022421509167776094,-0.06150775066285327,0.030761202212816925,0.05467684370361586,0.02974254621693723,0.10326150423577482,0.15293386218300964,-0.007696258715696928,,-0.014004945752299897,-0.041981723361076737
CCL18,-0.004788068119696438,-0.04710374846391919,,,,,,,,-0.12808418028136911,,,0.01688508767603997,-0.04773518009277852,,-0.0762670833622223,,,
CCL17,,,,0.002889850151670884,,,,-0.03986962780077106,0.0649539049969096,,-0.03119424317229734,,-0.055248000184587476,-0.05966461212916569,0.03888907482784623,,,,
