,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,0.04576488416719838,,,,,,,,0.015351062069324926,,0.0695144668802126
BMP1,0.05430805929173348,0.007026661766411067,-0.03223119198286648,0.08111659699035374,-0.021601228030926966,0.029217586581571413,0.025221378870769067,0.11498550710303938,0.033757931256359903,0.07159259880872951,0.06633361711413899,0.031073466485639495,0.08989153292364689,0.0436419908253164,0.07451667556638274,0.05876010711348773,0.04348615215330475,0.02363055756881118
NDP,0.02644539390197237,-0.025466946548833257,0.033948077278915585,0.03196682084407069,0.022440573871956495,0.0043078667933499435,-0.02415560534981393,0.09669458232868511,0.00883331323194926,-0.0009753884456188543,0.07226983423281826,-0.06669723148767087,0.011682748682555375,0.052896174411960074,0.03580273164302553,0.00848563571241595,0.05528661666082844,0.04653166356247113
TNFSF18,-0.027484304807256634,0.09314019325025646,0.01642047428467043,,,,-0.01258239521228799,0.07444001521224836,-0.02135826897116788,,,-0.06671351912183557,,,,-0.016617880403929756,,0.056762388031402454
IL36G,,,,,,,,,,,-0.027247122181349066,,,,,,,
RTN4,-0.07021910966210737,-0.0931924038715661,0.03505113866127588,0.028790201069475753,-0.00181780461785363,0.02780212285246783,-0.06532928625151412,-0.1920641250695169,-0.004464131423705675,-0.012055800129572521,-0.06398174745498583,-0.04607257261837607,-0.05501568269000274,-0.056419100408746266,-0.028925244451966016,-0.07272296407801192,-0.042628934383256906,-0.004501684985730201
HEBP1,-0.0007687065582503284,0.028296980448983353,0.045155268418814495,-0.009410579493460084,0.024969414930640817,0.009781104840412504,0.0383251356197787,0.050754703524291435,-0.03942997686931223,0.022622707017342196,-0.011560339230103427,-0.06544419589718563,0.013380097338537622,0.029237105980677972,0.07211935376759582,-0.06616610186116827,-0.03550472938271787,0.07250380197772927
WNT7B,-0.024212811702828567,-0.04190064411970205,0.10172403632766833,0.01465261563197242,-0.023705438496222114,0.01985739559521144,-0.06323673926583911,-0.04537983746363125,-0.020042318400575205,0.02887912010463477,0.048123742811247684,,-0.014051318485742117,-0.04136336720573202,-0.01881007734292813,0.05173426014655046,0.045463076813525204,0.013117865805733193
PTMA,-0.0905815030457931,-0.022805869442849697,0.011381779256261862,-0.00365497052350699,-0.0623552910346292,-0.022330367580453116,0.06872530924097917,0.0039758122780737815,-0.028865472669600274,0.13793900793565161,0.07609944996126508,0.03382142966376544,-0.05134902024319716,-0.003389688308913479,-0.00042338297726121003,-0.03101637173404996,0.026914087441428463,0.02020083284805227
FASLG,-0.02421281854772841,,,,,,,,,,,,,,,,,0.03388116203170251
CEACAM1,-0.01882092137199938,-0.024227156241634736,0.003950217589115088,,-0.01226335361433162,0.02420847714426994,,0.122733945999846,-0.008173684829107386,,,0.12148082712102155,-0.030919765078952832,-0.023177934763862117,-0.019018341301101954,0.08239350944578025,0.005696428120658611,0.09274278247858123
PDAP1,0.06898654665673398,-0.026308117198671266,0.00939541772571022,-0.012738827582296176,0.04435871196078691,-0.014032223112220554,0.06003335101162424,0.09371637479048617,0.022622160040318987,0.05442875224463279,0.08244902752559066,0.03565753828612762,0.04411484122448121,-0.006126169632084553,-0.00543801127908902,0.00505067181380324,0.0437673423141221,0.06353551352593484
