,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.003143362124135823,,,,,,,,,,,-0.023299181361072705,,
BMP1,0.00843144523290592,0.06201575921339599,0.051412529006741814,0.04204046761676941,0.0256217568732484,-0.05568356008410979,0.005755789948174465,-0.030182850980088643,-0.018110088176245265,0.015329311038051288,-0.02064286835849314,-0.07976650654239578,-0.04236953197404524,0.01108573931703621,0.02091678863661237,0.029246540629115348,-0.010722989747944925,0.030664157603676585,0.04171328249876746,0.02880684948534818,0.004217948051879287,-0.0700719968589209
NDP,-0.03701228442453239,0.05584643412797448,0.003970548875893,-0.03534284217194015,0.013993659134122243,0.002064727491715912,0.010519224570828658,-0.014794332491789616,-0.022748182488023152,-0.017902764815475928,0.02160260316237571,0.029149891274703507,-0.006718831598258397,0.06704837214616215,-0.007060985285085784,0.09061769861242235,0.02621907809931723,0.041795038859205505,-0.006878394973652938,0.09272691392391837,0.08453916139356228,-0.00905796925714901
TNFSF18,-0.021153801188259044,-0.020875186876934907,0.05869067088546236,0.07289169675474094,,,,-0.01612118620578359,0.019591082664419175,0.01801187853011175,,,,,-0.036563944385911006,,,,,0.03013309934114534,0.03430303184308784,
IL36G,,,,,,,,,,,,,,-0.013205223397000204,,,,,,,,
RTN4,0.0048338733779774,-0.04592656021196207,-0.021331898829245494,-0.05922515677346754,-0.021779878480952683,0.009538921626998405,0.04699347200699681,0.014122470679341366,-0.024758048280618828,0.033058074676406424,0.005908237499118761,0.11011499288967001,0.034476053419683204,-0.006710324607058237,-0.052726407228187624,-0.09328737670333015,0.05970835831343311,-0.021882845957299512,0.04295926097909334,-0.05344346267396662,0.0890505784819595,0.050131808735358024
HEBP1,-0.004656371057507692,0.04259099449390802,0.05906451640662255,0.06449915226890095,-0.02688413545963884,0.020030411442356646,-0.03153607054348959,-0.006502429906438598,0.021859591500234154,-0.0343368156442195,-0.024253142571083575,-0.09478789722598781,-0.03748089850040324,0.0037213121635666442,-0.14431961240493096,-0.019716755626868157,0.060325319613202234,0.053759448319832814,-0.053552421547006596,0.0940424463880595,0.032542659418736804,-0.06641976561468091
WNT7B,-0.018635836291378705,-0.012064680261296276,-0.0045076457502527464,-0.03134565377021309,-0.004837528244169206,0.010714608961605004,0.03771094574992797,0.008495199161705495,0.0429683532270017,0.09482729063821052,-0.013333401711275476,,0.03377046092861943,0.007413106785532594,,-0.04493807694556962,-0.05209265375850604,-0.04690496903524097,-0.02940840163321389,-0.00931408670090017,0.16126715770601854,0.04078186216771571
PTMA,0.05468920807489075,-0.06267175418033372,0.00959695918248535,0.03841436593836005,-0.051095284070209766,-0.038890598975349064,-0.019613057728755507,0.010966543385532984,-0.08013496211541016,0.052914591914412945,-0.021494168507314768,-0.1526163976474528,-0.03879761899102016,-0.06965303890714505,0.036454793476465824,-0.04137132317329837,0.005167306364599196,-0.031394694246547984,-0.06278997361764005,-0.05517895866562505,0.008236126156407743,-0.10222897465532581
FASLG,-0.01863584155968188,,,,,,,,,,,,,,,,,,,0.011410939939620307,,
CEACAM1,-0.025876029100674477,,-0.023289243981117667,-0.024055903954515147,,-0.029309166831679535,0.017015875869474773,,0.0842265838370901,-0.02579514965779397,,,,,-0.059206126158210665,-0.04030118719361408,0.033684138256206475,-0.022723273778249,-0.019518783870948044,0.08261162842268903,,
PDAP1,0.035396230724592255,0.0985385830990749,0.04227375451604164,0.009804594676096998,0.006677755822784495,-0.04174991369138588,-0.025440810314195955,-0.007803088544353481,0.031260310446160205,0.010545227915536306,-0.010173392914185724,0.03791976830563368,-0.04162894571630554,-0.010097592751010862,-0.006167348056347739,0.0437401853897397,0.06291492515663434,0.006596863049561834,0.0025873898595980115,-0.004580141829289883,0.036698620250324374,0.05881543108589896
QDPR,-0.06808581044405318,0.02747085635297885,-0.016325701360431863,0.017932248075777455,-0.03406154412739377,0.005575347308332753,0.04036785029959743,-0.035001007621640025,-0.10278426742491902,-0.03021261379908302,-0.014434872697858567,-0.081763939643139,-0.06695773294910498,-0.03324915105336892,0.02028556041236479,-0.07339074303354776,0.059225669599910914,0.031014204290296492,-0.04997874055244141,0.04367694780757037,-0.034193423618655495,0.06269685697562931
POMC,0.003303064854889856,0.05489063748913539,-0.010034832211633916,0.042278614309460304,,-0.017535316754526162,-0.0037445731723057285,0.021641783968769087,-0.005006124546321995,-0.019030632914833305,-0.009369996374622675,-0.05196818594495898,-0.022256549984280654,0.07305698463235175,0.11698088672358757,-0.04392734838408316,0.030528112997812662,0.016561941542423048,0.03742041994969656,-0.003922878166818116,-0.016556173771992467,0.03469066224383622
CCL18,,0.08405775529325085,-0.02906277602687381,,,,,,,,,-0.011820535366261977,-0.003274865027475671,,,-0.028574204335351978,-0.009267658207828386,-0.002355697610269609,-0.02322655560295154,,,
CCL17,,,,,,-0.002893472037688846,,,,-0.020455465335499506,-0.016503013593284016,,,-0.023694314342531952,,,-0.020708951196210173,-0.03280247225316642,,-0.027633170431491536,,
VEGFD,,0.055661767730426255,-0.029062785255666416,0.05016552772661195,,0.01222035911130365,-0.018908086382836333,,-0.03529176645266741,0.02863084967387335,-0.012105160048639953,0.07521422076110926,-0.0150374248559823,-0.01241275291099039,-0.06809035196828422,,,-0.022723273778249,,,,
TNFSF13,,,-0.021931710373234155,,,0.01648489189675546,,-0.01563418755045679,,,,,,,,,-0.016854480706126242,0.09196435216470451,0.11482826614734301,0.007194319102959767,0.06769138022796557,
