,UKF251,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8812bulk
IGFL3,,,,,,0.03133866598000865
BMP1,-0.04899841291761152,0.025445773070857488,0.06735268493023151,0.03664731091960754,0.018253908231367477,-0.04624051906381405
NDP,-0.01196944448858853,0.001720675019053744,-0.027432305389418023,-0.008876975551220932,-0.05652569439654131,-0.023336229087103994
TNFSF18,0.1298569000992546,,,-0.027050321771106996,,-0.02783177834490173
IL36G,,,0.085411007176275,,,
RTN4,0.016720354165442874,-0.10001673559966497,0.012656442801820468,0.0035979215690657242,-0.039878267375091585,0.012802630244613039
HEBP1,-0.0020878571998790905,0.17796872823158857,-0.00509846465705655,0.03571330479473729,0.04659971564584768,0.02127436843002278
WNT7B,-0.017227636103705507,,-0.025423261489329056,0.07007769916871827,0.0717192239372201,-0.016413860679293565
PTMA,-0.010299290579755748,0.160760632810352,0.09437782358967393,-0.04747168174627486,0.03134811313244377,0.048476824096544004
CEACAM1,-0.013221174537054804,,,,-0.03129632904089265,-0.026944806033461242
PDAP1,-0.03167985335712805,0.001257809675695161,0.07761022027257712,-0.07636941811109825,0.0410621946192445,0.006648280836141808
QDPR,0.024396103646832194,0.20237454309355024,0.05329773769563108,-0.11144445002513757,0.007950272238407852,0.11749196488844685
POMC,-0.023491917811817753,0.014802248488901939,-0.007244910971487324,-0.01563657764981355,-0.02679023836976235,-0.04794701130850287
CCL18,,0.054397564646941676,,,-0.02218961185100219,
CCL17,,,0.04328062627111037,,,-0.035581518564171646
VEGFD,-0.018936679968464327,0.016505005666241777,0.09995500943429574,,,0.04457276252065052
TNFSF13,,,,,,-0.011016232356191273
WNT5A,-0.006013944606241816,0.0034743876288034913,0.024575117311197516,0.05808267876968688,-0.0122657169642001,0.0072542013363940455
CXCL8,-0.017731184709652483,0.07468932703640717,-0.023819214341270573,,0.03485179979866855,-0.01785633500027801
GRN,0.0115446459170259,0.16061984225545972,-0.03074449703414135,0.05979763913002089,-0.022760557865797837,-0.10234036635602432
MIA,-0.016840958868454686,,-0.00804352877970223,-0.0207790284136552,0.04172806716999048,-0.04244120885516016
COL4A4,-0.0034075705165925855,,-0.03008574555303693,,0.07289603052341866,0.1700658459774571
TAC1,-0.05303962238781444,-0.0947755206789794,-0.05331823753263968,,,
RARRES2,0.015149452225792549,0.025371518313418173,0.021037381571244053,-0.03720729871399676,0.08728653134186158,-0.034854044798823376
FGF7,-0.021373544886746424,0.03553108300027831,0.02801245567040694,0.015465469399902433,0.038952349855402926,0.12300536137982726
HBEGF,-0.03783433975791758,0.15303688234831095,0.023116668583814972,0.07355785283129483,0.07724482803525937,0.026066853611664286
PI3,,,,,,-0.030232303234835632
PCSK1N,0.013180220535032072,-0.18808859637606717,-0.030984829695951097,0.015368827936278818,-0.05725286294969836,-0.06100972059850786
NTS,,0.024527404584849446,,,,
SFRP1,-0.024341223861940337,0.10221762329852789,-0.033052992410608044,0.021875534777733244,0.022735870216162676,-0.09597489554217926
CXCL13,-0.021740028987267603,,,,,
MICA,-0.007033273192161642,0.04865293135499445,-0.05235458676762372,0.054126976778573165,0.037111849329033046,0.011038785706297759
TG,-0.017978133511229146,,-0.020661814363794214,0.04939319396809293,-0.03612987597711318,
ADA,0.010647583431993969,0.14742843535221825,-0.0008931901073794829,0.026194366783404803,-0.013658694990982273,-0.026647555523415103
LAMC3,-0.03196993443792447,0.04766044338761183,-0.03362298750855197,0.031669103518750547,0.036610946394592024,-0.03878159333538138
NGF,,-0.036780184363523136,,,0.138071727380318,
TNFSF15,,,,-0.03195350739883372,-0.03330212779650583,
HMGB1,0.04487574519331356,0.03760122640538596,0.07212108906603094,0.06697315284084966,-0.033658420935331314,0.0768397649444359
ITGB3BP,-0.029480053236622315,0.05529817687772396,0.02519434146081276,0.03100673512227271,0.06403359836119901,-0.09870426482118268
AANAT,,0.02545596772971968,-0.004179581370391518,,-0.02311141089008225,0.014284960300915025
RELN,-0.04218878025183874,0.012862273847149257,0.045768684776643406,,,0.013689680288426683
IL15,-0.02290386704389696,0.032028875695989396,0.05209940326577982,0.019822880900141726,-0.039068407376406426,0.01041696782880445
UTS2,,,,0.008883956159612107,,
BSG,-0.0010095764432196852,-0.07709505883423365,-0.01418331421066793,0.0687707785208865,0.017968150518131453,-0.029797344196745783
ADAMTS3,-0.03158888402277451,0.01153536115681321,-0.035977012853643665,-0.02913338244505991,-0.027673561701715307,-0.012640391177819345
CD34,0.032897270069794066,0.0032934058159624544,0.0010211407282978433,0.020953348379634806,-0.0055091512462866685,-0.0024969816457295142
CCL23,,,,0.0735287069172925,,
PLAT,-0.01586659564202965,0.011770913910783025,0.13169790005263796,0.05159578982064316,0.02823309830319547,-0.055667754025521585
LTA,-0.013221175893784128,,-0.026288277002508444,,,
CKLF,-0.04322982959377777,0.03446914453812447,0.04273145414457255,-0.009393259137648524,0.047238837471873935,0.007372011124399212
CD24,-0.04328168748186635,0.06028989778538663,-0.026037789932075825,-0.09104360761398847,0.08327881628211103,-0.009012754097317924
HSP90AA1,-0.03337889026760452,-0.17375423355684302,-0.0549057644303812,0.05137552491453938,-0.029625106277971523,0.004496612936969153
BMP4,-0.014015221472817339,-0.015700029469697074,0.007841877105401435,0.09767148340728153,-0.0247064027173686,-0.005133888846999986
SCGB3A1,,0.02038256348225578,-0.018343612044426607,-0.03720953810791923,,
IGFBP4,-0.003339083773247898,0.06514371484733249,-0.0037810604636551053,0.12643195778295416,0.03467937101073181,-0.022048808034019655
RSPO4,-0.021373540828980287,,-0.03646597881400928,,,
LEFTY2,-0.013383552049426598,0.07208466687047516,-0.032452584381731764,0.016610373764676747,-0.029534424429313453,-0.03237838099643165
PF4,-0.012026456421144366,,,,,
ANGPTL2,-0.030207730578314506,0.1758635366222058,0.04814125054221603,0.06911236055774224,0.08490497658956934,-0.05505429365577367
LRIG2,-0.05385325954108884,0.01878740515373443,0.09060805691772389,-0.0014362735825415086,0.0685941587851602,-0.005714562147323917
ICOSLG,-0.009444142010012764,0.06166984730297656,0.06535330752918868,-0.0596445431648028,-0.05148990424027959,-0.012444885128484656
WIF1,,-0.08425297006408287,-0.05421289245688616,,,
NPPC,,-0.033375881204090116,-0.050345319008800134,-0.026640003089293155,-0.002827787497629669,0.020744175654795652
LYZ,-0.03827904113096466,0.08334405382371635,-0.036728881308092105,0.012544612768076885,0.020618912866511758,0.031309105274250286
EREG,,-0.03783606112920924,,,,
SPTAN1,-0.0014023307942244386,-0.1873717550182391,-0.00017440595263704432,0.01757370576286482,-0.10659817037475754,-0.10518101529573465
LIPC,-0.018100459662655558,-0.00943132122118355,-0.023526946614151334,0.022817063330384066,-0.006279871708833401,0.08576910478779741
COL8A1,0.001082317146161719,0.04027844480618335,0.044892234158248834,-0.08692770981800027,0.03698443786753324,-0.05105022755545098
GSTM2,-0.0013412481773633117,0.03136882866614487,0.008495721829969645,0.03437463177399656,-0.04747495250905204,0.07894481317514826
SPX,0.009221289622767869,-0.008424756947554098,-0.028212890369045448,-0.03531643437565098,-0.0007745618835824286,0.02966263090840571
MFGE8,-0.06838198109256276,-0.1100409155980895,0.03843903334344047,0.11689152149156117,0.013702372015438719,-0.08511524018075153
TGFA,-0.05813925449941075,0.0874484035736096,0.04978740022813714,0.013260644631280146,0.06038141897653919,-0.009996247450368896
