,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.023106803368136284,,,,,,,,,-0.019296712779329057,,-0.015820172459660557,
BMP1,0.10275974048746431,0.049279804214408564,-0.008082409990151444,-0.03630256251323194,-0.012611219704180788,0.08896241403262624,-0.021894975361088864,-0.03306611388230789,0.08882293512289205,0.04325852485030748,0.04643009611244768,0.013233132574282738,-0.011635423168358906,-0.07273728395840826,0.09492044494925111,-0.021026591115873832,0.05080141470468488,0.006479368469844465
NDP,0.036883797957688064,0.05284562922429638,-0.0032938414262683575,0.01940988245223503,-0.022443642307232566,-0.009920589061267743,-0.013854212876219104,-0.0047661016308370935,0.059285535425381265,0.07529563855803866,0.019552562975211043,0.06715011117894183,0.03684207700972864,0.10788218780361081,-0.02742715962727296,-0.03002203959778086,0.05149310103183731,0.039777003654594204
TNFSF18,-0.020724176482128487,-0.00022551887393032117,-0.02528979448805163,,-0.011833028284306334,0.07860002948049406,-0.013259369982904992,,,0.07836671003536567,,,,,-0.019900359282339342,,0.04355029826580898,0.0430023320099346
IL36G,,,,,,,,,0.04836155163906931,,,,,,,,,
RTN4,0.039879194081445954,2.5803771691759495e-05,0.0004993899508414269,0.04507719704860559,0.0330028819384055,-0.1625034218078825,0.0048378344176413035,0.06772985215610583,-0.014855314131782777,0.06797184429054524,0.018372817211049667,-0.04604945831763294,-0.062003810803187245,-0.08846272897165136,-0.04331387910601035,0.041263851994273924,-0.03702449439168557,-0.0469034577429735
HEBP1,-0.03198677644673921,0.005673536810908206,-0.02769097320496913,-0.02439551246673445,0.012996441604315241,0.017566383567307376,-0.0047546231437055695,0.01230258456581927,0.026661822760635747,0.03952646466471454,-0.043782845328326186,0.05012441937650018,0.06309579309245031,0.0057673570279838495,-0.0031770221967119972,0.0006944593465834188,0.025729874034185234,0.01528854069017797
WNT7B,0.005672862873772402,-0.01658722720441923,-0.015709236383796548,-0.02174776956862682,0.003159616352149637,0.022585685852030992,0.03873564962896545,0.033223929059459575,-0.030065096254499893,0.08951490558728432,-0.029356663748463425,0.07363120025823386,0.0023691745714027055,0.04177369828288494,-0.0029672003558060913,0.011663027524268225,0.06315394995123705,-0.02892163736424269
PTMA,-0.04581775596075886,0.042443711394414385,0.04541456048698498,0.0021194054386871677,-0.08060996595194166,-0.05447639034039035,-0.003275538671835355,-0.04012729685393686,0.05181181602038036,0.03834832146763676,-0.05532003450046227,0.004279776178553694,-0.08138294844048641,0.006209281993576761,-0.007082619002276748,0.022737012671380716,-0.069726279634624,-0.061409858982208375
FASLG,,,,,,,,,,,,,,,,,0.006116076216866459,
CEACAM1,,0.04959605045450405,0.0963105175695784,0.023549981221488034,,0.0048984168215778995,0.0057034022319824166,,,,-0.06654097144853605,0.020422103340016033,0.03313646268722153,0.05245830627245021,0.040878427127231935,-0.025640813279261446,0.046780852410057666,
PDAP1,0.06502734982605109,0.04755841744927643,-0.02869577735972923,-0.02454589742070474,0.014057379516576197,0.0759174847399366,-0.01642277257173093,0.022454768956686223,0.07932274559396145,0.0607970348772368,0.011317044683776872,-0.06113318473230187,-0.02603027875774923,-0.06323316465088537,-0.060305154379178674,0.08943404860623537,0.037731057170975545,-0.03659582369226255
QDPR,0.03324502275686006,0.01896129473377803,0.0505198964126718,-0.0595730159881061,-0.05309561170709185,-0.16073676612584667,-0.032573735959669815,-0.02626464485887486,0.032958838494595674,0.05482192940850241,-0.07375707410534978,0.029820680206858397,-0.0012524845178573185,0.06064753257338119,0.08700508324712795,-0.0035570801287602215,0.004216704439312164,0.03115465606854947
POMC,0.021898697641582206,-0.02960967169942831,-0.021421400347270428,0.01690684630780597,0.007765761673991027,0.052335574310892564,-0.01538512440188346,0.047812069428312946,-0.04143995024626509,0.06341400261486374,-0.06815277644459096,0.08346371313574506,-0.03241838996746505,0.10245572599064529,0.05910348869193451,-0.041945002203242376,0.016819944236724265,0.0376738897805708
CCL18,-0.027792824691916785,-0.029653179812240804,,,,,,,,,-0.05705540426369647,-0.020824166927088484,-0.05341751310465914,0.007215829817846658,,0.04159732173981055,,
CCL17,,,,-0.014555480165642011,,,0.0500264618770602,-0.01526394347701055,0.03144874864079275,,,,-0.02070895852231414,-0.044192862198037385,0.052259225048181264,,0.012556586847620932,
VEGFD,-0.03131439000886546,-0.029653189228514263,-0.017267649499801408,0.0019251186170919008,,-0.02822607685904377,-0.01761879170938764,-0.01119628713375117,-0.02678102525625279,,0.1323534655922329,,,0.03797488762239684,-0.007071444874475867,,,
TNFSF13,,-0.022377248157097497,,-0.010040044456994537,-0.011475568926828418,,,,,,,,0.024294853116419393,0.014537685641258367,0.011129723687110873,0.050536541402160476,0.07086998921888428,0.18864252488242536
WNT5A,-0.07212486018722927,0.02936980898253802,-0.02540893015335368,0.08883368206463081,-0.02693108461706442,0.06051618114895591,0.04163763758059321,0.014331754845600826,0.021759706489579474,0.1128652523816392,0.009472645489352316,0.05933257176959717,0.0594037157370089,0.023568538358341766,0.05873292579965976,-0.049210607687870535,0.036212584041913035,0.022991460657554877
CXCL8,-0.0978735523890035,0.019006541270809953,-0.01616840350538735,-0.026090688796767913,-0.016323252502702876,0.05501345598317519,-0.06877062597718432,-0.010426469409698488,0.037681685653224044,,0.11389178944499219,-0.03666422449930947,-0.028809510825722546,-0.13951534873743746,-0.03612152771919141,-0.012083316953682331,-0.03234706273425466,0.024998541134107332
GRN,0.0654028363857892,-0.04765723972222124,-0.0049783624801149826,0.01750431939544288,-0.006274413327356042,0.1126865661994742,0.03896967836569701,-0.029133478563263433,0.03819369728040543,0.1095293221289118,-0.12193793941890867,0.01973396628193688,0.03378201794766895,-0.08621983232068563,0.020958950975586612,-0.06992834071016095,0.028641304339967685,0.014167335768039935
MIA,-0.03949332310484717,-0.0035381435038699836,-0.01535663988963903,0.04282895535623392,-0.020750041811844457,0.0621810992316673,0.07178550763855716,-0.012733418698526788,0.039872769694197174,0.052665106851726595,0.04453027302366727,0.010078245813556043,0.09387558682329054,0.18877440824971858,0.018853037889681193,0.03056274956683261,0.08082958620423845,0.04639492851176443
COL4A4,0.114242577266063,0.004868993075357739,0.068303616157222,0.018962626315964664,-0.010918496838469868,-0.02277003961295644,0.08097789400760351,-0.021391130758328623,0.053622559278965615,,,0.02544027254005383,0.08037903833169184,0.06038710429272594,0.08090786518357485,-8.550600870159254e-05,0.006931692669582062,0.11280833052190842
TAC1,0.020289537356652006,0.07192030032415452,-0.009139980412104731,0.018965606382862394,0.04172311753012877,-0.05122647863819312,0.005472519965034079,0.012644779536274145,-0.06305319811983753,,,,,,,-0.010100948740237313,-0.030964552039512195,-0.04571282017360214
RARRES2,-0.005940270086018852,-0.004512160429080203,-0.03535239699636578,-0.004184942479663959,-0.014066466825076125,0.12049416377836294,0.006810325950796484,-0.06111669858486161,0.009766930087406976,-0.004579294555907982,-0.010775684636239062,0.031811673683450004,-0.014386517612693508,-0.037176129249357974,0.0018397293114322348,-0.04323749054421278,0.02388034402077279,-0.04990118667548168
FGF7,-0.06253200284485488,,-0.01948973538588769,-0.025800939092600658,-0.006122005248676926,0.1047802047748103,-0.02497305715344538,0.00447521454720146,-0.00548051646488941,0.03062646398220516,0.016580546867692926,0.04751514194558913,0.01806055606948686,0.07722481587700368,0.001521708793772735,0.0006196441218651725,0.01296270004097127,0.014168477154294687
EFNA2,,,,,,,,,,,,,,-0.029096315446272867,,,,
HBEGF,0.06122902582321759,-0.016960625942520784,-0.020086634596709594,0.022701115559972403,-0.050344124448616856,0.05685063284441263,0.03830484649776952,-0.028753138888675076,-0.017397830194198972,0.07252063454472943,0.009144747101252494,0.020045487318814868,-0.024349499464546447,0.013124135182762175,0.041225243164021076,-0.027083047079611008,-0.013340993056999258,0.028157517931004045
CSF3,-0.03152337360427812,,,-0.0173488632209195,,-0.024090263641668365,,,,,,,0.03401073129765401,-0.12212123383610315,,0.05702550338247917,-0.024799067916535262,-0.01858539779580105
PI3,-0.037344136830736896,0.013518116198697918,,-0.02993890013450597,,-0.02712595481758279,,,,,0.09456644570860324,,-0.055030560520802865,-0.1699578232112336,-0.021616789586715982,0.028109906364231035,-0.0538801358999882,-0.0001717824421837813
PCSK1N,0.03889851365357562,0.015205762383934816,-0.018796245851428552,0.037555612787806135,0.07721158106934667,0.0314446290764379,-0.024645952300596838,0.006209501942860763,-0.00030440753533701395,0.05469675269828735,-0.1291780051607039,-0.006698066721773626,-0.0003314925259760608,-0.029643737959290862,0.011126165749246854,0.042350678906260146,0.046122487351642504,0.022591106714857794
NTS,,,,,-0.013329003868001177,-0.004287534607778006,0.03518095844792768,0.02453863649312923,,,,,-0.03866855985585083,-0.011448225033039104,,-0.029758687810253148,0.02286062946057562,
SFRP1,0.03983070649133078,0.03524908038683201,-0.029682517080531868,-0.012700219066092347,-0.029797781563549813,-0.007491985227544998,-0.006368589068388728,-0.015263943630730997,-0.0538098202137895,0.0692643587029535,-0.13479147562483254,-0.06322423673645083,0.018306369725662255,0.013658238821904664,-0.005566864455170776,0.00999512259508951,-0.0358706643494762,0.04189738716328296
CXCL13,,,0.07906065524733182,,,,,,,,,,0.023958303187319115,-0.06159911942461478,,-0.04663353254326853,,0.024387987759662447
MICA,0.002181641236264659,-0.03980066296790779,0.022528153141236212,-0.021151293495494133,-0.02829124790885586,0.08306984826084018,-0.005720228749042597,-0.030422138067648055,-0.03552144242223644,-0.011307481195438627,-0.02037421693148731,0.06387643828362426,0.03231486373463286,0.033957953404538874,-0.05965646276142754,-0.05601049884275076,0.09590347642257552,0.039571753913175425
