,UKF248,UKF259,ZH8811Abulk
BMP1,-0.022077798298487872,-0.016933391049698453,-0.03775535222684082
NDP,-0.04458807748214028,-0.04530105586458579,0.06281595680635034
TNFSF18,-0.030048498609262,,
RTN4,0.06969545680222995,0.0390649468327862,-0.06547996159358875
HEBP1,-0.04422465802199122,-0.04078225919354847,-0.010579670196232842
WNT7B,0.01524320926541357,0.04309504430330373,0.05110206145803154
PTMA,-0.05523007857954692,0.04989209007687932,-0.020641676627979208
CEACAM1,-0.029032197534013406,-0.002124257434862737,0.017654582748420175
PDAP1,-0.037938138034786476,0.05135471657321645,-0.05243408211424035
QDPR,-0.04317732379426791,-0.020165066534510917,0.09272271664902369
POMC,-0.032241112365447085,0.059612806644891804,0.061702933328825364
CCL18,0.09170021812502405,,-0.04074889461052086
CCL17,,0.02436315022029677,-0.015797574976320332
VEGFD,0.041467271060584406,0.018101965259522942,
TNFSF13,0.02321502280296842,-0.010197150588758724,-0.0303131735473935
WNT5A,-0.023555815020700352,-0.017990691959563848,-0.02470256747526041
CXCL8,0.10565944864157217,0.05622620699392894,-0.044073491858329504
GRN,-0.06320236792337082,-0.0321076360191395,-0.037971644258039956
MIA,0.021033250461757805,0.054623097596909496,0.14819116761621476
COL4A4,0.06581524516324791,-0.03562961356224602,0.07946784180975254
TAC1,0.012853077075378142,-0.03317640703787708,
RARRES2,-0.051664823746636133,-0.06248488914724591,-0.021490009804396224
FGF7,,-0.014966122660465254,-0.006600575974502019
HBEGF,0.004856134505520084,-0.0006168726174717706,0.008508891280315447
CSF3,,0.13299974566330885,-0.05911366193039644
PI3,0.016379722732214413,0.05284957674407862,-0.09094500123906041
PCSK1N,-0.020956880019329133,-0.08219441758039685,-0.014646755978702162
NTS,,,-0.03685409795280577
SFRP1,-0.0062866669421618145,0.03147105577914902,0.018828145162033575
CXCL13,,,0.03806511521556117
MICA,0.009166213976119372,0.002913752487785507,0.014036190587952219
TG,-0.029590882789679147,-0.013920012284620534,0.06046518736739825
ADA,-0.055971003652606176,-0.02754134559258215,0.08753763893552725
LAMC3,-0.05991182055810521,-0.005041094727553239,0.04261781044402117
CCL7,0.03813587211496254,-0.010064146641369077,-0.02367692353864824
NGF,-0.021508437894269133,0.01442287038733556,0.051485575560825135
TNFSF15,,-0.011206919516271301,-0.0230823417609731
HMGB1,-0.08431537029659687,-0.028073017953934642,-0.08259009145004238
ITGB3BP,0.018868214959883008,0.010633404329741861,0.026542087368114593
AANAT,0.006968026088411793,-0.010197151677081198,-0.020771342740801897
RELN,-0.01750530609557087,-0.017699971709856016,
IL15,-0.00781282083117811,-0.03539401006879077,-0.026600188949299403
UTS2,,,-0.01768831854827378
BSG,-0.013195340897012194,-0.012803544163746555,0.08375691148842895
ADAMTS3,-0.030932880180129196,-0.031965805810510395,0.1507165518911093
