,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF275,UKF304,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,-0.030140605387772915,
BMP1,-0.07660033123253934,0.06947829380670109,0.01400071809385588,0.01044669067925699,0.030041290311464228,-0.007563051414277391,0.07235333501347228,0.06312656515682541,0.10851300552548365,0.06623603115307146,-0.0079370534234579,0.053938792144332885,0.04825468514242967,0.005106982200613041,0.16412105767723917,-0.011990543584090975
NDP,0.0646752314146159,-0.14689786497094043,-0.1039486407599817,-0.023751480477646785,-0.0017480251203592567,-0.03180423931899109,0.001877841074530966,-0.029978213821569115,-0.026328226446264234,0.08941595651100342,-0.0439742644769498,-0.0114248388738507,0.027612521163970772,-0.04207668767319694,-0.014252625396086977,0.018008795938021946
TNFSF18,-0.022885145688031565,0.0545309363766633,-0.054630359865240806,-0.031179106349772102,,,,0.09861250478743876,,0.04109596968727512,,,,,0.06725964638467581,0.039085498098915844
RTN4,-0.026011418566518618,-0.0006726814056565509,-0.035329754143880655,0.027427332946132,-0.05976285947515999,-0.030779718991740136,-0.06637277779688142,-0.04660763994572727,-0.02245068624106546,0.022255842725709334,-0.07023781819408718,0.008908123777681964,-0.007920515141208407,-0.029805199565713043,-0.09503992903581208,0.04661073309592996
HEBP1,0.04768270807185728,0.08190380124317878,-0.03462959263806278,0.048844659188991335,0.05592144204805671,0.03014419564729862,-0.016344825215187347,0.005764619714912502,0.058815359405593313,0.09559327682766623,0.031640742734001456,0.016466576796145185,-0.04873092782994457,-0.027450150701460004,0.0021696267142752097,-0.03293150107873163
WNT7B,-0.020161096568460615,-0.015077282699414586,-0.04249437695544166,-0.0005284855535141464,-0.03302383926068486,-0.00787365194693354,0.019829373710977205,-0.033006099157863865,,0.16009646626578056,0.06695304623764183,-0.04692085367527589,-0.0179262445616034,-0.012613806981561136,0.009442450717579409,0.03972591430631512
PTMA,0.03728415225486112,0.1641952780995959,-0.07078726589350398,0.05249017396973973,-0.03481521953712801,-0.002097863430690551,0.08139425208587003,0.022528170711627542,0.048080731367410035,0.0015136929540743524,-0.039521782802940046,0.04705783371321619,0.03478306133501483,-0.015140849661738207,0.05414214059130459,-0.08236578694812247
FASLG,0.0027343267090349415,,,,,,,,,,,,,,0.0032335007915281996,
CEACAM1,-0.011201299437164445,,0.0018765444671695805,-0.004472802254478955,,0.03532229172474726,0.0731553935733269,0.04373511106014447,,,-0.015424783128478059,-0.042079373123640004,0.011923413305290237,-0.017779274485976753,0.034216317425017725,
PDAP1,-0.036424289509847683,-0.008601457208533258,-0.08314978053101091,-0.02442189540372868,-0.006779411246975909,0.015109916611905876,-8.980802547208176e-05,-0.004169261931117569,0.0106803893391062,0.053773463471592856,-0.14428743182722828,0.013629274726461861,0.04943818697448011,-0.06811505602114686,-0.049950023706242776,-0.08353361114561175
QDPR,0.11098685487724924,-0.11695346722604964,-0.10405969601166745,-0.04206726477370352,-0.05394653830496623,0.009771916303312539,-0.04295696146472949,-0.012832799746508684,0.065951174998145,-0.022418894248928192,-0.07076205640055552,-0.01665929557728426,0.0006066829393548058,-0.01623022225665242,0.03131446884120847,0.1204202862086254
POMC,-0.016556901499088224,0.03152034559415028,-0.015746075923875395,-0.03840554515133075,,0.09052902273602907,-0.008624386693251811,0.028793224725275613,0.0027332047040956806,0.070929274570495,0.18247080243492458,-0.011703814296373636,0.0040179742639123925,-0.029084557473437,0.0864221136795511,0.1794008503327397
CCL18,,-0.02370999510679383,0.1390163471636956,,,,,,0.04583065944574006,,0.01453713154162842,0.07128557978183117,-0.013230054911070295,0.054828118711938635,,
CCL17,,,,,,0.1169068277411258,,0.023108964469840607,,,,,-0.021906268641309012,,-0.014388212980892363,
VEGFD,,0.11951298696360423,-0.00978340364673609,-0.04169535235566683,,-0.025815045998667855,-0.01035317612080672,-0.025337514202165474,-0.021012486608289166,,-0.019958626996979895,,-0.015175140945307393,,,
TNFSF13,,,-0.039329473223510776,,,0.01961427300173334,,,,,,,-0.023811365061606027,-0.01996493363570091,0.0772043518753005,0.1370040936784091
WNT5A,0.008606648527976888,0.009811852799504462,0.059513807364670636,-0.012859848988660263,-0.0750509314178572,-0.006101569856047732,-0.02660893967583674,-0.03610305418433151,-0.059062821060281906,0.026543003122675178,0.0892621825634873,-0.014013189589182103,0.049756829907920866,0.055077458980157284,0.15281573603666151,-0.06198555327728645
CXCL8,,0.1662354949225048,0.2521715376756462,0.0026935554610424415,0.08854272301751209,0.057902409205552424,0.07375795268758428,0.007436238327392951,0.1084287910581417,,0.09713850288651338,0.13945618861776338,0.016445087073345955,0.024100349408196015,0.05975016928636209,-0.05489036887623143
GRN,0.07413388073866982,0.002378494832072963,-0.018962988753609734,0.02673120687249537,-0.063183745766686,0.03706802648064798,-0.02264080090937519,-0.04881453763056365,0.08469663158183616,0.07590870978590644,0.16413000978546802,0.0345687019981873,-0.04118230491271233,0.12662374688006645,0.1498036859478906,0.15286545687333739
MIA,-0.02638914393026282,0.1640939532171067,0.025639460405659672,-0.019622694549368023,-0.02021292129665123,-0.011372154578226093,0.03639671847185825,0.0015932868627753416,,0.12679124558685825,0.13767197217999255,-0.011995911135644445,0.02106620616785517,-0.011858409063024789,0.009248271721435539,0.012904055182082697
COL4A4,-0.0031255381614969514,0.005829280795929257,-0.056960796491706156,0.1297292307426477,0.029673367313741424,0.056213229866520484,-0.015193953478426024,-0.013697629000127866,,,,-0.037720720821612236,-0.02429777342197502,-0.004899427916279146,0.05491276728143267,0.0042221008784819256
TAC1,-0.020161091299124776,-0.08613192312541235,-0.05560950264485243,-0.042499962646704706,-0.06965991720209308,0.013420260950861362,-0.054610168851288006,-0.046600350175768766,-0.05448519151089931,,,,,-0.03067431349233807,-0.006949232202807344,-0.06943591013888813
RARRES2,-0.05817543553310727,-0.07305937150079206,-0.037412918314217905,0.13111604150789116,-0.051892998062021294,0.07521839047350512,0.036400424879638946,-0.05571497346237095,-0.01734554173690854,-0.00046387615160737173,0.026312900341039464,0.04234066977806954,0.004923705716341665,0.044742190342496366,-0.007932117520340481,-0.10733263192067377
FGF7,-0.015270027620487441,0.03094047375260275,,-0.019884258397709027,-0.011491123032747536,0.0399289654081223,-0.03220772070272309,-0.014762008608539186,-0.048782218517148465,0.1181655445943901,0.06411835432524879,0.13173643528110285,0.0009104330526574411,-0.01835139326461831,0.004781143648748134,-0.019994293629163586
EFNA2,,,,,,,,,,,,,0.04212963039818104,,,
HBEGF,-0.061851087679088305,-0.0703825376020739,0.01764296259569513,0.0236335490139415,0.05950463569688366,0.05276086933828099,0.06598326201248826,0.014951929638446526,0.04615490824876055,0.13332484307236991,-0.009495054490333096,0.0876709418062786,-0.017727236225490665,0.07424232505995892,-0.03662370240966,-0.028732152472476954
CSF3,,-0.03165984281345595,,,-0.023440903106855017,0.003934383932473573,0.022913212952687487,,,,,,0.026117833002946008,-0.025489018600822897,-0.017252796399807587,-0.018026705866663915
PI3,,0.07824627027291653,0.021778311066875545,,-0.03348157282142353,-0.0019436351101053666,-0.0004948628588346014,,,,-0.0010522591840508811,,0.01787399669826595,0.002340943822763131,-0.08053054066696387,-0.027396900598632264
PCSK1N,-0.0770339154425745,-0.16898004307445824,-0.13631390010013936,-0.008146139085326009,-0.026100645854198287,-0.04786645315165766,-0.08138866562496425,-0.02018637586250193,-0.07860674350843487,-0.025369698832510203,-0.036698102744789,0.08389561237193478,-0.033098453426768565,-0.05544943062591184,0.012220409570099736,0.052478103397610124
NTS,,,,,,,0.04542058864430272,-0.02836419195288483,-0.018917987727535217,,,,-0.017571634816345296,0.0406925835890694,-0.0031518041568442245,
SFRP1,-0.0128987998723553,-0.07331630575024413,0.008395397832549141,-0.022864455192043266,,0.05216171703477694,-0.015125989312334729,0.0006604201424697596,0.052257243778415015,0.005455617528449934,-0.0993399859978723,0.06281914477837765,0.025353106473128346,-0.03479604480880576,0.12052426176421845,0.04447846503043218
CXCL13,,,,0.04985922291861892,-0.017020869248685025,,0.09249112834219804,,,,,,0.007021919013649846,0.06288534854726299,,0.03311226942256398
MICA,0.018701334219306785,0.009715581635313235,0.04998471981510812,0.03044938743889574,0.027274219972062065,0.038813932120478026,-0.006388918309803038,0.0129320835378457,0.01554410164202021,0.18430860424109122,-0.011416574082056376,0.05193607136156701,0.01979808245084212,0.03203331847762499,0.10184327485421395,0.005105660206093364
TG,-0.02334900778172311,0.05468317222219982,-0.005212522323376397,-0.039584795893274544,,-0.02181798043926236,-0.00024456808991909086,-0.012071423168757249,,0.008207383781436027,0.02516446400262371,0.02578243262944166,-0.021641389144647874,-0.020977853987541567,-0.0029814650717984556,0.0381140360290356
ADA,0.023475067697150045,0.032406101272422945,-0.03805947536718689,0.010899655051870674,-0.03411669108200544,0.008470871815074164,0.029895336664511277,-0.016017810735827608,0.023084119191024335,-0.0037924359994214256,-0.0031771957421173978,0.06031518601048397,-0.039836927123432515,0.004049084527552274,0.10982504225276722,0.033119572047433106
LAMC3,-0.03059939646575508,-0.01331345057379233,-0.04802890997783032,-0.004652076949145751,0.0058284859385536155,-0.03306572516456108,0.03020532959699954,0.01558324664781196,0.044308854818318616,0.09835789856104932,0.0008905769961421643,0.04980148540712729,0.032523279020460254,0.011862078339603184,0.18204158855199173,0.048673763506030115
CCL7,,,0.10073380076055956,,,0.056358956633701426,0.011016818998639806,,,,,,,,0.03742114558395086,-0.0491572366810587
NGF,,-0.03962163592478437,-0.015882666222869674,,,0.05505348361241655,0.01774113468882214,,-0.018918000183774947,,,0.11128627385666535,-0.014229087109099769,0.1505743830251031,0.12771822518670572,0.017316331830595465
TNFSF15,,-0.02601965648847518,,,,-0.017565526939982895,-0.001980617106055692,,,0.026630692593935672,,-0.04477626304124333,,-0.015828242958654214,0.10448906749808522,-0.0634348432743859
HMGB1,-0.042444353265902145,-0.16928504309003278,-0.15498371691413237,0.04058707521155995,-0.07513309811740376,0.014389563341217392,-0.02622045160307942,0.0073266203695726015,0.07619807354189463,-0.03714202465679854,-0.125382231190762,0.049673602064587534,-0.031329350815725715,-0.01707458958510322,-0.08321784485191033,-0.05552777096056461
ITGB3BP,0.0578294962069042,0.07604954082259975,-0.012760566980323875,-0.020767261818071394,-0.06482091456249973,0.018998951243423778,0.019093411789007777,0.019370389060023002,0.009951493334194737,0.16178240788604178,-0.09933167963217986,0.06055815200720779,-0.022462257897329436,-0.0010541696964834568,0.017786430959999412,-0.11463426548609304
AANAT,,-0.008839071501933603,0.0658856426161651,,,-0.01598283473302365,-0.025162156580159297,0.004590553944282849,0.18825223173207123,,0.05179282098758717,0.017616167060209284,-0.019409392248626537,,-0.025225724715121946,-0.027577048531750845
RELN,-0.01935694648349926,-0.06831626911082689,-0.06595417457709396,0.04096031026660106,-0.026398038494338694,0.024276411297714278,-0.031237574226125046,0.026212906232964822,0.049573408827750846,,,,,-0.019118802150517266,,0.10358180548786426
IL15,-0.03706260308920501,-0.005968198286571695,0.0006469799168414653,0.014734078628237737,,0.1135470179205399,0.007910107885402036,-0.02317191769504438,-0.007564762621353352,0.013641259532095485,0.009529156607859402,0.0021788681678595024,-0.03518904761810268,-0.019551720666687807,0.041268907667779076,-0.04777487298663857
UTS2,,,,,,,,,,0.059322442009176864,-0.014836293691428977,,,,,
BSG,-0.046238000060077236,0.07750100908791373,-0.16823336273887704,-0.008121983769317909,-0.025041248953152483,-0.0432321516541955,0.05985000837469841,0.011832403824497661,0.04638579117264454,0.12754610838805222,0.034874379858921174,-0.02652149318817384,0.028404518846293424,-0.004796632197991415,0.002250222227646472,-0.045805447309383435
