,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1
DCN,0.00014973762940953986,0.14947603581211458,-0.02026635027657984,0.061713606988615444,0.06485334035966042,0.027104561025479458,0.1686238163433454,0.08253475967816197,-0.01679949643731872,0.12303573929305935,0.06423317997201096,0.056841180045038985,0.05212214662723192,0.15600127098312921,-0.011693038043329171,0.06918523699659467
RARRES2,0.09384052242112761,-0.06592236736029847,0.07351538259342769,-0.015984865835235666,-0.046231283291804134,0.040894818961025044,0.08583295572182294,0.019412831049561197,0.028935616271550127,-0.029880707394105168,-0.05094267312501291,0.014626716867723712,-0.03399609582394115,-0.019514427040773316,0.02709975304906435,-0.025863766534192572
SEMA4A,-0.0333692124702216,0.02565636503363763,-0.01202464928443285,-0.025921433587643757,0.0036475899014397346,-0.04389517278089361,-0.017264157051446852,0.049935338782502524,0.010491172127006341,0.05560144063559841,-0.05659180672288335,-0.014613152742785284,0.0029096939624363993,0.06462257808416919,-0.035434109645786596,-0.013886842454692383
GDF11,0.06826954273584147,0.033394459884383026,-0.013930653590864891,0.000355809402312054,0.015325295496411269,0.06540615548536972,0.06120634851006419,-0.03877596475051793,-0.015316600321436051,0.019103726960812216,-0.09043273375185808,0.00756818507340409,-0.011904920621755525,0.0416341920963037,0.005961830670233637,0.02969692226330173
GPC3,0.03934016617712601,0.08933025330756748,-0.02629270978009768,0.0308883083991113,0.04188586720046519,0.13338393858546632,0.005933709654773692,-0.018440539376680627,-0.03758309116394876,-0.01885946919919206,-0.03644313345377846,0.004512378817403089,0.047638326093282564,0.08205256232315393,-0.05265067851174328,0.0980929943399849
OSTN,,,,-0.007685145636180469,0.057641641636659226,,-0.01971483481200722,0.11361475209052532,0.1346865091954514,,,,,-0.016864633608713233,,
GRN,-0.022656290550326558,0.11340120654518664,0.01344379245920677,-0.028695406860558596,-0.027136859925490118,0.021346502340535707,0.15091770243337269,-0.06559965983802438,-0.03223271325789679,0.02039543469554992,0.012464063059865055,0.08611956275243461,0.024644862099359035,0.08138136372418912,-0.06441298899540562,0.011665502747266495
CALM1,0.03230940651420149,0.07798241029116178,-0.007051549232037986,0.06754448055850505,0.07181177577893498,-0.10173456373622228,-0.12480410403144586,0.016795246178687048,-0.00594485310916179,0.023387006629883515,-0.007575761903260566,0.04982501534415547,0.030018387145662257,-0.04398498852414269,0.01814303110230604,-0.005631866476110809
ANGPTL4,-0.056613249070903815,0.0067314498834743115,0.014091330260022078,0.003798606508682638,-0.054438745949510536,-0.00611288512071497,0.005691337135187661,-0.03682695628574265,0.01571375386673812,-0.050306317111617274,0.05020193961162976,0.03170404799784182,-0.024796559699009044,-0.04987568513543286,-0.04681379171456969,0.01870869442173253
BMP8B,-0.026618334123548637,-0.01908219899693336,-0.046256578601735994,-0.02148559769486389,-0.0027068389745842935,0.10246378550662925,0.13576914886556724,0.0033728136984931983,-0.011037324763082907,0.012822570248971392,-0.06964551968040986,0.008263771752660732,0.02584596307686375,-0.01471946082714265,-0.06252817002143957,0.03412793110256822
