,UKF248,UKF260,UKF266,UKF269,UKF275,ZH916T1,ZH916bulk
SEMA6A,-0.00429247553097242,0.06834184339455197,-0.045318649088688975,-0.16028661931559796,-0.05118581821929503,0.008554521710000635,0.040731781449226276
IRAK4,0.0026287196313010738,-0.0032605224036478054,-0.00043526673373660903,-0.11135984170229346,0.042372502509584235,0.005033436884335165,0.06569308629362273
GSTP1,-0.01619857069413784,-0.06287349963506275,-0.05587737670795785,-0.25040944477302296,0.01099768996272211,-0.020128506419310153,0.032304289921570875
VCAM1,-0.0016289206840344988,-0.07552182154619917,-0.08957168359103099,-0.1513527938717236,0.06658972015331487,0.027505040742924973,0.0033066692920318444
NXPH3,0.016678091054230428,0.01757499871694415,-0.0047094790862088325,-0.0971683343208353,0.023618503820377657,-0.037451939679387286,0.10223379324269544
MTMR4,0.01957850178652631,-0.0260536071154604,0.04946845134843331,-0.03078813944347386,-0.0758838503409776,-0.0061491409879058405,0.04063842431240749
LAMC2,0.05923521427940127,,0.11046326474538054,,0.016663479965835743,-0.03129172148128798,-0.02626640340944141
IL10,-0.02819307351098645,0.02856364037511551,,-0.007578921377086273,-0.02471675018588967,0.04587493348262986,-0.04569244302055668
SEMA4D,-0.03379863813974252,0.041459929470996956,-0.03172597204818607,-0.006303394103683449,0.010042267803165425,0.029820624246375476,0.04213678561952394
TRH,0.051468310441505176,-0.01250681023354113,-0.012250909980409447,-0.045909681661735376,-0.05583251196055259,0.025670032615143615,0.05946844886324653
SEMA6D,-0.005834119366608064,0.061511110035239146,-0.08951250303119447,-0.11252480477933403,-0.014760699935419739,-0.015518984025220608,0.021398345124834583
CEL,,-0.024674633798257847,,,,-0.015789238534309025,-0.010075012865261785
PDCD1LG2,0.002227505111199766,-0.02780780851882745,-0.033579859406188926,-0.07051537127605607,0.023188731858062635,0.07285679939015287,0.05788842478778372
SPINT1,-0.029475412858558887,0.03309657562718126,-0.03444223477930968,-0.05672017816691944,-0.045515046303809245,0.069523981260149,-0.02875678177516263
CTHRC1,0.034652738689852906,0.01076720952465246,-0.05116864658317774,-0.10748227278598801,-0.03751732252042051,0.09566794699877365,0.048886845638587396
PODXL,0.04632444199024916,-0.06110995249502284,-0.020285112253739454,-0.17715158669208525,-0.05643039398180998,0.004747983700337397,0.030822547447389617
