,MGH258,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.00029329123141430893,,,0.03890746220267988,
BMP1,0.004674341262071619,-0.02842501504350416,-0.0013769739638819604,-0.06388084044390197,0.10145547877451845,0.007059002628351442,-0.04428671916785317,-0.012657548583325165,0.09219755874007238,0.0002150009376125183,0.042356425922091115,0.009819711342134755
NDP,-0.03812473697764092,-0.019415719713327846,0.037784464954210444,0.03790197373232157,0.03599359456404309,0.020462917091742996,-0.005050501275419805,0.1009275003972723,0.06301787555996784,-0.006128094259594075,0.04754342137925476,0.01569963998210303
TNFSF18,-0.02010298448374228,-0.011245537557956375,,-0.023342037793471552,,,,-0.00020478168495947766,,0.13611696520544284,-0.02437827363899257,-0.029467190832681227
IL36G,,,-0.015082912803739348,,,,,,,,,
RTN4,-0.05549443594559649,-0.020914297343104193,0.0018366662475567787,-0.023837626500760694,0.07142034197162736,0.04932449309519481,-0.05405369057556663,0.02299210862375368,-0.01931127144934376,-0.025555979925106883,-0.0003824077155484959,-0.03141159004006025
HEBP1,-0.008005562539016664,0.03386700807770796,0.04866097815529457,0.006904033502732604,-0.022929772266791805,0.007600725545300689,-0.009902047385545249,0.021188306869760212,-0.03356438289718975,-0.014090842270411557,0.017628214836785946,0.02183194167285603
WNT7B,-0.01771009968719385,-0.03223428658906155,-0.01657785934728936,-0.0256973053014463,-0.06735471135639082,0.08412173136543741,0.03928570509988593,-0.014650164858274299,-0.0253851831900879,-0.03551426985559749,0.03214150964842657,-0.01227667731691718
PTMA,0.005246718162561348,-0.04362711613953118,0.029185678562573522,0.07651734883553671,0.09455773491335745,-0.04734037082586646,0.03959220351727185,-0.03712661329222035,0.03388980325567323,-0.07447831136719527,-0.025453015945725164,0.08034885044845742
FASLG,-0.017710104693793666,,,,,,,,,,-0.03027991893764875,
CEACAM1,0.11116940761149798,-0.01768655150884999,,,-0.050719786694882564,0.049161729606955896,-0.01668743185187043,-0.03296377338935902,-0.01684851527776145,,0.03935377248906939,
PDAP1,0.00814082996775378,-0.07399568340805315,0.01843887766375054,0.005669169425493395,0.04525952725513401,-0.0028540744888308793,-0.03611156481568164,0.07473079670630148,0.01870384007886958,0.08081077198875242,0.025296764112359784,0.04703965074190231
QDPR,-0.042817577856169686,-0.011801728962565308,0.06977469291595736,0.021716383845904248,0.030748230111660682,0.03427376209923388,0.056817669197962106,0.017838059593520694,-0.019836626342339642,0.010085873911185874,0.05111791274960417,-0.04418789512297255
POMC,0.013270514473412424,-0.013048432506090004,0.08697236327035414,0.011078215428614686,0.02682050786039154,0.014152422448634598,0.038788048482898956,0.02074815758732153,-0.027561957678567943,,0.026185410335925315,0.030621920115928996
CCL18,,,,,0.008199033190739599,0.010203028397167063,0.0013873448094056666,,-0.021200693350814613,,,
CCL17,,-0.014025374773683244,-0.013778669049965208,,,-0.019921021397433153,-0.024089355505699753,0.13062758742956881,,,-0.027445345488022525,
VEGFD,,-0.014942850538839874,-0.014767026392204306,,0.09373805521775827,,-0.01668743185187043,0.03253571459337063,,,,
TNFSF13,,,,,,0.06723281538691718,0.004353432293636054,-0.03145141271878941,-0.01891975342671697,,0.05187376136735288,-0.014568466657213003
WNT5A,-0.02276783759280065,0.03558542919824766,-0.038199477642463335,0.050996131624218774,0.02446474493885784,-0.03310477732048148,0.016536936059482445,0.02101712631708619,0.03157506686783009,0.020544826543813326,0.04170868049197111,0.030126963685956493
CXCL8,,0.05037355458836039,0.031208739674000004,,0.06612967541754665,-0.07910882191944238,-0.07438984193474146,-0.0033648499935826732,-0.03742678142633786,-0.04196964090863058,-0.016518142045392183,0.0496467222257405
GRN,-0.004420990007062625,0.03983458879139021,0.030956885892280784,-0.035743879915739005,0.05151094306371099,0.02745750028115105,-0.016825800692426177,-0.06155392553331486,0.007358592465975524,-0.011104184506859512,0.03368270504071883,0.006905496599831685
MIA,0.056651249724933975,-0.007870010604745941,-0.020224119380915524,0.052359373069800014,-0.07285886915337635,0.05469474119102085,0.03719020928928707,0.06961824630956995,0.06913923827156163,,-0.01877415782008969,-0.01996372169828558
COL4A4,-0.020510459200175336,-0.01464292519018806,0.048217306421582604,,,0.06951814848853334,-0.026719187623544242,0.027891772601433548,-0.03395558167055502,,0.052278584049923006,0.15617496732081274
TAC1,-0.0177100950584544,-0.05687869209561362,-0.03476746061210387,,,,,,-0.029068488701163634,-0.03189623243827202,-0.03607969740419817,-0.0981080093925291
RARRES2,-0.004547063629632227,0.00032255721199130207,-0.03728097839812414,0.058428362677998745,-0.1082683537939585,0.007741723400467884,-0.01768075784591267,-0.04566037609134151,0.02759561739131992,-0.004968536748229485,0.055972186899753175,0.0945104063195257
FGF7,-0.019077179835031138,0.00528091943890607,0.007284973051430737,0.0016429782689282644,0.11092789539259913,0.01749317954121862,0.015535916593982567,-0.04662199952508214,0.012764602364561879,0.023233300405158364,0.04195393677488313,0.006940826295763289
EFNA2,,,,,,,0.009782338098060806,,,,,
HBEGF,-0.02021917246267538,-0.024007478174102672,-0.027575671694845285,0.0331526268245414,0.06260344446519886,-0.021877879396802833,0.01881789540129556,0.0349615723775281,0.016245670581521605,-0.013415666705274954,0.039351797188313775,0.1164284633010357
CSF3,,,,,,-0.04131904525967611,-0.052960896925532845,,-0.008831124569236529,0.09858363007796356,0.0006090036277421377,0.06570033788260371
PI3,,,,,0.033949783792042235,-0.044647944695123044,-0.08062626937044784,-0.02491965258845663,0.0531459508509938,,-0.00032827026078920027,0.15718955827799283
PCSK1N,0.017803267045355693,0.0896249133932008,-0.051294530216233994,0.009739841070453168,0.048231634332276056,0.011527744840221411,-0.0020463196392076616,0.013853263301237621,-0.01757812990377966,-0.05186201915718903,0.04201020755898689,-0.04455364840559918
NTS,,0.017307823268804878,,,,-0.007387802481047017,-0.01932275025191051,,-0.026977933433709238,,-0.033119681576328476,
SFRP1,-0.02576863566327911,-0.011640330692319083,-0.005697922738872013,0.01575712652324447,-0.051045909567787144,0.08126883328349069,0.0572879284889854,-0.01066813130897372,-0.050061710480018985,0.042818839744103485,-0.021603355698422512,-0.003991884290138412
CXCL13,,,,,,0.024283160087826005,-0.04074959911205173,,-0.008793472881194262,,,-0.01444849540299613
MICA,-0.05096614692408147,0.04843556270965435,0.02565803505014527,-0.024867080893308746,-0.026318508052787373,0.03470345047111826,0.008015765164046892,-0.03938293860955619,-0.03910258852598847,-0.0530982203169886,0.0739681207286928,-0.054077266819023875
