,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.0031126583258237485,,,,,,,,,,,,-0.025871944016797536,,,0.02009848875340848,
BMP1,0.01614880738239885,-0.030319380733546952,0.004019470559055062,0.006573145488199536,-0.047236132401627946,-0.03828926956542981,0.003152452031626834,-0.09813162142154162,-0.024076330141596967,-0.016860122672411704,0.04989846855498394,0.03039273833827425,-0.008287409816479295,0.08781146169864042,0.035399147093987844,-0.07141459045736501,-0.015354630062065175,0.12296359563949097,0.003952216371013022,0.08281172790766467,-0.01933257360840812,0.051920290670891836,0.07883769519740363,-0.02264867187245986
NDP,0.009043625048919427,0.023431670864436784,0.056618642447663646,0.07657028511414417,-0.052645220783245864,0.04987654031932023,0.003945313341404633,-0.04134345746284061,0.03547352529708541,-0.004856266180956228,0.06663844774129984,0.08411060129789084,0.024318744525435417,0.01844947002650153,-0.003295488747659114,-0.02261311049870502,0.015371987260265474,0.11347775916354928,0.11738511327108532,0.09684432875413043,0.017534820527563305,-0.10129105876230081,0.046332280412696256,-0.015031362332241855
TNFSF18,-0.01893267348462334,-0.02497999057318144,0.02902765539793983,,,,-0.0046157418849408745,-0.01997921526468354,-0.011245538334954812,,,,,-0.024507770299510324,,-0.053650500461309945,,,,-0.007890514346780508,,-0.03214813581293133,-0.006414540472036151,0.02545898824722076
IL36G,,,,,,,,,,,,,0.05294190671946103,,,,,,,,,,,
RTN4,0.04167646338584967,0.020097784204161986,-0.004487280253023017,-0.01303960870820205,-0.03484364867501271,0.12258552753713649,0.04641941068485942,0.1442893758138505,0.06106385907773262,-0.003437027817972304,0.08407951419196731,-0.057906059176935185,0.008968363621670222,-0.032975371506396754,-0.030731067104034757,-0.07739291722329693,-0.060286762756718605,-0.013495197462442361,-0.02094780586879047,-0.11129168778603409,0.15459379731407472,-0.006743387280741841,0.012974768031703752,0.005073977041015623
HEBP1,0.018423284754210952,0.03395553743813946,-0.05486050161739562,0.07058750483731152,0.002276316071487319,0.022006925100920848,-0.011862693669191324,-0.022928738098134758,0.009691151044827984,-0.011421427462716212,-0.022958461965909057,-0.02294844240657866,-0.011275848499050672,-0.06158343218045557,0.09060651596841239,-0.06684290370255329,-0.046887760981262384,0.09366132138868412,0.06222746553895632,-0.032458941400388706,-0.004074342917403427,0.03937202543844598,0.05738114944332794,0.056114609382570166
WNT7B,0.07339693816495549,0.051390552179090415,0.03781158244834106,0.03166948996844281,-0.009947570477802928,0.028541344659420726,0.0940442407906692,0.07630208752403632,0.014085016732448483,0.04052206091324578,,-0.04969452537938234,0.06020174411280248,-0.02698066300879594,0.0011416618910751633,,-0.03572386289789469,-0.00974960260311081,0.018189153831636263,0.057085891608413174,-0.05279792952515834,-0.03214810247772945,0.02210189443129214,0.08769802626043889
PTMA,-0.00010484893158915046,-0.03408639651213127,0.014142785040447454,-0.153436342425114,-0.017578452307383724,-0.08145863993772294,-0.0245890456433509,0.04873682660853141,-0.03035617179744244,0.010749374911126453,-0.10512504360626793,0.0043588769751876045,-0.11703294245586636,0.005964206432097956,-0.038985049322831145,0.04124278540511973,-0.09199188005681434,-0.16511507452226537,0.008257182325020644,-0.06192503706788036,0.005361822114740023,-0.03952309130201804,0.00982189002059637,0.015607566355427795
FASLG,,,,,,,,,,,,,,,,,,,,,,,0.02947375080358501,
