,ZH1007inf,ZH1007nec,ZH881T1
BMP1,-0.07382753457180724,-0.07532271687158064,0.01614115765393528
NDP,0.06365218785631854,-0.12438926550857213,-0.01835180231238075
TNFSF18,0.026496062660915143,,
RTN4,0.05643892418668857,0.009966400337932176,-0.006854837730419521
HEBP1,0.062393737136354904,0.19019434855987788,-0.0024357809738765343
WNT7B,0.06746463290741274,-0.0573118724363073,-0.005763223879365266
PTMA,0.04649759010771026,-0.09470708110853296,0.026689912749024543
CEACAM1,,-0.043157277145365054,0.03566419019685016
PDAP1,-0.023970706571046354,-0.09608410880491855,0.04173190090232114
QDPR,-0.02122513046984991,-0.06939215043318171,-0.010887498834324426
POMC,0.029126823687881744,0.018719785953224963,-0.024254469669081048
CCL18,,-0.03700510889525591,-0.035788098477952224
VEGFD,,-0.04169039165212919,
TNFSF13,,,-0.01664934657350659
WNT5A,0.007681279077646801,0.08859172937788012,0.03689654503812483
CXCL8,,0.07998230681447963,-0.05471819216835394
GRN,0.06363432021775102,0.12718171363939026,-0.008734977230386274
MIA,-0.07403035812855291,0.0723500873856333,-0.00947323475811873
COL4A4,,,-0.029880846467045006
TAC1,,,-0.025580214067182718
RARRES2,-0.052981842516808604,0.04432272926098058,-0.01902766113103174
FGF7,0.013132060387185356,-0.09477124482454105,0.016178561949036167
HBEGF,0.054077804846316906,-0.009967860083683265,-0.02375967229058549
CSF3,,,0.04855872057895224
PI3,,-0.0592355053387685,-0.006210963919813041
PCSK1N,-0.06338697450368286,0.021638013217365012,-0.0075574079224551335
NTS,,,0.017899058554789363
SFRP1,-0.03097308563351899,0.09071889465790961,-0.0184134850553095
CXCL13,,,0.012761525618825934
MICA,-0.061522984969937966,-0.09533191415075314,-0.04706990090257522
TG,-0.035109540706723036,0.020185011795526397,0.02585762688532526
ADA,0.043763457845936195,-0.099636251504417,0.03658704956981276
LAMC3,-0.054006657371099255,-0.06977701357756133,0.0008719392216248316
NGF,,,-0.03649198220382081
TNFSF15,-0.03236210880677575,,-0.013199638299676601
HMGB1,0.009848764983112084,-0.016420778785438073,0.030320806776305942
ITGB3BP,-0.05455476733028942,-0.007204857509409706,-0.014396526100629324
AANAT,,-0.02912702599193783,
RELN,,,-0.015943732590478505
IL15,0.05819368994344934,0.020349271678277436,-0.008066949776440619
UTS2,0.05042894593606296,-0.00517304651315008,
BSG,0.017101906203130117,0.07383970890409,-0.0884155698703499
ADAMTS3,0.016325514811477995,-0.10133942691065234,0.02351055745570074
CD34,-0.048475868946365804,-0.09849153959971825,0.042321827986660676
CCL23,0.1175107392260579,,
PLAT,-0.013235237371554947,0.0792096124624857,0.08400077066416162
NTF3,,,-0.016607160153480786
CKLF,0.026615123304229816,0.005521408828377755,0.02765283910985393
CD24,-0.07281418163836272,0.029141016959391364,0.05366291721277356
HSP90AA1,0.0225861103646846,0.0213163457298772,-0.03621807050781719
BMP4,-0.056511163993717306,-0.038088192445837145,0.027581124790216
SCGB3A1,0.03964154537368788,-0.0416903511253059,0.013788915867111121
IGFBP4,0.0010258479709665837,-0.027944597637542166,0.008736881849040918
RSPO4,,,0.02153813792105579
LEFTY2,-0.019743629856261984,-0.1241074812049153,0.05285304351091124
ANGPTL2,0.0026295430061889988,-0.11563114174785877,0.04884919086681062
LRIG2,0.04442267828515216,0.046671435888228543,0.018636049108753456
ICOSLG,-0.009333922145974855,-0.038759090100057986,0.016267837283691113
WIF1,,,-0.01716079283469864
NPPC,-0.02698065873732579,-0.05208296949167019,-0.03263768848497919
