,MGH258,UKF243,UKF255,UKF260,UKF266,UKF275,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,-0.004388312451629419,,-0.005233501650883905,
BMP1,0.0019435588497260438,-0.004890703085198744,-0.020771629425203362,-0.01926048545612709,0.10630467749282388,0.03447257849713969,-0.014028899070163225,0.03365321927546172,-0.04805636014222555,0.07988168383103776,0.03180203760106859,-0.02127981037577603,0.06823968834008841,0.00018086264231111085,-0.008787673614418132,-0.02446031538465544,-0.05696599594939153
NDP,-0.01566216233814307,0.0464196412025949,-0.018116028828754117,-0.03677258170802779,0.02628297880869135,-0.0006260409927510114,0.034316634476530425,0.009469991700998617,0.04955619275645244,0.05060662286627349,0.10055075303750133,0.04128893057862079,0.05563933390115633,0.01829986778865343,-0.006621291304103792,0.06546262877502541,0.054955788084958164
TNFSF18,-0.02115380653898456,-0.025285704724165605,,,-0.015976254074961508,-0.013868992604099578,,,,-0.05558325074859932,,,,-0.02600468204768943,,-0.016012461532205473,-0.028861143408753336
IL36G,,,,,,,,0.06923302648255965,,,,,,,,,
RTN4,-0.07221576973586871,-0.05916657003650406,0.014409931227116268,-0.04642778329364539,-0.11437118473411693,-0.0040423892416570125,-0.007841267009514177,-0.05361228819295659,-0.004563288002041628,0.04151621722016902,-0.03957959133540478,-0.028600351111712517,-0.011406686861429954,-0.019406767459905806,0.021655325786231822,-0.00273139809774226,0.06396283947419994
HEBP1,-0.05709730179478689,0.009538215767627034,0.01776734744875415,0.03898961025413382,0.01559976324982393,0.04324217055954929,0.02097701319626566,-0.04707238512644035,-0.13467632121828357,0.05161254582173042,0.00027996744957771793,0.02327351373906792,0.104305331455612,-0.025161032705935546,0.034682839028193906,0.05398373506069947,0.049754925590782394
WNT7B,-0.018635841005200295,-0.05901711590634059,-0.029177437218450182,-0.007386211330947202,0.04500461258237376,0.017311836691975443,,-0.0177399853884205,-0.06250377669339739,,-0.03139831939828469,-0.018881359485275005,0.004050219482279882,0.0954417252710686,0.08138378355478222,0.044427056916422215,0.01321762002728486
PTMA,-0.06161253421792112,-0.03236757917165772,0.14050197999206476,0.0218598664502586,0.14825541058688071,-0.028104502676401927,0.0993102770328005,0.05890892826754065,0.08631723508888327,0.0209484219091327,-0.08316692895762849,-0.014160456429624196,0.014710282639166173,-0.04607233991771537,0.008514255871684846,-0.0743452837949281,0.01848645389043795
FASLG,0.006494434441715244,,,,,,,,,,,,,,,0.06599254281076655,
CEACAM1,-0.025876035645858858,,,-0.014122259619172054,,-0.021812621300145617,,,-0.04706691124752169,-0.03908445855276946,-0.028158515754197366,0.01837547977757143,0.015665811076961373,0.01891870077271418,-0.02827496853791417,-0.027826215424007875,
PDAP1,0.014431262254333334,0.05659858687389051,0.04452142322807008,0.037080494811923936,0.03618957255248057,0.0025296597535115384,-0.01612093359495018,0.002049061681902635,0.03998769260065407,-0.045009287018666945,0.05989086398387295,-0.040217822141336186,-0.036237879283895824,0.05161626503632663,0.044803105705282356,0.031174997283915973,-0.024447911458053594
QDPR,-0.02703954825408718,-0.04904932415511098,0.12165007611075639,-0.0026222127791339853,-0.050699069268101825,-0.0251541449471874,0.007066589579226231,0.0024287020697787536,0.04168863633470487,0.0596424640114644,-0.06893329554020575,0.0395778577673491,-0.014855234995962968,-0.04902499387839571,-0.03627919431187428,0.032461971682306336,0.029228682652700868
POMC,-0.032617515820323295,-0.0008008183187007433,,-0.028417325874653038,-0.042148580507016906,0.0009525655889974421,-0.06178549648394927,0.035425386766032095,0.027207052027801368,0.011920871151810102,-0.021806527005924805,0.013284121716461665,0.03427912792402455,0.03686978926210125,0.01085919931995119,-0.009880777552267173,0.084321734311113
CCL18,,-0.03391020913262023,,,,,0.05747798155664448,,-0.04035741574268755,,-0.019964850640135912,0.007601878854138093,0.03527455757722298,,-0.05512057125123526,,
CCL17,,,,,,-0.017297333987232443,,0.008286376868825144,,,,-0.023401563891843634,-0.042519813428082275,-0.033245668514916796,,-0.018127201763042625,
VEGFD,,-0.03820689425533258,,0.013528361736904634,,0.08390881416826135,0.022489290579062987,-0.015802211065987747,-0.04546714004119977,-0.05313446491239515,,,-0.024640157153543195,-0.03506391903029693,,,
TNFSF13,,,,,-0.015493633618107386,,,,,,,-0.04490408613962505,0.02243415143108932,-0.005999446999419556,-0.03175089460800204,-0.01531184645300571,-0.03139680728428462
WNT5A,-0.01861402089217656,-0.05877498579204827,0.002887927517990517,-0.004276342090852961,0.11225417379909405,-0.020753444876335642,0.024002137060059863,0.07014263788997764,-0.021469211426685425,0.016894348225211984,0.041310524595798225,0.01415020945611581,0.008654873525928367,-0.02878049426286503,0.0003919607734045461,0.0020177849859297626,-0.02720327961892727
CXCL8,,0.00295000629847303,-0.06652894693681534,-0.006342357010876063,-0.005644347415750023,0.05125721409574982,0.07605731941378074,-0.04751120218002436,-0.08476902011641263,-0.01142437951559234,-0.03515126288259489,0.00565526119145966,0.026969601745506805,0.010085411184210948,-0.05169645417218777,0.04525778637908499,0.019483181784378193
GRN,0.03604081040575215,-0.0015215730427812434,0.04701878741238803,0.034572331966641084,0.02446359815809537,-0.04723695590356508,0.013858913233415133,0.06273381539751885,-0.03962975271805485,0.0628667921424466,0.11265626461951864,0.009599114194404373,-0.03461180396253754,0.005902732467897375,-0.01405269632270728,-0.08406963154326397,0.06680162500757576
