,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.012030813711923861,,,,,,,,-0.023331087090882826,,,0.07250481002001873,
BMP1,-0.016336427550477223,0.10974818478983735,-0.019149619047092087,0.06614592966758703,0.05608054473795595,-0.00262516338477236,0.05571487711935171,-0.003044255057415427,0.12651240746482767,0.02235009240237753,-0.13389463083773856,-0.02494219827617202,0.12111740602235258,0.18302765517009745,0.11182138600051751,0.1597181124433285,0.030123214189991632,0.17283513897290242,0.17694517860642162
NDP,-0.051097253989284115,-0.0440120015428983,-0.020922872485937646,0.009706555147911508,-0.07467663849451843,0.004645991704287807,-0.008321556917982696,0.015885084028533787,0.11561134842804484,0.2240139564859612,-0.06136806594715216,-0.09281610809245845,0.042399585295165944,-0.006947942599480717,0.048422540086920554,-0.0953024656909723,-0.0038603487679532084,-0.001454386010054141,-0.0009771429818284333
TNFSF18,-0.021544819491276294,0.026448762615801605,,,,0.013505323888794687,0.07120377282823728,-0.01262208878819351,,-0.006848509224451869,,,,,0.1243602444564296,,-0.049113014061351434,0.10622546847545555,0.08114743735136734
RTN4,0.031564222682518524,-0.0004029623837213929,-0.045494499248207435,0.015420183474813949,-0.01567497031440239,-0.06704699099186744,-0.05327504402014453,-0.024978901125236437,-0.06482387820337172,0.1196789994815187,0.0396481251154329,-0.08136377656420063,-0.05272526776328751,-0.06729050204369273,-0.15154320668274368,0.025626488966426022,0.10213483943379152,-0.09528308104084252,-0.2088330469303335
HEBP1,-0.0046253519101738085,-0.032062146639660206,0.04881803576837039,-0.004922009671601507,-0.013953227887101374,-0.011291792620691654,0.022694566653859754,-0.0021506837806944848,0.00605338715974223,0.09687424683369933,0.04323834299831676,0.051237500928916914,0.0797840741276317,0.07592027995471261,-0.04957954833759882,-0.0005565599680614931,0.04942953508787326,0.0725374356294152,0.04290369528487754
WNT7B,-0.05028584818846877,0.007060929951091883,-0.01716407475622609,-0.00935469932516572,-0.009284224002193949,0.031737555876190246,0.03460340588222551,-0.03618004255059806,0.012921735110773214,0.2922939120045185,0.019589602315285136,-0.0323049385617303,0.0005215460771228199,0.057207188473096984,0.021411659911683582,-0.028348160115869936,0.05878842908734592,-0.0014454845804869824,0.007062361165105477
PTMA,0.0013664841439883248,-0.02240055022948443,-0.1576603674334751,3.062741748898758e-06,0.003989216517069533,0.05073083460473489,0.030298127022759948,-0.027895016236490315,0.21471698557430602,0.08120081561713083,-0.054035333424032085,0.028802882654506416,-0.050779391949513565,0.030577600000708,-0.165272378200467,0.16367205559695702,0.04091675954898918,0.05341362017099448,0.05899443202139984
FASLG,,,,,,,,,,,,,,,,,,0.010992880714154883,
CEACAM1,,-0.00347707663326702,,-0.0188087761882708,0.05442796049813295,,-0.023509845161523327,-0.019851538652655713,,,0.14662510028450837,-0.028971586341610237,-0.024221971823202,-0.056695866024526774,-0.03457305633964202,-0.004033466669077891,,0.029524777938373537,
PDAP1,0.03184724629873535,-0.06939069058602751,0.0540583104564942,0.04676910002043949,0.03807489074760914,0.054603642366077974,0.03159534759223064,0.021149555797217858,0.16307063640852662,0.003912030669736183,-0.10351396958737182,-0.004749115770432385,-0.021924765199143506,0.010082914232953369,0.04079841952515385,0.07154077758299567,-0.030176236846368942,0.0039560073435817794,-0.0714351312547569
