,MGH258,UKF248,UKF251,UKF259,UKF269,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,0.05188198109202039,,,,-0.022059519184305997,0.03961501760759862,
BMP1,-0.011418831634459075,0.029460020460647184,-0.006503861019286438,0.061360496157793286,0.1665831686352911,-0.02356942027795183,-0.007011873827003862,0.015846170846861716,0.059388745281532554,0.015422918839087427,0.03426618959908325
NDP,0.005376952020350462,0.04742193419788814,0.025734415827237376,-0.02589104609815772,-0.00010322406264417294,0.0156680514238441,0.01814880568638218,0.047110233979256365,0.10015546875331363,0.11574700784771964,0.09062309358465563
TNFSF18,-0.019279987219288242,-0.027232129609639697,0.02602110465732921,,0.04235889598097596,-0.017103081279361977,,,-0.022749592761395203,0.03469618130270148,-0.039049674444313384
RTN4,0.0018080488333280878,-0.006767676541721369,-0.06398493783141875,-0.03948542409786073,-0.19208679975227658,0.016797228995862456,-0.03318584291702481,-0.0005632128998045975,-0.015413103946620139,-0.06924868584163821,-0.0399022590814728
HEBP1,-0.05792945985930751,-0.08939068597695488,-0.0008539512620006918,0.02490518380126356,0.05337800695933389,0.036907952348877344,0.025263233327222443,0.014333952439114,-0.02519212521867011,0.09473152922055962,0.02045185838442098
WNT7B,0.039213787139110196,0.008567104637280602,-0.04763191966841291,-0.03161023031130279,-0.04430486543266892,-0.001281891511786832,-0.03673613415482998,0.06229338416022755,0.06459397173825902,-0.051136022033988496,0.09360114953909798
PTMA,0.032216266119489786,0.07720729850973272,0.017226143290508075,-0.018584864959530167,-0.06645967621500064,0.0231829894291987,-0.006834139378712849,-0.034276564565689546,-0.05158608836102396,-0.13007889656982924,-0.12202565299266445
FASLG,0.037610978462876914,,,,,,,,,-0.011214930105732547,
CEACAM1,-0.0037956610535780995,0.06271575759383632,0.018436170940371525,-0.009507745215913452,0.10290062836731309,0.01627321998408147,0.0009988043220002935,-0.015621295099888254,0.07496305654184587,0.05693388581315875,
PDAP1,0.020990763826060528,0.034927798851332355,-0.005922519411958331,-0.013683022804017226,0.11486402608179515,-0.06214821824487587,-0.04207969505748456,0.0023696127379331843,0.0487679403878028,0.03936253475440269,0.01193596679087812
QDPR,-0.003996230038234849,0.05679424294572415,-0.025187471921248563,0.020945158860042248,-0.14192652153999744,0.03545076111757374,-0.030303520712425456,0.024974347695029868,-0.06130478239628668,0.06806329395516912,-0.026188934712419155
POMC,0.0316052031231216,0.028010554447534964,0.008645783863995025,0.07127762212967459,0.05726797321225636,-0.006276593602101612,0.059410199974303725,-0.03659511709792447,-0.038178967902947857,-0.01822840846840685,0.058883080162256705
CCL18,,-0.021629327573143894,,,,,-0.0376704216781816,-0.016866065521081323,,,
CCL17,,,,0.03826234061741073,,0.01773928423512988,-0.014604109302563237,0.04971851459305223,0.09104279014880057,0.09710031095567528,
VEGFD,,-0.004948112744173127,0.017135570090534534,0.010790048261005093,0.0625422988605316,0.06286452159777876,,-0.015621295099888254,0.033833022905303524,,
TNFSF13,,-0.016322189850802967,,-0.02315910666969712,,,-0.028023092180748044,0.09079065426580377,-0.0311890451452818,-0.016067347342076863,0.0676572074716908
WNT5A,0.037904522138256916,0.012020329224267398,-0.006655167809953817,-0.02468441780747316,0.13707490675591033,0.002438440731006923,0.0518979121338412,0.017926148246708275,0.06192883351499582,-0.017741847216699497,-0.019259106514396256
CXCL8,,0.009137035182228173,0.040542750278888325,-0.025928580672879023,0.04063578385500035,-0.043259587956932556,-0.01545222163307763,-0.04216819276656398,0.019449163414649265,-0.02577950896268314,-0.05537209431174328
GRN,-0.019657969236503234,0.04072341952543881,0.009631747595041738,0.05766120192913917,0.15725243540046577,-0.017920566154591967,0.06732224921139149,0.00864131082932891,0.0047881496766198585,0.01968078072126512,0.0015992413838371046
MIA,-0.02223199120683366,-0.04309309664323376,0.003631158577411527,-0.047066945080786265,0.10663990421846795,0.00011197461839670091,0.03272597555159224,0.06270158855052203,-0.025610594400641954,0.07658274768780202,0.09207694355967672
COL4A4,0.029121319260254904,-0.011783299126131129,0.0028269300223667275,0.016634271995382838,-0.02910777803603597,0.05520381343220374,0.16712070926177933,-0.02501213598363747,-0.008968600130886534,0.012037632127722237,-0.0474783639663433
TAC1,-0.016985060434957754,-0.04695820527605223,-0.01813326332823857,0.0035683922285021925,-0.11873777390458162,-0.0038991287565477003,,,,0.025826416712010164,0.023817174936893143
RARRES2,0.012217038032068616,-0.021199034772341262,0.017966384127147947,-0.05151792343800937,0.12664096334025554,0.035174737018074685,0.025008086420543748,-0.03783965641905627,0.06469655197995713,0.05184253194368551,-0.03221921643599214
FGF7,-0.012959530881580753,,0.03764006415481353,0.024340138753559046,0.04891505009725101,0.013726884030592398,0.09911699225520473,0.005829603094508489,-0.03816447149172044,0.05294281217009658,0.11784872504795538
EFNA2,,,,,,,,-0.014846995567306205,,,
HBEGF,0.021999675986337838,0.02332838516009884,0.06786750823575337,-0.004607254677144515,0.07850128663505102,-0.03416760291099244,-0.021714356274390192,0.05253887568550461,-0.10436011899732517,-0.07436770903269713,0.024446894650063368
CSF3,,,,-0.04001816681711516,0.05436012585031736,,-0.00708022963832532,-0.02827396864356485,,0.04077892046818639,0.06302221090360431
PI3,,-0.007931828410821158,,0.00021546329467043575,-0.03467610444544249,,-0.016174317603139032,-0.016216745377009883,-0.0247117729348225,-0.05484595114419258,-0.08128579146792594
PCSK1N,0.03849642655766199,0.009208849611558732,0.006578326418244468,0.015644040468530688,-0.027750568241412945,0.0027043341403281355,0.009136119142134547,-0.005542857551913625,0.04021946172421331,0.14131265181400435,0.0019102031270237722
NTS,,,,,0.06894538339607323,-0.025440989720815398,0.06175767191283206,0.005053630496892024,,0.04491087846821104,
SFRP1,-0.005640126527619323,0.0367155978022245,-0.0012371963414983364,-0.02929526152399126,-0.03833457281276747,0.050708593404437945,0.023113432641110758,0.004993433807522849,0.03107425079042063,-0.03651365520073852,0.01974720273219976
CXCL13,,,0.0085193633308297,,,,-0.03280382375549871,-0.03814616404621629,,,0.01095059373577304
MICA,-0.0011675138311369846,0.035132379735872944,0.039584337446344195,-0.006382516417475479,0.06489722274917083,-0.04326230522228681,-0.006877681951748302,-0.009069733531502724,-0.010216188029154007,0.019030212738323175,0.09120098584944067
TG,-0.01967077587144711,-0.034060943650983076,0.007484676367513903,-0.01375694755381667,0.09059763083682182,-0.021490046529960817,-0.019405210026521878,0.10368252756446435,,0.021558485595555076,-0.022389655813782106
ADA,0.0023228843818714966,0.0831949785386994,0.04612226457654866,-0.007695281942315241,0.09277601567648266,-0.022468242599412675,0.0259476958064216,0.03637616355779821,-0.013283322789557826,-0.018980296882686362,0.07692562485696863
LAMC3,-0.049227906893659745,0.04639649046634692,0.09517885468736137,0.03681893347684454,0.14810369871782153,-0.018004297805017618,0.02587833066282324,0.06443250801161057,-0.006378293454284037,-0.02923428677006591,0.023998396708019818
CCL7,,-0.013758079533776196,,-0.022857036735721325,,,-0.0020086678232162504,,,-0.026452843267127938,-0.0644963245738124
NGF,,-0.023621939345835744,,-0.005121557674243971,,,0.008858431974427861,-0.01464742696851181,,-0.011347559004946137,0.007695704042559601
TNFSF15,,,,0.06500819589795966,,,-0.021338530916400807,,,-0.027734601607440953,-0.008074814454522582
HMGB1,0.015426995579871735,0.09523949472530752,0.08657665621387349,0.055821414162810695,0.14428583145687154,0.021793488211229183,-0.011357479313065449,-0.0036122438603792347,0.012228349231131135,-0.06171555225743396,0.023738409705965927
