,MGH258,UKF243,UKF248,UKF251,UKF260,UKF266,UKF269,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.012843351301708559,,,,,,,0.12171283750717782,,0.011587362173318821,
BMP1,-0.004407904634102658,-0.019475621193385476,-0.01132653773515479,0.0815594292604637,-0.010118076493803732,0.17211716975631566,-0.023875122695771207,0.0941096085416911,0.0868338467232288,0.016381227461381865,0.07304543189266809,0.06773004670564284,0.06801469598025696,0.08339757202650785,-0.019355628919890244,0.061050316873286804,0.0701429067728555
NDP,0.0326606393343975,0.10147744940869503,0.07594951822031111,-0.009777797804205261,0.0029234904295663195,0.05199166128209004,-0.024220160543091045,0.014929298853494028,0.03478795511576659,-0.002859551351506061,0.055134636834289014,0.02954853491360502,-0.010905727190148444,0.03752638602130604,0.0668836939325287,0.07491302790141581,-0.03766531834148167
TNFSF18,0.03783346827445563,-0.03934176226936022,0.01160310713460089,-0.016652192112945108,,0.0032831577585926467,-0.0190719911150654,,,0.03151217326818397,,,,0.03884866502399223,,-0.015039764302704846,0.030442244503202022
IL36G,,,,,,,,,-0.03590269797782854,,,,,,,,
RTN4,0.07573036132526799,-0.08327966789800706,0.006045249095014437,0.024709043437245146,0.03319882488084425,-0.14507170566934632,0.01362270104884323,0.027889151296980552,-0.12458170611829125,0.052892677427230014,-0.019955428012774775,-0.06104402553698649,-0.04634068011176125,-0.14810246952795705,-0.017234416385770918,-0.0475989690151886,-0.13390373934195124
HEBP1,0.05317380200922497,0.03211902556308328,0.048278655185477144,-0.03513163535748741,-0.04131416977496276,0.09110497412671166,-0.0775819122905017,-0.0037163510186329013,0.02915642733747892,-0.03146168530394221,-0.0049654899774024906,0.022715106511640888,0.003252297668583121,0.003434464808826101,0.017525737717901543,0.03152069342086498,0.03011188122152701
WNT7B,0.2274271504386923,-0.05013934951261836,0.01445107582193435,0.03774823049498603,0.026531872543250613,0.020365554249407548,0.058325167524052486,,-0.03501539699486981,,-0.05130639876550098,0.01821038413856355,0.13514108782803985,0.006767506360022077,-0.027906707127318825,-0.011377088436302009,0.06228873927284145
PTMA,0.037422137403244744,-0.06089652298074233,0.08346622274720665,-0.00312243903777445,-0.018801166502278484,0.1998596599973966,0.017254510323927892,0.04686568929625221,0.124647945000306,-0.09005729148393483,-0.0683013909921018,-0.0500033182873403,-0.027475034561553844,-0.08291157570260013,-0.07264852396433677,-0.03913376278605719,0.002925181612143234
FASLG,-0.006815011438653007,,,,,,,,,,,,,,,0.06408581957875704,
CEACAM1,0.03507068213116009,,0.04679713788725884,-0.013379753551917103,-0.014343778234456777,,-0.025097654048034705,,,-0.033632030186094286,-0.02975121578669919,-0.036447389471507594,-0.01269505793561411,0.033036062422156974,0.022336989295918947,0.026364331740406238,
PDAP1,0.04953006943728626,-0.006768497315147936,0.03714736542605998,0.07191725513372228,-0.031782668352414264,0.07859374117438186,-0.036535377459358566,0.05357966353447066,0.06622768102599073,-0.03315766192944552,0.053441513931045334,-0.07818882669702475,-0.0019035786177833574,-0.017587338228618198,0.03546941926191425,0.010463051885666095,0.044862975861429996
QDPR,0.08763956353683294,0.11139611308149897,0.10111354379808604,-0.014890195254127943,0.011125315757942783,-0.06122525690632128,-0.016239746528604552,0.08598330304647366,-0.044587666177745316,-0.05177197006069708,-0.11142167116723173,-0.044931981073934424,0.023870493353552964,-0.05656410033220859,0.00455803447126381,0.05881246326935377,-0.17028185256031575
POMC,0.044234560208665265,-0.04151510368067035,-0.017425004216107074,0.02996592575717069,-0.015629947507210334,-0.004515849054408019,0.021493996198591783,0.05462475332530761,0.004454820287581116,0.024368860985632398,0.024278280130875834,-0.006945913590632418,0.004679109157164522,0.017106775593629837,0.04389993886046493,0.03894512668697498,-0.00862145897471399
CCL18,,0.01896478293912475,0.017544178699828748,,,,,0.04491359041897309,,,-0.03262354826202704,0.014096487012279052,8.184649671252551e-05,,-0.042371829271547125,,
CCL17,,,,,,,,,-0.037564392802803104,,,-0.02585765872679652,-0.039814850527146596,0.019396491326697417,,0.13839883146119167,
