,MGH258,UKF266,UKF269,ZH1019T1,ZH881T1
IGFL3,,,-0.02106634198916744,,
BMP1,-0.022354993564999162,-0.03931092762590762,0.03321559568200638,0.11426478387538049,0.00012232349730053466
NDP,-0.0020794428949529567,-0.023432506144707814,0.038893518045773914,-0.009753823291956558,-0.03735032337756125
TNFSF18,-0.0009058441912218351,0.01089006289354442,-0.031282885424996666,-0.06301898504381108,
RTN4,-0.0341937928410688,-0.02049281983601249,-0.05305036899285788,0.05977962337903893,0.07373850698346335
HEBP1,0.04578007277758226,0.029153933563261885,0.025134303531511307,0.01678693631832828,0.0069097143576726285
WNT7B,0.004621798703982515,0.06763205047698291,-0.007194219346892624,,-0.002685868409962138
PTMA,-0.011120604263148127,0.02140389832689212,-0.03230715708919066,0.010780428887929282,-0.07399044940799185
FASLG,-0.019736376752609648,,,,
CEACAM1,0.09865799644156877,,-0.021660794134910875,-0.02231100503792666,-0.019238777656220823
PDAP1,0.058803030226859954,0.01202855843178175,0.034674873581722804,-0.08096654765330388,-0.028289539818979016
QDPR,-0.10576407547437448,0.022039426336763066,-0.05841066101912895,0.025588473942591665,0.003793423043003339
POMC,-0.04773218899256699,0.03267092868934335,0.03710565405288613,0.13411119547460496,-0.019888954991814024
CCL18,,,,,-0.05942574279414585
VEGFD,,,-0.0352917737467382,-0.011323449241794884,
TNFSF13,,-0.014323531662539189,,,-0.02160385787628232
WNT5A,0.011995452518662042,0.02115129154424501,0.021249642030731618,-0.02742120700369746,0.01498687240111765
CXCL8,,0.05295243058344644,-0.0010163027481052793,0.052321208455283826,-0.004840984464648687
GRN,-0.0670568884602945,-0.017612528787111763,0.026541747474323304,0.04882129755116993,0.02786410386101453
MIA,0.01170367492036685,0.031242938661839373,-0.017917580594756104,0.06855067869603318,-0.021297142114381058
COL4A4,-0.022857129144219474,-0.013628207557320658,0.016478321451836798,-0.04717114938916323,0.001377427946850172
TAC1,-0.019736366014859133,-0.010183675181663934,0.005687224970264765,,0.013878912953526352
RARRES2,0.13551462577952747,0.027839632623220117,0.07551357313406905,-0.034365217928491135,-0.051760416038263826
FGF7,-0.0501185180332446,-0.01952430642660505,0.07813907244547628,0.01477953194966256,-0.05168512135792056
HBEGF,0.0003859809496626958,-0.004689281824307262,-0.010146758161892823,0.08925750474955066,-0.030094314319398657
CSF3,,,0.04880214255873047,,0.02630303502973636
PI3,,,-0.024730579642094127,,-0.019689262949956838
PCSK1N,0.06492578296841092,-0.03733129287897511,-0.025172659415762664,0.06973459617597734,0.029600224664953007
NTS,,-0.016636944987283308,0.03223516840563166,,-0.005792826485583447
SFRP1,0.004051209500454357,-0.019876645668790837,0.012016630217617522,0.15601860527868436,-0.023770789635680287
CXCL13,,,,,-0.027307632008815617
MICA,-0.00025108295801253277,0.012106144107873695,0.03999077862764347,0.03956817988252984,0.058809133372580195
TG,0.01875961433047459,-6.166728542170266e-05,0.002672750555111431,0.004277339632411627,-0.022699929003813082
ADA,0.004170042685852383,0.007939565127297016,0.016033146935001713,0.07814581676782593,0.03478085765062816
LAMC3,0.04561566351493642,-0.05268683114742939,-0.03609051179223271,0.00944740433216498,-0.00997111334514231
NGF,,0.0027591484093341745,,0.03623888994321694,-0.031553045330955716
TNFSF15,,0.027557092538506644,,0.02289524355088674,0.026582648955984254
HMGB1,-0.008052122069344867,0.04496495456441711,0.034734626173551046,-0.05362688024095607,-0.041730415672058103
ITGB3BP,0.06148673200773431,0.044886102092006566,0.008401803873328418,0.02758194196583916,-0.03520308358493865
AANAT,,,-0.019811181718343424,,
RELN,0.029726280344483855,0.012030573434735141,-0.009702532175310176,0.058856116663723756,-0.002881159238720261
IL15,0.060955818675026495,0.03141535138475918,0.073161937697775,0.15259734363311897,-0.0325384264024304
UTS2,,,0.0218161859546573,,
BSG,0.04274158241541081,-0.010633289025362008,0.03287782792518443,0.07266972775502402,0.02337410297709901
ADAMTS3,0.11131824588830604,0.05027299812484654,0.05183824317120218,,0.08856290043371255
CD34,0.07124878301869202,-0.052036307736260765,-0.0106288691646359,0.055327935510069634,-0.001378862747322151
CCL23,,,0.010978048663707066,,
PLAT,0.051934637708683354,-0.0019755462355431114,0.025945123186841314,0.039102897519745626,0.06688388574434039
NTF3,,,,,0.07963140317564467
CKLF,-0.028047523233057786,0.003486952843122402,0.05542200959311888,-0.052559062161052585,-0.008912022847962291
CD24,-0.04311948009653543,-0.0050803619540840195,-0.004610231170529869,-0.125392056297388,-0.027205248345043
