,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,0.04385425750853826,,,,,,,-0.02148682197305168
BMP1,0.0949108414101708,0.055064414612624395,-0.012563172009525406,-0.00349436214362322,0.09390855821206233,0.052064058415405276,0.023072320261419185,0.07673763251473376,0.024582277773718502,-0.0551522371877179,0.016083526412230143,0.06562060066327517
NDP,-0.031878045388303494,-0.006341310921844763,-0.015259267287545893,0.07368881076946135,0.025385068569344138,-0.06721878962169027,0.06933260793283565,0.015710893703471014,0.08892940544262028,0.054147950610770934,-0.03678342313564597,0.05117891746642449
TNFSF18,-0.018148982772003712,,,,0.09033117159250752,0.017214573587551702,,-0.027920512628013254,,,,-0.011787130767214667
IL36G,,,,,,,0.010762617126723668,,,,,
RTN4,-0.043473061425539555,0.009797030518537694,0.0217934252140519,0.014819625961121343,-0.13220586034552653,-0.05868230231599898,0.027999405751369687,0.029536842435609913,-0.0174337671393098,-0.0806240536796155,0.003283709627924804,0.0030670455701202904
HEBP1,0.01350408478866304,-0.008790401790273962,0.029461524758765435,0.020157094260661215,0.06671267292759372,-0.06776156568299373,-0.04546383336617664,-0.06041571358212642,0.059792909667436965,0.04714273878325165,0.011430570379275374,0.06554457642624817
WNT7B,0.05218608590902536,-0.03484532808826411,0.023537944511346484,0.0012808249922189243,-0.06116726990530624,0.06628620547764451,0.10805775760197886,,-0.0287475349407264,0.0768868411999818,-0.00022305342927300616,-0.018611407339814694
PTMA,0.030165243979869093,0.01812045276123349,0.05707498341134871,-0.038565282316785965,-0.041045098663942986,0.0028980436736206296,-0.02966327974723964,0.017764492482854284,-0.034296702971762925,0.012508463443862083,-0.00947134532673116,-0.005644184865232132
FASLG,,,,,,,,,,,,0.0680038206979111
CEACAM1,-0.027420576529112447,,0.03035361729255773,-0.019101145343606844,0.043093635809612264,-0.01415819858245032,,-0.033214032044461224,0.008719813357278136,-0.012162311108936988,-0.018228276192437977,-0.009990237639104648
