,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk
IGFL3,,,0.04947481926331866
BMP1,-0.07721465101964739,0.03530083676505512,-0.11022049742920309
NDP,-0.02456247308274587,0.009314400832868134,-0.03318778757734099
TNFSF18,,,0.112065763687779
RTN4,-0.03456577486500796,-0.05053316222852576,0.07644780052311406
HEBP1,-0.06160107665597074,0.00701946366912107,0.02296149564200598
WNT7B,-0.018680472277941455,-0.03178787450143427,0.030621723607766892
PTMA,0.12207226392668806,0.011245139868476743,-0.048256386768518005
CEACAM1,-0.018763774820778893,-0.015399745271807116,-0.02313191383887199
PDAP1,0.07271205242458395,0.012530348990535917,-0.025303243342631006
QDPR,0.02551162403619733,0.048750794074852145,0.04895769126558095
POMC,-0.0450531078541474,-0.03607610495137637,-0.025765837423059525
CCL18,-0.02019852144637513,0.019821894216165096,
CCL17,-0.013311990043112657,-0.0031522149350600515,0.028164144758808674
VEGFD,,0.03800699037150763,-0.021706772676560415
TNFSF13,0.04631304057144602,-0.0241637924711422,-0.022070633738693658
WNT5A,-0.01477604722424017,-0.04666037451062971,-0.03038750183869858
CXCL8,0.10518850989690039,-0.002048815473579662,0.10112044229687307
GRN,-0.027464108585824158,-0.049519602907816235,0.0031564646805524424
MIA,-0.057383570050012205,0.050135267852597656,-0.007036121148534089
COL4A4,-0.035174042865727694,-0.024657400067589347,-0.03170361510892577
RARRES2,0.02910625002644773,0.0021984592770146944,-0.07877726901344242
FGF7,-0.05250332187349453,-0.015444266782733852,-0.01562236370827944
EFNA2,,-0.014636427282511326,
HBEGF,-0.05644720923672211,0.05462380440240814,-0.057235207633420576
CSF3,0.10219378682812409,-0.016345690491210874,
PI3,0.1185843592616534,-0.010678146254456176,-0.017487053128355797
PCSK1N,-0.10705291391468914,-0.010844784949042077,-0.009594032070406315
NTS,0.0001728120253739541,-0.017831709185186312,
SFRP1,-0.04363169826870415,-0.024385325565865482,-0.018140770429827698
CXCL13,-0.013925221917984362,-0.025469839100431074,
MICA,0.02439601697807762,-0.01335692437392438,-0.030073200515830435
TG,-0.017688306579041406,-0.021961699160276106,
ADA,-0.04997067307078416,-0.003915571550289827,0.004475210469508638
LAMC3,-0.002184928068808299,-0.06973521079917913,-0.007495961955092089
CCL7,-0.019951604652642726,,
NGF,-0.023042506127083036,-0.014439689075721603,
TNFSF15,-0.019450574164349945,,
HMGB1,0.024283457199558822,0.041842203372571926,-0.04857790280396246
ITGB3BP,-0.00910435994382072,0.02037602963638144,0.07650553309299783
AANAT,-0.017503186923442673,-0.019696666909829588,-0.025458236085076708
RELN,,,0.0010256769655935575
IL15,-0.03206655557878998,0.021284594246605486,-0.031703611091241236
UTS2,-0.014905244681349936,,
BSG,-0.021078292222772993,0.02272099365195463,-0.059103963602849974
ADAMTS3,-0.03181883053653463,-0.03869509907204352,-0.03944586137866963
CD34,-0.08033300506253056,-0.029754734359426504,0.11745202579378448
PLAT,-0.0963513347602069,-0.020727194848329886,-0.04032595519204763
NTF3,-0.0446703801224567,0.010890953367278272,
CKLF,-0.03582087530120443,-0.02813258408271265,-0.02483575744212663
CD24,-0.06992361088887948,0.04203198382294833,-0.05196610274578178
HSP90AA1,0.12989906643835636,0.016980895933819476,-0.046769420380013346
BMP4,-0.03872394355690153,-0.0031636768135616194,-0.019395144759132822
SCGB3A1,-0.01565500831266773,0.03279295051163433,
IGFBP4,-0.054350795173777944,-0.052751039577034656,0.02577661915925985
LEFTY2,0.033913919058580905,0.030474506192528124,-0.027403825799243657
PF4,,-0.013415298931488724,
ANGPTL2,-0.06263208253444391,0.002687902382155186,-0.0010259212580132797
LRIG2,-0.07547350353361519,-0.03491571517115656,-0.03198652207456396
ICOSLG,-0.08609259244856622,-0.06938141541606707,-0.0813159174044334
NPPC,0.01864225682881152,0.03901876103637167,-0.024152441440866604
LYZ,0.004901287482010595,0.0011145006975777692,-0.007747642399705216
EREG,-0.0023989519809800844,0.020319701547853338,
SPTAN1,-0.04152394974127343,-0.031069442204833465,-0.012559588440446356
LIPC,,,-0.029645903527833858
COL8A1,-0.04766039422531648,0.002627624733041614,-0.024411799597528636
GSTM2,-0.048002680815520414,0.003255178750817609,0.00898253292748922
SPX,-0.020116126869578272,0.03190531511555316,0.09114607308713825
