,MGH258,UKF266,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,0.017768320002320988,,,-0.02786137045677348,,
BMP1,0.004696179674608643,0.002502344370823755,0.020425765245119954,-5.2894853490587596e-06,-0.05924768988508926,0.05356353109609807,0.06874090977091814,-0.008846742300894508,0.03170056654567138,-0.02882244943030313,-0.011092121401809703,-0.027529820229020445,-0.014300065716744685,0.09012543885820591,0.16034313132356862
NDP,-0.06584657524593084,-0.011747598457196046,-0.0028288296009060317,-0.00830324553911458,-0.04494324570750849,-0.029180138638341842,0.09139566064637115,0.04066075304057492,0.029051489437261376,-0.03609109721325049,0.0556439305649496,-0.02486435861787217,0.20572194722349396,0.16709320644857983,-0.005194921227334965
TNFSF18,-0.03307640979413752,0.0028744810568946217,,,,0.02926704048660863,,,,0.006613602448331221,,-0.042349580425703484,0.05679682932394913,0.006891634999971926,
IL36G,,,,,0.038904025971751216,,,,,,,,,,
RTN4,-0.014501329514017051,-0.06950686690929926,-0.07306272157376605,0.04544811985113369,-0.011997976097662382,-0.021897163812855083,-0.04265388144831415,-0.003051107522830101,-0.028645905346814875,0.06286658541903346,-0.062499329374924854,0.041024501615623044,-0.059194734796356716,-0.03888927971498769,0.01731207971555825
HEBP1,0.047330819264300474,0.026978254742026347,0.01934168988876241,0.004226723941828713,-0.002128289765458683,-0.06323364628745792,0.019399988214858662,0.007999567094232104,0.010602222904945379,0.064702372430072,-0.051216486853520454,-0.009872314584302296,0.1292912302313038,0.03141815823280892,0.008529577174230547
WNT7B,-0.029139281046671885,0.04537868794218609,-0.06016560972007599,,-0.024599990965977397,,0.004278256888660013,-0.009709302290641098,-0.04817801164630721,0.02547884362610051,-0.022798766493411036,0.1607426948764139,0.0202982819697928,0.07518090088505264,-0.09758259580656609
PTMA,0.026785178642789693,0.060162752095317795,-0.005072642240983771,-0.012872977251299133,-0.020006879806614055,-0.03433615236231783,-0.15958162839378437,-0.07725809020190152,0.006144061908094187,0.02958718049950004,-0.11737538316657113,0.009808829090362596,-0.1513783929208489,-0.13022818753589527,-0.09805108613566876
FASLG,0.036163125338608576,,,,,,,,,,,,0.030060023406663708,,
CEACAM1,0.020707346218870503,,,,,0.12244628689634013,0.04994623633059607,0.08697718145240024,-0.023340003655224314,-0.007788054820255253,-0.022758944727565917,,0.06084666320690208,,
PDAP1,0.04624841983453734,0.04583984723420863,0.007134532051026172,0.011990672699083608,-0.0011251689413384095,0.026230523169371706,0.0620390123629098,-0.08973041057732173,0.006409881524100523,0.033141313465669064,0.016623532410123786,-0.024102633438600155,-0.00323830700191538,-0.03926312300549065,0.026565457455251906
QDPR,0.054524575870112446,-0.05687222660556656,-0.0008687776667330436,0.04640599710782084,0.07082999051368187,-0.012582662634192348,-0.18146238522853267,0.015139810430270252,0.058988342390394084,0.0004812683440820898,0.04795279319760719,-0.03373803720450385,0.06668374706634302,0.03219799033193195,0.08316484302949059
POMC,0.02497661928613442,0.040148128537476964,-0.026543297048111623,0.04683759585127062,0.005382508048961269,-0.050462249430499075,0.07387130653299702,-0.04159887940426068,0.11658180208652805,-0.018115397403225052,-0.01683556124491088,,0.016620397955353288,0.05335841740153648,0.06945116633834394
CCL18,,,,1.886847784603348e-05,,,-0.05067735994924968,-0.003514917654406301,-0.0185123155990626,,-0.016265691155249284,,,,
CCL17,,,0.023761401294752,,-0.020446254673270523,,,0.02115048645109047,-0.033692760548532825,-0.06759711860318399,,,0.021429552371361616,,
VEGFD,,,0.03157368551529885,-0.02758971724791797,0.040693853152050194,-0.08873915607165894,,,-0.023340003655224314,-0.0072438792997068764,,,,,
TNFSF13,,-0.017619219432370534,,,,,,0.06378670650125734,-0.02541118517873498,0.0015367253911845544,0.06525526117564179,,0.024900521633386758,-0.0033413198933113153,
WNT5A,0.018251806815192288,0.0548725005028557,0.0712350486473351,-0.011337523104662942,-0.018936950261920767,0.04954350127613866,0.07521990242599746,-0.008450447961397775,0.015151379493700283,0.006060340496329411,-0.05025864098157265,-0.008355954222012405,0.01421925202931901,-0.059514766876385204,0.037470782428268914
CXCL8,,0.05255450526801184,-0.017721222645176764,-0.008322401185104645,0.017694889852584234,0.0568960130745035,-0.03873501168924888,-0.047977040114016316,-0.09465341632369621,0.01914224304537778,-0.04265724164197112,0.01693651899802188,0.004233052241167342,-0.14599850976210227,0.03443513835789295
GRN,0.06623224615202937,-0.02840537125283829,-0.06217653212665614,0.022121384528684847,0.023989931998708944,0.05552607335509954,0.09021591145411724,0.0018738715774669471,0.03471195692749572,-0.017788701769347156,0.030117550142114653,0.08296315181485488,-0.07961885200484062,-0.0358199614641257,-0.017165355510548697
MIA,0.024235819829869953,-0.019843174567223773,-0.0025366412403605826,,0.11773017137595915,-0.07742179246153359,0.17694209047726028,0.15565376253073132,0.08934745088409422,0.015741503388753873,-0.031958470082235194,,0.08804702983051932,-0.023694937049729983,
COL4A4,-0.019119283194045614,-0.016763908865458983,0.073249006437647,,-0.029111491817053067,-0.020067143383510355,0.04764260126373454,0.03846264945128312,-0.015679530702366152,-0.0004797745088170808,-0.011105969738442703,,0.016022653064817365,-0.0085972753865561,
TAC1,-0.02913927343078366,-0.06588954402794885,0.019531249059635863,0.028941446323715068,-0.021938959543046612,,,,,,0.022453673107504044,-0.01495960688411612,0.009987616141617923,-0.0006872956387755753,0.06492756112157891
RARRES2,-0.03816251636987263,0.026378224813649022,-0.04303136988647348,0.0327414541446356,0.04321593589672818,-0.12364365916269023,-0.001436238265836761,0.01679560421691826,-0.08999893609364217,0.07307927202766043,-0.0024137674950817727,0.009267692475175027,0.07342664095421288,-0.06760201036432686,0.1428583929089531
FGF7,0.05706704953556161,0.0070525510288393595,0.03430846968046712,0.0016523476045774662,-0.0674555046044244,0.05451712984046428,0.09582095337733708,0.04126421231804949,0.02288103490332103,0.07593342776368676,-0.02769849720233251,-0.0797811413275874,0.11735840467202044,0.13681078471867397,-0.02156229930892452
EFNA2,,,,,,,,,-0.022183111489424773,,,,,,
HBEGF,-0.03019836494755843,0.05325858584018312,0.03173701482755868,0.042466147338849715,0.013374835271891459,-0.04896120045895509,0.09117681501404865,0.02129081030237256,0.061763139690116924,0.015758176031667088,0.013995376634439312,-0.0433923968248286,-0.08267799534707916,-0.03240919830831308,0.03050257788861752
CSF3,,,,,,,,0.02238372488652706,-0.06586597491664677,,-0.020913964637607512,-0.03806260671569066,-0.003563004744364055,-0.055288052853480645,
PI3,,,,,,,,-0.052280489940314444,-0.1051159862161131,-0.031243302055665827,-0.06495737830966443,,-0.06627235550359815,-0.1308669155190208,
PCSK1N,-0.04183921733371481,-0.04656006636315143,-0.016654949305357488,0.04514075202309503,0.037642327370845184,0.12336446878592625,-0.07997337939339916,0.044836401899212404,-0.004488144914534345,0.014181353955286077,-0.10399487021659083,0.04424063990512335,0.13446042937929775,0.042641021862493446,0.005123583966415908
NTS,,-0.020464923827539977,-0.02926058989505775,0.054784987273764005,,,,0.004445328623448428,0.005293790059902946,,0.030023075506671004,,0.07012681371586112,,
SFRP1,0.004008645425255347,-0.010387029528638406,-0.06511185678121013,0.06722912616590399,-0.0521969204813591,-0.0516118926838135,0.04368868621712218,0.080841119825957,0.026808450016153926,-0.02302400248983281,-0.011384369712917354,-0.0915142624791984,-0.06432354740576257,0.002798174960835331,0.008804370012440737
CXCL13,,,,,,,,-0.0025372628439057437,-0.03463390714775488,,-0.02350631860613964,,,0.029778912100187283,
MICA,0.05334134518704577,0.01306040069325049,0.058115533307204356,-0.003545761158693057,-0.019666128784385634,0.029051805841562438,0.052577666829579095,0.06004261087689539,-0.0016746807224858723,0.030799540399199223,-0.03183268512917763,0.02572217199205839,0.09091652366529743,0.1034932975495314,-0.019019097482918704
TG,0.06794877118513143,-0.02362191692257139,0.04554023084788212,,-0.008383101387255957,-0.04181333094396864,0.027167061083007534,0.03509293013713647,-0.03328536476601282,,0.00029808599780273184,,-0.00645920093041895,0.03959641050457049,
ADA,-0.022700845482974966,0.04081276083091436,0.01278331960202851,0.0774330620279321,0.014177920840600019,-0.05632317194055742,0.0778802287281476,0.03628799548144049,0.04748735946988498,0.06258116253476914,0.00791628261260509,0.013528061226831041,0.015184030850502335,0.07031691439034603,0.10063177676676145
LAMC3,0.019205367960213035,-0.0411001885077455,-0.02489378001734113,-0.043492604167839934,-0.0043480191120432365,0.04180804306993204,0.08544562025712506,0.06933890279903365,0.07523097683135943,-0.0014726073447166163,0.020879423777333636,0.009208118538407346,-0.0006642293698733294,0.01979040584452708,-0.09581308276091803
CCL7,,,,,,,,-0.0319931047398105,,,,,-0.028776180538286702,-0.10002547142055242,
NGF,,0.012070073125044774,,-0.00767355175312125,,0.011734883024717393,-0.0527470790802807,0.035487055165011626,-0.021884933150462183,,0.02761727315574249,,-0.044615197001192736,-0.05130217426689177,
TNFSF15,,0.02665941148184899,,,,0.043864933926310905,-0.00539077602213973,0.09170451481315099,,,0.1127554160530792,,0.06409336195724916,-0.03071096144371968,
HMGB1,-0.04881317763081674,0.05652757283845002,0.028095052885635297,0.021519960971333643,0.01303095424465254,-0.020457592355281218,-0.04162369798578192,-0.04058636104616477,-0.025155298930271203,0.06772601568313195,-0.046323200798789634,0.004676872256479258,0.0035425322820382367,-5.2822505841149285e-05,-0.0816894133027062
ITGB3BP,0.06163386707118402,0.05447285221452034,0.06405662239529618,-0.04969770781055627,-0.008945656594920807,0.08149191361095377,0.08352725787406444,0.00929636581324004,-0.04409305997937305,0.0023976683282059233,-0.015881180653100256,0.019570798318037753,0.05018257266043377,0.013789652352083587,0.06381130074647831
AANAT,,,-0.0451656857145412,0.11046906205504925,0.024791089210896042,,0.03944786814330615,-0.028066980188884687,0.02656330975955891,0.036719501276050684,,,0.008997092657693417,-0.03735181653485427,
RELN,-0.027977025052816334,-0.001797029875919341,-0.017554115256898956,-0.05696192870216356,0.005831889113437501,0.014106520100385574,,,,-0.06147235624225806,-0.024473651146119088,-0.037737753930751405,,0.0013308467879421936,0.1641716467633095
IL15,-0.022860338165612476,0.00021747342360363438,-0.018668221546186324,-0.017049593521900577,0.0012834158025764738,0.018408416363780836,0.07739160344234587,-0.009385348568062332,-0.02259162219807707,-0.030945342800940114,0.04394104872102861,-0.04025699104628964,0.09221213426731933,0.0004939970546305092,
UTS2,,,,,,,,-0.023901087785426215,,,,,,,
BSG,-0.07758060719385132,0.04172173703703162,0.04314616713311976,0.04525715893160539,0.002618304484282698,0.08685560803716724,0.06715582326329503,0.10431389146413894,-0.010951439394048234,0.002047002550902567,0.04314625843726017,-0.05107245280615187,0.04382137767011728,0.030342073543098144,0.14627226415473735
ADAMTS3,-0.05124386269407835,-0.03136977779263787,0.05886027610450149,-0.006524595476875126,-0.025723075563406094,,-0.016390653882482856,0.04363434221544884,0.02795664840806736,-0.04477450300081509,-0.021552451453621963,-0.04628376391177909,0.05550560169167748,0.06626511011601963,
CD34,-0.046214029935754554,0.05769768791953547,-0.006064464979889065,0.001606135768085209,0.024261435329142926,0.029958628085283177,0.08420991248738781,0.03178814610700517,0.03133858935626253,-0.004125064222851531,0.06197749423071895,0.0046719483255225885,-0.01680670684355385,0.03933926822284858,0.08361270169278595
PLAT,-0.060411381502387666,0.024746862285024394,0.043259115862313215,-0.020526365116792275,-0.006457826096168807,-0.020292352018486476,0.04879723394011228,0.09883146670757756,0.058910843350185045,-0.031071652699845,-0.1002714558207163,-0.11233210314123554,-0.0008859409266128623,0.040602451383484284,0.009639129683116403
NTF3,,,-0.018901537321748967,,,,,0.07921805903746028,0.01729039489172598,,-0.0011740728824886743,,,,
LTA,,,,,-0.02543699505448016,,,,,,,,0.0749072282197914,,
CKLF,0.051483421739014865,0.022966550851304147,-0.03466336646595704,0.025212147734270142,-0.036871249196712884,0.06962656927033883,0.12574954682238165,0.04133381072222401,0.028621727609334943,0.045500726980025774,-0.027863267732798975,-0.099174536674926,0.11299353309619907,0.11222558894514092,0.09265832283813351
CD24,-0.012740522489510894,0.09029326174708723,0.07945202407224397,0.10487409989791385,0.04114643635608441,-0.05781174772989236,0.1879178782156788,0.003527982693135244,0.007828056688609183,-0.04626691445022133,-0.007472777575983974,0.08349537444557603,0.08461708639004205,-0.023495282027949888,0.08382806148975346
HSP90AA1,0.06969514868033387,-0.09307719817136785,0.038915072089491895,0.04007947735762323,-0.029708040208905058,-0.09571528088025787,-0.14579500638125756,-0.09571957902798062,-0.1502818818193067,0.03644823623306492,0.014644541789201005,0.08115881102091765,-0.14739847430940414,-0.07039050649360827,0.06514377115868535
BMP4,-0.034730397559887584,0.0798559290262477,0.02005828688197429,-0.05493165418267204,-0.005381565845995807,-0.018709074030997974,0.09577164805270155,0.0177523244943846,-0.01958128851821293,-0.0074902432115162365,-0.015276468790746327,,0.003217692364053454,-0.020970751360757666,
SCGB3A1,,-0.0248611223945996,-0.052400934633462806,-0.023753049824025936,-0.017749598758825407,-0.014752170973424456,,0.03605076104969165,0.04034946178374161,,-0.042076664621004546,,-0.02527417520410242,0.04219764217763804,
IGFBP4,-0.04170371240021764,0.02342706020695159,0.028459354076492013,-0.02429806426516928,-0.034640677075062305,0.05783971185148002,0.11533028884036393,0.0072904934052194946,0.025738148268070263,-0.035528071723902585,-0.04658190652748391,-0.013700828395942269,-0.03044076213134756,-0.051878857937667465,0.055891353057251576
RSPO4,,,-0.020073645845480763,,-0.03528511673321997,-0.007453286778040388,,,,,-0.028336842937831168,,0.08542203426581843,0.05878239218045546,
LEFTY2,0.17079453978264883,0.036403640287688346,0.025355048377304543,0.14335281528532162,-0.010256334212961456,,0.061092997949742385,0.052700879194181094,-0.0255065926363172,-0.03257648061234808,0.012236029167990544,-0.04494898286894085,0.019992595735179135,-0.048344985258252635,
PF4,,,,,,,,,0.060924728058521914,,,,-0.06002719703138139,-0.019534604539371423,
ANGPTL2,0.09527669887144807,0.06452474565386887,0.029901327241613023,0.052752200615667696,0.010013686773742534,0.039606345255013595,-0.06315372263166989,0.07250762759709331,0.05570678095238548,0.020272332783890252,0.00868905402933993,-0.010572102218595357,-0.03460217742134021,-0.018636878775190432,0.08089179288222001
LRIG2,-0.008649223934004812,-0.013692196555965215,-0.024541743565341473,0.030482587933607544,0.018814196017205492,-0.052492007132957194,0.1484293213236173,0.0880165738674412,0.023523504605504217,0.03440669852250153,-0.020728521686517253,0.07846696605963747,0.04894112312160865,0.04873245118647487,-0.011873204270670155
ICOSLG,-0.02534585616782753,0.02587740459732197,0.05479256084636316,-0.02324134692355737,-0.01491222218958963,0.0398188703338231,-0.038080303551095984,0.0127073848671432,0.04526254329010518,-0.0015187223265707304,-0.04654501919956386,-0.06083676172297902,0.1111604911873511,-0.03122976199979961,0.07947765086524791
WIF1,,-0.030515331057139168,-0.04325582261614241,-0.07661240079552474,0.0070240868831391795,,,,,,0.04748895602261557,0.012313058640541394,,-0.007228852996695209,0.08594977680010912
NPPC,-0.04783722484434598,0.022317125792381202,0.01986804453870225,0.039540150941147975,-0.0333517802627238,-0.016676159639244636,-0.010745335602080172,0.04616386555877615,0.05964921752391479,-0.04456932472189193,-0.0057270033079081135,0.004997991296967968,,0.0849017893216204,0.09182446600813905
LYZ,0.11641908978143094,0.12053830606147846,-0.04502464969740726,0.010494789809873938,0.012185945563168056,0.03859397973344775,0.06407444044864248,-0.00027112407250694053,0.008242988970348435,-0.05881468300800155,0.035863538182766344,0.056225598163205597,0.03912298972779454,-0.08601056565841644,-0.05718543437536195
EREG,,,,-0.03768359287972579,,,,-0.025626296519045855,-0.02925639872728574,,-0.024429341054280643,,-0.07657974508989653,0.02176752862724866,
SPTAN1,-0.04859230160550718,-0.026469290496043033,0.10189302966401963,0.0404662732440406,-0.019217548692500364,0.02237287636406997,0.08863129411107609,0.03501393939479053,-0.01881520128130331,0.10226849637573093,0.011152166108380681,-0.011639308357367067,0.07257414850422408,0.1270071366070252,0.06740012392026622
PTH2,,,,,,,,,,,-0.04506502046202626,,,,
LIPC,-0.03226860320238612,0.018434185871202557,,-0.015906544143972887,0.014775829289995662,-0.05512668451756242,0.10329849426827449,,,0.018743360365543214,,,0.07330377596744224,0.12182334610143315,
COL8A1,0.07808881812402577,0.054146357209997074,0.011256420728585688,-0.05615410100763253,-0.021274136390866543,0.06676893797756346,0.10825910312719589,0.08574096191110278,0.09239914759200574,-0.0026336545744436077,0.054006672783990566,0.030888221053390882,0.011050246719897199,0.0435987585602548,
GSTM2,-3.2986240838487e-05,0.006290264970170158,0.022132834097950825,0.05860329556052765,-0.01843833556691351,0.08503555031205239,0.06833407105414692,0.07380399129156376,0.09358908372822745,-0.007293225321541404,0.004074432724468124,0.10846844087296076,-0.049833649953000846,0.05230933952679041,
SPX,-0.0038506210520239696,-0.0040133893050924825,0.04130811332995382,0.016308012684186263,0.02638463619820792,,-0.017980526601816323,-0.032256921941989654,0.007333652856851534,0.04196953979306559,0.10568334781742525,-0.031417498929912815,0.1864834127445137,0.16410216816305062,0.006121964576395632
MFGE8,0.08920422386842326,0.030166406249847642,0.041833149889889835,5.849771807198627e-06,-0.008850369985267573,0.059498331102595774,0.08424863283778096,0.034064127053875994,0.05894064114329218,0.020360594529769366,-0.0045260248071747385,-0.008236490461920555,-0.002880852404860288,-0.034112586844897985,0.14674170153797775
TGFA,0.04113013121413618,0.05278731413718607,-0.02002793375568717,0.031938523866957606,0.0018830737853366161,-0.056415390045999915,-0.0224534709365634,0.04729122620691822,0.037696850426574946,-0.02512571492172522,-0.004516901324046806,0.0861905091911345,0.11250785910705811,0.00965764837901259,0.03514580383421497
SLIT2,-0.03473039200250315,-0.001816713625203885,0.04685514534674187,-0.025791452324214446,0.023497536456655383,-0.019132932205911925,0.033566142603782385,0.08100297014604528,0.03491846466919025,0.09823464189942947,-0.04079309122633934,-0.08086128878890476,-0.013685786510348562,-0.08991923050989317,0.11314088542274954
PLTP,-0.0073483329766746005,0.06925529445538631,0.008619060001186861,0.004556567086714342,-0.007097657902975413,0.055585738989807836,0.14001353013307533,0.02919296558217467,-0.00784216154913295,-0.04678676586788899,0.0026511366437481482,-0.0028766280534499905,0.005792759353704753,0.007997452220549912,-0.03406276647817673
APOD,0.048151800395992844,0.043290196375579675,-0.02046537241051757,0.004274491067986672,0.039336347339242246,-0.0295613459073329,-0.17172494356911272,0.11729417736700846,0.12264888907027036,0.05793802319599708,0.013294008828087291,-0.013751010424284088,0.005028660566901157,0.005987964923532659,0.002649518246971528
B2M,0.019113534225767913,0.06689947701440377,0.025539818630423393,0.013596667458952789,-0.005494655715612317,0.03150222233309965,0.09123946459839317,0.0983237813117946,0.06572731992210062,-0.038061085245585866,0.04664785950255834,-0.08865714089057028,-0.10081893771966814,-0.08399909566691581,-0.033413832113181385
OMG,0.03802443390039469,-0.013784371509976289,-0.010416868207822255,0.05650254747588832,-0.004018954668129514,0.025001601712754614,-0.14635160566654198,0.08654103315763335,0.14196435902175283,0.06241450641852837,0.06965859377444045,-0.04175477649623408,0.25980481460150473,0.13318423905285962,0.12283792544174656
