,UKF243,UKF248,UKF251,UKF259,UKF269,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.06693333229345959,,,,,,,,-0.021872569072817784,,0.0098939694922223,
BMP1,0.020200923222025914,-0.06601726958464725,0.017755577431078664,4.2416698251131734e-05,0.13012025373296326,-0.0016962778934844413,-0.007029221858908521,0.05519649551121522,-0.033722325115879276,0.0796700019012977,-0.0016340073029026678,-0.0038299449469869013,0.013474186496367477,0.012930739211423755,0.012238797173134464,-0.019872688441258095
NDP,-0.005558640885734032,0.031678802832123334,-0.001198855902194511,-0.04472884923689943,0.0240118939775115,0.006996239101061501,-0.007158535367527089,0.05369639703680984,-0.08371858136624379,-0.024181021455589955,-0.003852746612824065,-0.07637289585802366,-0.020578621697536003,0.002757299233900349,0.03440837120255572,-0.05235624206438689
TNFSF18,-0.024816092556367714,-0.017270402896153836,0.012278169428939067,,0.029774071970896352,-0.013259368995374039,,-0.024507776507250126,,,,,-0.0002991771888155389,,0.06986402507190938,-0.02500582021619737
RTN4,0.04438237159186732,0.012897862958869483,-0.03291561378815705,-0.06897623048257753,-0.10932446342097475,0.00482230143047614,-0.011475801334581022,0.06120141458308838,-0.009501825911287783,0.013361336698547619,-0.03221094113337987,-0.04547091613395755,-0.04684601739800242,-0.024172360495100034,0.046773442396533284,-0.06854759957817984
HEBP1,-0.027900009987442236,-0.05047451889930457,-0.013483137421916123,0.007274313369653571,0.0914686028074312,0.007641366039686672,0.05522845131098357,0.02702695815217699,0.040522919039309074,0.019072695970218795,0.03123936368576312,0.0146877736121668,0.021634384169123378,0.04697017667986871,-0.015371235431091666,-0.005597236237721687
WNT7B,-0.022303179301441788,0.00627250999503231,0.024477825561264516,0.004254242949838865,-0.06173831067528722,-0.022601659597015916,0.032154164805607344,0.08293842526370587,-0.050604087374431554,0.009508265751650273,-0.048405039494926944,-0.0425360756380196,0.0673198769877068,-0.024159452479495632,-0.021069795022862246,0.02401994957495989
PTMA,0.06487471225503672,-0.005974849597321939,-0.008081120588228652,0.09042803939386905,0.028634145765851143,-0.0008924498348258801,-0.019323957489687318,0.06939245053100747,-0.015957977541233032,-0.07484517831291433,0.02739626710184492,-0.042765312301682304,0.018496157770315644,-0.025355249921574823,0.01783020756591544,-0.01238876667191637
FASLG,,,,,,,,,,,,,,,-0.013837169882538167,
CEACAM1,,-0.018743060174395795,-0.02005174653812852,-0.022569022943536243,0.06034876174729161,0.0058784251239608395,,,0.0009572950620207514,0.1514220222638481,-0.027123731055921196,0.018647750671699617,0.07818456153103609,-0.016034979978481082,0.002221233724689106,
PDAP1,-0.08007504950974353,0.031164392970187166,0.01841094351906632,-0.03701472187535912,0.11848978441645144,0.034936948994105904,-0.014128601523064563,-0.018042971076640067,0.06291313280459164,-0.04593588002842689,0.02237396071812808,-0.06920110116720479,-0.041057550637421225,-0.03839284153213605,-0.003576050260764738,0.021795876316507715
QDPR,0.04865418499335861,0.057399147164241354,0.00633327645904272,-0.023953499893976826,-0.0495713162531622,-0.03874189566403428,-0.010374934583736194,-0.008811141788034618,-0.06295340048274596,-0.06716818917345364,-0.045857501434624116,0.03170118490947547,-0.06796790392208465,-0.025249659482911996,0.031651200813476214,-0.05229278959709238
POMC,0.061047430352479594,-0.04442314624624666,-0.026648291449759467,-0.025209366993287588,0.037940300713050525,-0.015385123256030635,-0.02422257567383051,-0.019657643912688257,0.0008553550625576134,-0.006481438097357123,0.026452399610445747,0.025434588991441996,0.01323244261768268,0.0030213897288303,0.04113274103938102,0.046143717709833464
CCL18,-0.033280420602105974,-0.023389568177839215,,,,,0.0018577404109733292,,-0.05827941412595562,-0.021922622055537293,-0.013309491955532984,-0.02471527149124745,,0.04369892431648729,,
CCL17,,,,-0.02502890810949642,,-0.016537014657080764,,,,,0.003646438472347104,-0.02974713488940603,-0.028837718853139998,,-0.012541840312872681,
VEGFD,-0.03749730665902866,-0.008870670486504676,-0.017698767063811474,0.03425168166887388,0.09484397356493846,-0.01761879039717581,-0.016365751285389238,,0.06970681404997785,,,-0.020606748326575487,-0.030414892647782844,,,
TNFSF13,,-0.017650524318704,,-0.017264380650426396,,,,,,,0.03717457725724363,0.07130159505520232,0.15378175716400938,0.023102885376509397,-0.02043588196494974,0.044703118541098076
WNT5A,0.03293442643494911,-0.02700671661248615,0.00854770663125793,0.01682450457974569,0.11105772568720616,0.02909918142758421,0.03863820510502883,0.01552840328637906,0.015826048300056326,0.04122722024398779,0.032833016712423696,0.04345288222453921,0.017137107837286104,-0.0028110940595812567,0.019158309314140032,-0.018245216108487308
CXCL8,0.016499727228078777,-0.01864201689008326,-0.00293518702020388,0.07387836199660867,0.026678377755801685,0.03785573824349385,-0.020357124467539026,,0.062267823249018,-0.03859822769727057,0.015457792646211261,-0.04970691071417926,-0.028173170512391228,0.09894102091554705,-0.03024464159107675,0.030759834765852315
GRN,-0.022949844721287197,-0.015562891798912588,-0.05121739554120587,0.014751133351329932,0.14206963861948435,0.06460021525912962,-0.03438652372308762,0.0923195247899866,-0.10534753733608498,-0.048400203376603675,0.07627444411814822,0.043716652850298354,0.005807673917053896,0.0400114503142486,0.0326507549384075,-0.03832009637489855
MIA,0.04390114392073857,0.013557087390767247,-0.025541651972210196,0.03442368588129568,0.10248183911906808,0.003043893086379861,0.011836587540315472,0.16599702141263462,0.036691625918594685,-0.022595103785364803,-0.007543111271843557,0.01938423866759414,0.05660958281598688,-0.005441850133541261,0.033390752848621724,0.03465544781939423
COL4A4,-0.021970648557063346,-0.028090681346816485,0.00503333197559167,-0.012395017491502408,0.1325375827503369,0.014884929508268328,,,,0.07253953708900567,-0.016152038775587685,0.07071232945304674,-0.008016778959264366,0.014773517030731077,-0.01123986848821866,-0.030403209511890194
TAC1,0.05979591461937464,-0.0223388900368964,-0.03327355909867528,0.008065590490453953,-0.09248671674669016,-0.0051343160598460525,,,,,,,,-0.02766490854794131,-0.016487524399271973,-0.06805042489984953
RARRES2,0.04750629099166465,0.0411332913957295,-0.01788742499052163,0.019083208555009428,0.07644034810004158,0.03772492387857095,0.0090919825842324,-0.01516072005087381,-0.025702679757858646,0.006852776466653247,-0.002071058887366079,-0.010576873657867773,0.034856441175309325,0.054177228024722766,0.04124776532860379,0.009854613920176848
FGF7,-0.001950913900580479,,-0.0016626911781922455,0.04188567183450313,0.03229166965945144,0.011851717107792452,-0.02509921162274085,-0.051820810072379556,0.02894602081263587,0.022376621225479676,0.03614319923816664,0.09074085257913549,-0.0638305981913183,0.11521721564201058,0.006932568214768046,0.00639473580064987
EFNA2,,,,,,,,,,,,-0.019585335217401363,,,,
HBEGF,0.00239540187835736,-0.013290351254976577,0.02541933123960055,0.00428906006792076,0.08367821730809416,0.006786135801572517,-0.005232727004317536,0.04534083325557213,0.14539418554645556,-0.0016718359222278325,-0.003405350244029356,-0.05190768758927512,0.034058239331184244,-0.02960038896282587,0.002466015433994048,0.06693746951617194
CSF3,-0.03774755333353442,,,0.0888883164039587,0.019832709118111913,,0.039188833234165464,,,,0.014239770119333844,-0.05150235459949589,,0.0606811822701087,-0.013204623042223713,0.0020166697553076164
PI3,0.013801826091151381,-0.024606811868311266,,0.0638898149704519,-0.021785867627154197,,,,0.04015654758056879,,0.038145486749971536,-0.04361037352637419,-0.02450234549143003,0.03846386609427385,-0.028689259064803185,0.03690041791869356
PCSK1N,0.017633195728743535,-0.006813729996177341,-0.03319362765284242,-0.07121986009122473,-0.028782855145794813,0.015765155276412746,0.003589427465364531,0.07621526254998595,-0.04910199118321821,-0.036579894885381325,-0.0661796466812049,0.038041041002539,0.017013275599925957,-0.08109221853245202,-0.0033122902612669008,-0.02254463596758484
NTS,,,,,0.041809241199313264,0.03527306061349675,,,,,-0.004077844918947133,-0.02386101438213589,,-0.007819905360397785,0.12936668562600895,
SFRP1,-0.01132305763553098,-0.05338219646731757,-0.005161448439749473,-0.021838689782700073,0.07070265018222387,-0.0366222764406342,0.02527162725205364,-0.03961509143362904,-0.03247471840884533,-0.0042832403101621085,0.005743579597838853,0.018968523711154463,-0.0649481852977091,-0.01277740738412721,0.025086600952651122,-0.013450876050323067
CXCL13,,,-0.008934185915840083,,,,0.046323656489243095,,,,-0.04322366577215823,-0.05032030936604384,,-0.027066263539469174,,-0.025940690136389454
MICA,-0.011982313949084812,-0.009444473544559838,0.012106882534350485,0.056615813943564706,0.10160023978511044,-0.0006287948927929863,-0.005303676618675192,0.06103611835109018,0.09815454463490807,0.04923119326279064,0.0779448462274404,0.06489075831881434,-0.02453942536829382,0.04168726296036868,0.06683731034529213,0.09290369822841707
TG,0.049259244974817235,-0.03683289556885701,-0.02726633517963572,0.05073568758081567,-0.023351052298380373,-0.016660416448604845,0.05799985485198213,0.1098975976290252,0.10236322163457212,0.04468955508874888,-0.025569101903381564,-0.02938744761241544,,-0.01891975226250345,0.059231435025797474,-0.009805635481347542
ADA,-0.017941040255281045,-0.04430424451390641,0.04467965184988894,-0.013989326735271574,0.09304022242748863,-0.021222634260676325,-0.030541826699496386,0.057298977237427454,0.05322511445776114,0.02923193160662078,0.06535876622270134,0.064087585596798,0.042604746519961205,-0.023487884874868886,0.0196125098970123,-0.011245135641713972
LAMC3,0.04981807838914117,-0.048074805117891445,0.030431332353758573,0.03363386052855541,0.1268959108957332,-0.024591547850930824,-0.021791826755614144,0.09570446060778674,-0.10236156075368277,0.07936785579307834,0.02051465245564919,0.07725515713938805,-0.016568877298781187,-0.014191714924071267,0.02341232800593579,-0.008826456508412217
CCL7,,-0.014877741259554962,,0.05375514415935369,,,,,,,-0.01325713138086358,,,,-0.013837164962205719,0.019987999853401783
NGF,-0.02174743850621631,-0.025544342927619694,,0.04622728663259307,,,-0.003027724171279457,,,0.12266888240173589,-0.03330879553901365,-0.019322075361995854,,-0.030105288759910694,0.09615802863910868,-0.03624394625011429
