,UKF259,UKF269,UKF275,UKF296,UKF334,ZH8811Abulk,ZH8812bulk,ZH881T1
IGFL3,,-0.013977904085729416,,,,,0.07864577221494064,
BMP1,0.03029775960738758,0.053513774759322175,-0.023349278898954745,0.01262428858847489,0.012822822103352708,-0.027196128108587337,0.05957863441160416,-0.06064666512643766
NDP,-0.002112529111839369,-0.02503297386838412,0.023122336307114508,-0.007485450644667602,-0.01744296024922168,-0.023452686815384732,0.006435656930208335,0.050947284995278
TNFSF18,,-0.020756767939128444,0.02654505608892676,,,,-0.01687193028869577,
IL36G,,,,,-0.012934682024585788,,,
RTN4,0.01436072308327035,-0.07115794556557835,0.014015112890644799,0.03296135708320449,-0.03678573983241725,0.094202643108502,-0.06794324009762195,0.07600808956383033
HEBP1,0.020801186999462967,-0.005446877421333322,0.0036190263469196475,0.02518279593378941,0.045508473020439845,0.0036581657154072128,0.014105887056107977,0.0003705977423612045
WNT7B,0.020497710800037677,-0.006274315938127206,-0.0387146242743696,-0.015983163354871214,-0.014216706155878188,-0.0334858786319272,-0.03528057113730796,0.02717807356738944
PTMA,-0.0051460755458246615,-0.08056905945910149,-0.010000822112925625,0.016911194205853634,0.03446204188568951,0.046041423981580204,-0.07525674800612592,-0.019405267853527433
CEACAM1,-0.019300223984428762,0.060604836971211544,-0.021242232071199903,,,-0.0187637893835166,-0.024243202371492495,-0.018811726000579145
PDAP1,-0.013284585340931979,0.005773952946107167,0.08219761118657408,0.04657113454401423,0.008659917327828451,0.061927698582369003,0.029948579199724018,0.047473229671126535
QDPR,0.022835595138986812,-0.09545500436209176,-0.028223479660602596,0.009336399762625574,-0.06566836108960769,0.05972642066836038,-0.09220021309657916,0.01077328130213915
POMC,0.035207877128984835,-0.035210194061065535,-0.015671671853105917,0.005314475743645492,-0.02771269487332274,0.007930005560152432,-0.032211507522085,-0.03077351252268127
CCL18,,,,,,-0.03433750440404625,,0.019431275266103384
CCL17,-0.01729238420839687,,-0.016845017282145363,0.008857915948131725,-0.01181619924495729,-0.013312000374670204,-0.0215699080864018,
VEGFD,-0.003891656371464325,0.0440566419654551,0.012192737636877086,-0.01451083187050883,0.013801304381120259,,-0.0007438005831778943,
TNFSF13,-0.011927899611965637,,,,,-0.025543729225859808,0.1276259998291303,0.04903774284043905
WNT5A,-0.007278934844906093,-0.008371035851646433,0.027157831856834846,0.034818273035251715,0.012374133964226342,0.008090589880513956,0.03094835905977066,0.00402828544485744
CXCL8,-0.015181468033104866,-0.005738308493046503,-0.008524479409263503,-0.013513117589763722,0.016978695497044366,-0.05654015103029524,0.07072279983893573,-0.05107140694352286
