,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
BMP1,-0.03535308895794018,0.030061244163086843,0.05579246336082147,0.13810485761968475,-0.024551740126927797,-0.029344984591365413,0.034042287855984135,-0.01455827660629269,0.1050888501938818,0.12812981660212566,0.013149699924463115,0.044143810592065354,0.022280889640486197,-0.00547620634883741,0.08714825010656645,-0.08377279445407687
NDP,0.04989449297829298,0.005774806747942994,0.05897551840025687,0.041858737503473346,0.016917141711595137,-0.046078902023403964,-0.06766794858562239,0.023496881915089935,0.06609629723073501,0.010061176513469038,-0.014954558978997605,-0.10443518529936303,0.09201524729502145,0.07763570668671498,-0.020783406817633514,-0.026163466407042278
TNFSF18,-0.020634609304409194,0.014419852177240762,-0.027734216443155837,,,,-0.011891228030245404,,,-0.024507785430884353,,0.02155793802440416,,,,0.01181920250620454
IL36G,,,,,,,,,0.053453092783260436,,,,,,,
RTN4,-0.011903851007292982,0.05711708771077089,0.03962246390055767,-0.02353673275932097,-0.0413410716729448,-0.0939813794512107,-0.0490853736343421,-0.04515090829911175,-0.04302138146584106,0.03987230602404646,-0.02996321320133576,0.11334826248648172,0.0032751433930500035,-0.07770598077610574,-0.060211102988598685,0.034523584068228266
HEBP1,-0.005888406961598393,0.01829087173168304,-0.017960696308291946,0.006241868877565817,-0.060310012253259916,0.00826313930667829,-0.0007081069208956458,0.017432040998226775,0.039557001089410404,0.04393976262779488,0.011748085473302238,0.12954490903459365,0.008460604527179902,0.04243401731945687,0.01099339876504961,-0.054399066724343345
WNT7B,-0.018178444503248986,-0.007454106228400822,-0.017227635528266325,0.03871860072432712,0.0012181522080053518,0.06766380407891588,-0.020411569117593256,-0.01426787535113767,-0.020374000392479934,0.3604322531656735,-0.04486062638354068,,-0.03103811377793858,-0.028258003018227885,0.02443413955817084,-0.021170875371999097
PTMA,0.05349756073238999,-0.041334918496700214,-0.029331865328592947,0.07727114823985816,0.015178384257592457,0.02701381492877648,-0.045055907366046345,-0.004989223043946806,0.10486376636314709,-0.013118313437418929,0.01529825960102171,0.028944652027342144,-0.032278012542109435,-0.02291022709481119,-0.051275622794916854,-0.04360830079292491
FASLG,-0.01817844964224868,,,,,,,,,,,,,,,
CEACAM1,-0.006861496785654848,-0.009217819732030357,-0.013221174095439842,,0.032498139774580465,-0.014777318192003756,0.009915783160715595,,,,-0.04892182683077737,-0.036052829935637715,-0.0043961745002786545,-0.0036792652026405768,-0.015867634418186644,
PDAP1,-0.03725074377048587,0.06912293966126623,0.005201961168802693,0.017128418734888507,-0.012399361827280605,0.038969471081856416,0.00854374880466448,0.0036604504034501587,0.0168913501274732,-0.005795580359436434,0.031097116881151066,-0.03279218598756612,0.007697208666540966,0.05875662864707951,-0.038857056372941824,0.04088296562085574
QDPR,0.03771903816272605,-0.02095325295393335,0.028345927009686994,-0.022576280678871807,-0.01446944315640234,-0.06832915235223799,-0.05133007879248956,0.0678463609721297,-0.029558208513292984,-0.05294326976187437,-0.0588378081366074,0.04768017367008529,0.04023935000182194,-0.022813301289794845,0.014410512973730095,0.021621355958782427
POMC,-0.03867049001427221,-0.003554075125669326,0.03300923295133419,,0.06421442463375132,-0.029735458626289492,-0.00715812533948276,-0.005208622768386516,0.06725260496130342,0.056840044284304295,0.09367191580001655,0.030985064980197367,0.12964860424801877,0.04634728357290298,-0.02595736544633713,-0.04341686798716248
CCL18,,0.054702087144334936,,,,,,-0.016804918400077223,,,-0.04194790888058134,,0.08415779231787664,0.16130609100272278,0.04175779899129803,
CCL17,,,,,-0.012328118721205358,,0.01816499413636425,,0.06114580823464458,,,,-0.0017918912993925486,-0.03212048512092728,,
VEGFD,,0.12469889813572564,0.04953202636215302,,-0.03431446414373821,-0.014138101381565002,-0.031462256146423256,0.016689640693115477,0.05503931978618373,,0.004231212621986746,-0.028522701784567898,,0.0689650193101631,,
TNFSF13,,0.08900189153684092,,,0.08951429949905071,,,,,,,,0.013326834045386317,0.06491887948467219,-0.017818289962536447,-0.029018036427596212
WNT5A,0.013492727645888127,0.00043458587609415835,0.049839067782527745,0.06349592009870436,-0.0195673947272335,-0.012683155167373835,-0.03958779423459345,0.1402857998992778,0.05012292989666237,0.030185979005704775,-0.022126523595968214,-0.05681079882448668,0.007887368690062976,-0.01701745129899922,0.031625211754662506,-0.06924730485851002
CXCL8,,0.06026164420437626,0.05446248788577539,-0.12419697351112906,0.05235904881598349,0.03203339092191827,0.07634978744621354,0.07285792777827198,0.033298867674444566,,-0.0077011622638874745,-0.009717646051511774,-0.028045022227366753,0.056723597799971465,0.00496972762639803,0.048234091968882876
GRN,0.024038967597952335,0.11989519226979496,-0.061873520594572774,0.03720049931082482,0.02983734887907255,0.007066474381460681,-0.011553945714120165,-0.03321683102342115,-0.00725152982919317,0.032910204860416244,-0.0903248408112337,0.14383660378417643,0.05660002175957906,0.0036607454264404263,0.06277737292495436,0.01460738540362031
MIA,0.015057894488422215,0.0847400664909691,-0.016840958305931335,-0.0030055114764931928,0.005594811441342168,0.08720158242534724,0.028332155240619068,0.05533874799964543,0.08614609321607743,0.10899531634170512,-0.08359933289946161,0.06364092705517992,0.019126536946247073,0.1182332186975924,0.008115530884411892,-0.05315664983620587
