,UKF243,UKF248,UKF255,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.015533287950411494,,,,,,,,,,,-0.03418843915967177,
BMP1,-0.05563375557465027,0.029526854661087964,0.07442153308929832,-0.038518969686546445,-0.1028230455255082,-0.010367656774014643,0.006640296781842565,-0.013292314986184545,0.12738095631653493,-0.07635761982181753,0.08530605536673519,0.09295745799554046,0.06813921828232819,0.04804148284531106,0.07771982800591187,0.16133958237208265,0.07246981168855779
NDP,-0.04120884700229513,0.020537325996581337,0.07533537502853542,0.038245703025711425,-0.03808265666389108,0.08833200882767911,-0.012185066773369677,-0.024833051862794428,0.073368402504957,-0.004043660433613214,0.03434750083529687,0.06737203502481462,0.09489740915626718,0.10975729254111259,-0.07485915576543326,-0.009906105507061384,0.06156355489355682
TNFSF18,0.03151325148723735,-0.03878265267651765,,0.007904275784713635,-0.02306646628427816,-0.013749100825666069,,,,,0.11649039481294884,,,,,0.09295305919015757,-0.020479093775333194
IL36G,,,,,,,,,,-0.016974023829757632,,,,,,,
RTN4,0.09431160122195527,0.02574529506129301,0.06864330675008383,0.16427783768595733,0.16486287105481578,0.0912442591093097,0.060650858447485405,0.08212405131295818,-0.004632956511790238,0.15301534972304906,0.02532631020454302,0.010065619775263877,0.014546759455743881,-0.10173585934909785,-0.01303882594444787,-0.0380691412873877,-0.02824581944707489
HEBP1,-0.060189329631110684,0.005216893403693007,0.03280912665657638,-0.04867969505321554,-0.03530708557054032,0.030010707599066395,-0.0351780881934841,-0.020211479517125177,-0.0030553570832407284,0.05150768397286358,-0.006036785115835323,0.045474149024332465,0.02423241163902172,0.04091543677712835,-0.0013586135275791371,0.07921426028295077,-0.03155738794550975
WNT7B,0.18054061968291182,0.013105881990469755,-0.02255368678510542,0.0580325947677872,0.20032643233038835,0.03276216544277176,0.09683172883792242,,0.036624663027955424,0.09112581427783126,-0.033173628143755296,-0.04755338296370833,-0.04170832136068311,-0.005660637958899273,0.048729618095404714,0.03514571705132449,0.12813555047403352
PTMA,0.038749793885579774,0.02858442581254047,0.11580477638745898,-0.11610300054020088,0.05535956584929183,0.0531252906216652,-0.0013316363718993164,-0.16723688056534247,0.12062733084870314,-0.16070253240640991,0.022909482244246823,-3.725048833514558e-05,-0.09039860027630484,-0.07419292614169393,0.0802132623103191,0.14265597581725384,-0.02540591488323178
FASLG,,,,,,,,,,,,,,,,0.02566229922162801,
CEACAM1,,0.058210468027713375,,,-0.030354155862424462,-0.008991340190122843,,,,,,0.035350762775280986,0.0643570392908039,-0.05071476068350912,-0.008863901905816767,-0.009350642384091536,
PDAP1,-0.02794191907522508,0.051269842367862015,0.0019599669054759026,-0.03397224774551905,-0.05166647560179269,0.017317314421440008,-0.03913976909170253,0.01348630845165037,0.08151207610787725,-0.08013623636733007,0.008724321890361668,0.0034553007204389647,0.02144142936705047,-0.01776863499032484,0.02899096205148895,-0.0027185535281288556,0.030051125107719474
QDPR,-0.03430364943791028,-0.01767338168246874,0.054790622211411386,-0.0421309996964388,-0.02443405136644667,0.008801981763292518,-0.010610878191609108,-0.1338142722091237,0.07447454462755787,-0.036221270425718544,0.005889987898928334,0.05326287340647044,0.04468430276380663,0.041292163385360764,-0.0845222835842875,-0.06924698223864616,-0.03345126531558444
POMC,0.07652692993195499,0.06204918038474733,,0.05348893988067032,0.037605265181150885,-0.01595336934482061,-0.0026960054647754976,0.060725249552115224,0.007779450000770436,0.04322195291808612,0.04082833234825896,-0.08372095601238506,0.07266952190628917,0.02054396262562014,0.04475167014357081,-0.011008483584975519,0.009673930065357815
CCL18,0.05358873122646098,-0.030803419009835,,,,,,-0.024677044579379807,0.12430435708892265,,,0.052956063781546804,0.08030052499939266,-0.016122757391719977,-0.036106553056114085,,
