,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.014800425590323544,,,,,,,,,,0.019185226521687464,,,0.03761680377242196,,
BMP1,0.036762145646903374,0.04986974517064637,0.07691508707627846,-0.05068732243471615,-0.030391988017606984,0.12917416414749536,-0.03397643184148505,0.2483255746785849,-0.08731366537283622,-0.018750174238895186,-0.04174577769610453,-0.09464194508532095,-0.04603970588403655,-0.009436719425131313,-0.030686809311261935,0.06861771282991418,-0.030670033970303115,-0.13727582404201089,-0.06292146100400614,0.24412444742286576,0.05562577190341375,0.07593388229532398,-0.04897144034097378
NDP,-0.02365175531617589,0.1266585525708506,0.050883153992968354,0.0030552254512729474,0.08850368898453932,-0.029218604003705642,-0.018630938988245395,0.0925210990411547,-0.006839970715110511,-0.02372296865375353,0.028814763466689798,0.024597009055356615,0.01653063494174934,0.033203238420936546,0.08186338302302856,0.040926425419146775,0.014306703156721341,0.01686761665168043,0.037493945707549915,0.032380545126438044,0.1437345894591035,0.06565374722788979,-0.04661080268437606
TNFSF18,-0.008149458657539192,0.03083326020912991,0.015201426335631195,-0.03875377464011546,,,-0.030072413849543216,0.03904641345508082,-0.03959207971048453,,,,,-0.03394627270473701,0.13826327725905888,,,-0.031672781401136885,,0.012827548621338492,0.09111285678598886,0.00013964355875410164,
IL36G,,,,,,,,,,,,,0.004236405147296722,,,,,,,,,,
RTN4,-0.13356499354375467,-0.016744261866418517,0.034449069757636286,-0.02162248124553784,0.0015622777201949147,0.066097139172061,0.10264562988962882,-0.25953846994339985,0.021157228178975418,0.08350957007277954,0.12364057086650317,0.01726329957307489,0.03930367889429492,0.02999909283871162,-0.05731402470641263,-0.11932806237141502,0.003185616855156306,0.08606249212401476,0.06845895888724866,-0.16328156319183032,-0.0425375214129879,-0.15854283746391878,-0.043653040265886726
HEBP1,-0.04887409193135213,0.015069552579917907,0.02135846435584342,0.07123240816365758,-0.054241238129112745,0.012839489467053352,0.005694079707274755,0.11756632635876209,0.016128201634267984,0.002058784843397864,-0.013024443243207142,-0.061776518893696106,0.028621286826299663,0.07932048728508612,-0.025671013797537737,0.019464265534892788,0.02777165852030732,0.015232874374877461,0.03074806668482866,0.007235308507664553,0.08752161833526395,0.02912343742201692,-0.021595753694010535
WNT7B,-0.031666358892282705,0.08043372475280572,-0.016842635448192728,-0.024072643487616417,-0.04253004470135291,0.04548141709295785,0.0029269147795060236,-0.10087712631549711,-0.015822404187460656,-0.025080972500399906,,-0.07123771380315917,-0.029257963667050243,0.14308535877242176,,0.051298671742902105,-0.03178788401209902,-0.04919331392538772,0.017119661715854086,-0.07038733892675512,0.021004617209020256,0.07734113649449752,0.03377516667527405
PTMA,-0.026866969868790336,-0.1493290214148623,0.1277950129704001,0.004458611934262056,-0.048687152465801825,-0.07506822863683942,-0.1296924916590987,-0.10710746286191233,0.019971300908740885,-0.07557314200672152,-0.13353178556158563,0.013154572967463637,-0.056475848667964415,0.013016653801362082,0.10704854078377929,-0.10423918667825634,-0.0935389516435065,0.11536091551315944,0.008708529300991287,-0.019556963156703532,-0.07457305333617369,0.07523121118042828,-0.05849502075272003
FASLG,0.03426855667570347,,,,,,,,,,,,,,,,,,,,0.01532775961456999,,
