,UKF248,UKF251,UKF259,UKF269,UKF275,UKF296,UKF313,UKF334,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.012030812252182901,,,,,,-0.0207535908699638,
BMP1,0.04503135859548327,0.01998434241665553,-0.011976862217083021,-0.11110722237807882,0.019364012773294085,0.019012255395118173,0.0681569242184869,0.03670191574060819,-0.026487851741507428,0.04112855532437981,0.058223443344929515
NDP,-0.06499198573421551,0.017922095663316477,-0.003344253210102086,-0.03719352676642465,0.02080751477431512,0.048159028496045066,0.013079771456230328,0.018702903807151117,0.011837387016599027,0.030591837145036663,0.03379885069637654
TNFSF18,0.006628883750622075,0.03155344849415461,,-0.01786539501961051,0.059581970454631664,,,,,0.002084912385978294,-0.026018900392581878
IL36G,,,,,,,,-0.020676885161462325,,,
RTN4,0.00582341202779059,0.05033403818436587,-0.012824997648682572,0.12214078433280452,-0.020414097567442967,-0.03292899169055876,0.014293027964315579,-0.024776010595916463,0.024987705819752695,0.002024458718136039,-0.11955497830729397
HEBP1,0.0012100859783202387,-0.03400236926610862,-0.031612304506968135,-0.08890625388556801,0.02221634301809597,-0.051268403654541245,-0.029453227536617988,0.016632509945865,0.02087837161721584,0.04755644256145875,0.07551005047834744
WNT7B,-0.0030639011389803792,-0.020296131453256188,-0.02495040085018759,0.0717413080378803,0.020830340156885126,0.05503791256092651,-0.012133047608364254,-0.022726279625630095,-0.03537741858314247,0.011270512832837152,-0.02975720173261312
PTMA,-0.001613632959759481,-0.015413166702865093,-0.036151802838207056,0.0405679226682488,-0.0013145046135144057,-0.024734331979192236,0.0919896262481755,-0.0002034985590581092,-0.0247479952843618,-0.05593208589617236,-0.043667097554153995
FASLG,,,,,,,,,,-0.01799958228132977,
CEACAM1,-0.020691281419546514,0.11043288319502612,-0.02881055981191716,-0.02350984230899109,0.012216944831451344,,,,-0.01982371251246416,-0.0250437750870373,
PDAP1,0.03477768796116966,-0.0031549707685468477,-0.007105374012204115,-0.05136215794985199,-0.035991058334133436,0.03209287831903161,0.03685900545406522,-0.007672524967338023,0.013804931717171552,-0.027245969146292414,-0.029257152255114216
QDPR,0.014370180247215312,0.01728736660832354,0.0068211911438280206,0.005616454848263198,-0.022926999966034135,0.02480578779015964,0.07187809401189237,-0.041102866060046886,0.0666628004881346,-0.003555557669429,-0.02206484396837141
POMC,-0.018718437415750494,0.04263815250755655,-0.026829562242784637,-0.0017675565529671178,-0.017426408794848237,0.027889871812152595,-0.009152217684290642,-0.010886004787988134,0.044896512193139,0.007108189960139605,0.03169722086539594
CCL18,0.03425296843480219,,,,,,0.04104783579624481,,0.07490532273181477,,
CCL17,,,-0.01669895680813275,,-0.003900913653212882,-0.006356891140306347,,0.052368643072975125,-0.014063964532937002,-0.016314599631802842,
VEGFD,0.03213307807197294,-0.022309581164506195,-0.01860448194539237,-0.020154837712776767,-0.01995643706081992,0.023385753251155328,-0.01699307612641988,-0.020243842344045974,,,
TNFSF13,0.004869178424434164,,-0.011518566672560836,,,,,,-0.026986635498824404,-0.02658327837572109,-0.010889906822140546
WNT5A,-0.02569790938986617,0.007331412595908576,-0.015235155432547966,-0.09225490699776516,-0.02819355124924639,-0.021368413093008673,-0.006993252272028942,-0.00702069031686924,-0.020648214064681644,0.0034273492776764093,0.029693716563581652
CXCL8,0.018789167386654378,-0.020889369471396444,0.01744064050303169,-0.04007558432826912,0.00734165226355499,-0.013805422227674492,-0.06019732432688274,-0.048932422157833055,-0.04044917723375875,0.026434025516863663,-0.025786697021620425
GRN,-0.0540682541622993,-0.03211340009781878,0.012476912870758744,-0.11076363437118271,0.015488535572972133,-0.0016130452265537094,0.007989184054443202,-0.03255370525626178,0.044642121289582046,0.027442651517821545,-0.07353158416525048
MIA,-0.04144161753779149,-0.003317183368568342,-0.035162400781542376,-0.03436712556229183,-0.004939295845813937,-0.01685999494434916,0.045271422219188666,-0.027724869816075706,0.0900035238867808,0.12368872418993912,0.04935926517061777
COL4A4,0.13573737925835191,0.01606434753872512,0.03740085119145983,-0.011855472485476108,-0.019555881535770876,-0.01778129334058159,,-0.02689415228926708,0.020326427658831563,-0.01013605333478123,-0.031634958304317715
TAC1,-0.013608509410771932,0.07829564842620512,0.022973269616599054,0.05839402676925489,0.00035046089297292854,0.0355620252574581,,-0.016002663712023222,,-0.02144720015432025,-0.0310618509745787
