,UKF248,UKF251,UKF259,UKF313,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,-0.037363468452270884
BMP1,0.056618640041527224,0.05734287576095151,0.002257583071836101,-0.003895647407289454,0.001993463864424592,-0.0013528050511230605,-0.02095890813738434,0.006958279701531451,0.21011811019309473
NDP,0.01665116486723126,0.04402543252266854,0.00949928604593121,-0.012901196276377952,0.0433141158093445,-0.009029902182305038,0.06115653290041552,0.013104928774131983,-0.021471244834372374
TNFSF18,-0.031230432273042584,-0.03547404629644933,,,0.006316657322130933,,,,0.027197186942629167
RTN4,-0.037475645726433506,0.004020919418251432,-0.03947501741570297,-0.04186252315985819,0.015856065066695218,-0.0295436859587096,0.0015602622385747652,-0.03883704458922481,-0.03474370940064559
HEBP1,-0.017229653835136405,-0.028388650869061016,0.025362931793526153,0.0012471248032209338,0.015917302558982983,-0.01886697670405734,0.026647251173815265,0.057533190498384075,0.05054335791684087
WNT7B,-0.015527830383692211,-0.011732031761319026,-0.013370982562846398,-0.03274155466272984,0.16041759048565052,0.00960641530987681,0.008941105914327023,0.015905481148599306,0.00998469189781127
PTMA,-0.023257357973691793,0.06145544734284303,-0.006671505323185361,0.04813344845870424,-0.021958154577299906,0.06768442863487834,-0.004456493677429064,0.07965990192783517,0.1759513902550097
FASLG,,,,,,,,,0.07495748913289803
CEACAM1,-0.019877314250025955,0.0033804695799556834,0.01507590489799423,,,-0.023621189078976854,-0.015175139175628113,0.061505766117810064,0.06254730589767192
PDAP1,-0.029132857152240104,0.04021196438032534,0.04512496165397181,-0.0029214085637669827,0.02956971263235634,0.02722465358462614,0.047993012041841074,0.07463687066158911,-0.04706622012816723
QDPR,-0.07043507884330397,0.026676176614046476,-0.007119384331994486,0.0891996489057293,0.008682732604495327,-0.0550422197804067,-0.026024413073743435,-0.0008845028133468164,-0.033728582644946076
POMC,0.045339305095507355,0.03740318047049539,-0.004120456543535723,0.0739880069725398,-0.021045032838221952,0.0041590875534763495,0.051265526330090745,0.07067521505885185,-0.003623086221576609
