,UKF248,UKF255,UKF259,UKF275,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.011144793115940653,
BMP1,0.057833395315469834,-0.00826088657002136,-0.02595295502074292,-0.01342171874600371,-0.044324535588461,-0.031849791398373614,-0.041551873250471785,-0.06702966442400746,0.08014271517175775,0.09211194357747687,-0.024450169585477206
NDP,0.05376855682486628,0.03551652314901872,-0.05649746589358759,-0.006883614676775622,0.04870931491751221,0.009618060930591612,-0.00575336544437227,-0.03798487859522898,-0.0555897418142139,-0.0408538428096908,0.0730127541556962
TNFSF18,-0.044641756113687585,,,-0.012622089446573373,,,,,-0.05359410491319789,0.05828820753075475,-0.027315552621499532
RTN4,0.009810241667085549,0.06153901793943261,0.006740409552954112,-0.04695384186211264,-0.12008759304467417,0.050506492351798944,-0.07028601076728716,-0.040013130148712626,-0.025257851989816223,0.04836741569734406,-0.04652106036175124
HEBP1,0.02909036089635229,-0.01953885447009371,-0.0037838079628807757,0.027894757509879794,-0.05864694321636958,0.07482349925258239,-0.015483995099145331,0.006455076866337512,0.02499670412615196,-0.04626514958934598,0.05490020659608611
WNT7B,0.029447905788369668,0.027782671702641693,-0.0008373066422546673,-0.020109507315990885,-0.07700077365909151,0.06726429391974172,-0.0007012271900776322,-0.04759306893717698,-0.035236894375385214,0.050339991750287034,-0.03874046982685641
PTMA,0.04260606955857017,-0.004658622911523122,0.02764828653768719,-0.017248625046686526,-0.04605855607472253,0.004474465825168145,-0.036258942010701095,-0.01497798414915135,0.04100855606721781,0.09502757672568286,-0.026813414733092827
FASLG,,,,,,,,,,0.03647837464287214,
CEACAM1,-0.030992313927352022,,0.052697891786514975,0.034847482018355844,-0.05798351350160586,0.04726416873011757,0.060779020766648394,-0.01784980389238645,,-0.03165046244206497,
PDAP1,0.009372887619861337,0.009481968014573532,0.040857223330824186,-0.0371051001569013,0.10483202237512251,-0.01297263841614982,-0.02753397200103715,0.0650634762989646,0.002684463165442432,-0.014919635777317633,-0.037557192816331526
QDPR,0.009786824409374255,4.3533340696585355e-05,-0.03248769630341024,-0.07710511445172206,-0.03578154549170001,-0.0032301855681682178,0.0665417947095109,-0.06885496969510976,-0.028091779740216802,0.013836381786833671,0.06622567992807522
POMC,0.05486095436436377,,-0.015224537280336035,-0.014645674462481979,-0.021777853167671647,0.056114679574048795,-0.027948559284830143,-0.05414659757224668,,0.05844983509268002,0.027009564595379794
CCL18,0.038092837144113045,,,,-0.0497178314570039,-0.02596414364707529,0.089694027766655,-0.010515073830610865,,,
CCL17,,,-0.016291908822010454,0.0015228324067616398,,-0.02044924927691257,0.04636090249176917,,,0.003521912069546412,
VEGFD,0.00782107458733772,,-0.018150985538656808,-0.01677198578689285,0.13480911192364645,,0.05948326700973617,,,,
TNFSF13,-0.03725339196675887,,-0.011237794081736611,,,0.09371733215949354,-0.03826449250803986,-0.011913175425653713,,0.010653564361897827,0.1429085610030268
WNT5A,0.00264861913294114,-0.00934857176039849,0.018100418669945877,0.0020274336968842004,0.10798667163147264,0.04350318633611415,-0.02854919281354647,0.013373696095055815,0.005849135070275172,0.11006343244908016,-0.06731948353883309
CXCL8,-0.061264202824157704,0.0336221403187615,0.09232456199973167,0.032785286952638236,-0.07829276660405646,-0.11168523229025672,-0.018828198121987372,0.04440374667649409,0.12027003353192167,0.01250370765262993,-0.04555749795882573
GRN,0.04116875517959069,-0.03821671725986092,0.047469565389128665,0.04375351708307729,-0.041539468636933044,-0.03717713866964813,-0.008655330718805814,-0.020785044288731618,0.05714955761291075,0.08918080546626908,0.03140984438141512
MIA,-0.014572699710214092,-0.04760772046390161,0.07087794729721923,-0.012094060736215604,0.04828120589275482,0.09298589769025323,0.05102594227776214,0.033459850407361796,,-0.015228846973259559,-0.007266091704738067
COL4A4,0.021937402820088072,-0.0362268445132418,0.019716687718486527,0.017557703678080655,,0.02460630000597646,0.059903138727160174,0.01712708693049121,,0.05658540969399726,0.09116884801448595
TAC1,0.004365675510257189,-0.030864751748242037,0.0017409197353778691,-0.05793091602610635,,,,-0.01262223993781359,0.008350568589678297,0.08545452547329067,-0.06444191449034564
RARRES2,-0.04594303850264734,-0.006651881391106465,-0.008704288995057857,-0.015138390190143979,0.01927954033763019,-0.0500883991844836,0.04100312089484745,0.01568473239450435,0.07168498003929093,0.04169708671612835,-0.013983361535454568
FGF7,,0.007969186248840169,-0.01806571694562748,0.04496683987261733,-0.06531899503574128,0.02633174851837628,0.02700663207578911,0.033093266094180465,-0.0511960839202207,0.03239411176465866,-0.04291189560924044
EFNA2,,,,,,,-0.023177465323995616,,,,
