,UKF243,UKF266,UKF296,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.0007234120267813423,,-0.025949298915900178,,
BMP1,0.002685575806043923,-0.013428070475411084,-0.05482008234433732,0.10985243820421756,-0.030409258368727186,-0.029095779633885464,-0.03879677665432034,0.027486309365232053,-0.03244525137385318,0.05997444703183443,0.025436971131028527,0.008128259695132495
NDP,-0.011060398824778096,-0.0074001770375840695,0.0029142669809737397,0.06411202946449131,0.02944913833843436,0.049499142735744954,0.002348807774091718,-0.08480446900776789,-0.008245298512880177,-0.0372951618738752,0.06346115094628749,-0.02558898795580833
TNFSF18,-0.020724177172946782,-0.010827027347182687,,-0.04155872937737784,,,,-0.0010002228906978998,,0.019416482520901918,0.05175805027241575,
RTN4,0.05900822911569726,0.05989135070912198,-0.006027712491828908,0.09313248902330527,0.13151594732421887,-0.033113613084349035,0.02368056900596744,0.008517880241108878,0.018804885933015304,-0.05348606089942046,-0.01682618608466407,-0.028744846002791015
HEBP1,0.04791105102694542,-0.02938321168285156,0.02483374540829803,0.011388817496282436,0.060868938061992166,0.06163196665155836,0.014302436866292878,0.039480700833102476,0.04665806085900319,-0.004355717520355087,-0.01394341538315255,-0.05579004941120198
WNT7B,0.22183382030760015,0.01957715582884014,-0.010917752342405745,,0.04527400062953954,0.051826697363333,0.03157293493037652,-0.010670216875029006,0.01527871981853011,0.013700815825476378,0.010786723406566598,0.004880405948558951
PTMA,0.03379853025807869,-0.05163936356546873,0.0031842384490712024,-0.1015275484058729,0.009199172289546594,-0.020256885588101146,0.025409576247503552,0.003391503131238775,0.019735420343358148,-0.029165541764567024,0.0018481658380305453,-0.11860865520218483
FASLG,,,,,,,,,,-0.022505818097028975,,
CEACAM1,,,,-0.02922283986596121,-0.031296319816217194,-0.024272236882704648,-0.010380156007528306,0.014767269632265715,-0.004621613636095689,-0.031313540379011934,,
PDAP1,0.016693064713217305,0.045652053003024565,-0.02408453584537733,-0.055321409164030035,-0.05602596651367182,-0.00979853064875934,0.012943941784079828,0.02841873439183849,-0.004130835270713299,0.049417820804861116,0.027343323873028676,0.008095562439199025
QDPR,0.02409807672844639,-0.04612669860794622,0.03396642044058494,-0.0833905316777202,0.046043304941750886,0.09004774053728425,0.030925533870514756,-0.0011179934691826386,0.0165439279904853,0.04101627890160316,-0.013039932302210419,0.0934772926184981
POMC,0.07836170971989216,-0.0026592823264666894,-0.029364421855960894,-0.03697496650068493,0.008960407129857633,0.09083218469860731,-0.01942661478147613,-0.0034451082787391256,-0.024263754609247554,-0.010536603380868278,-0.009040674011193586,0.10757152209397822
CCL18,-0.02779282561836092,,,,-0.022189605310555624,0.044497356897618474,0.03489233660681733,,-0.01920506473638745,,,
CCL17,,,-0.013513116848678132,,,-0.017219977258990767,-0.014081466119968437,0.0066897977780884235,,5.849342277927563e-06,,
VEGFD,0.025528232607482618,,-0.009912034628377874,-0.03972781041349321,,,-0.025955977357350026,-0.001550793135397784,,,,
TNFSF13,,-0.010499957881452377,,,,-0.03304254987973744,-0.019542837667952714,0.06258056280133453,-0.024302340650194598,-0.020583477355912826,-0.02794196425980321,
WNT5A,0.01975493143532246,-0.02116807586401667,-0.028628314172372955,0.01398521211321764,-0.005867335717722832,-0.02112874048963616,-0.04287042346918969,-0.0699871673167824,0.016006893753500524,0.07366728575059371,-0.02494163549191267,-0.0046693979430316255
CXCL8,-0.014821862318748947,-0.014935509067964045,-0.009230517635539484,-0.04011969497968941,-0.03906829375243723,-0.06136703210197817,-0.009378914525743298,-0.06157205991084465,0.03075226138421517,0.0008733945184928758,-0.02166142090814594,-0.027790202033186735
GRN,-0.04750826974710164,-0.0009356977860712998,-0.003937820198204194,0.04816882380793714,-0.10057112729924673,0.003973521073549334,0.006047684383359212,0.020073925986215272,-0.00860610242102859,-0.027529222335841274,-0.01662267138383532,-0.06748407667782338
MIA,0.031877494161393384,-0.018985948884275315,-0.011272851934723955,0.052524486961714544,0.08560359381351348,0.10976592817430322,0.020818999518392067,-0.012383152430108997,0.015182011514931287,-0.045979279700244936,-0.010419875901561727,
COL4A4,-0.031523399612245755,-0.009990246031696263,-0.01893749475016139,-0.03110765796245745,-0.0035289640760162513,-0.015689077123001414,0.029533157265194815,0.031587016727035594,-0.0248658816337737,-0.0037784284223899805,0.06724382453963108,
