,UKF243,UKF248,UKF255,UKF266,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.040164493767142276,
BMP1,0.0959211561799234,0.1062653374605745,0.07240646969212139,0.1388224143147654,0.10429915760382825,0.06546386853986627,0.012829194245625333,0.001123422238060434,-0.043948639463459456,0.057603524953976276,0.06032127410285615
NDP,-0.011841271989187005,0.011276410860714285,-0.01273718616357971,0.025740729658423556,-0.05550952887047839,0.0015115937986566455,0.16640902543820976,-0.01564366813457318,0.07534431694277342,0.02365821967244872,0.01689896191808607
TNFSF18,-0.0228527807689988,0.09482318108880346,,-0.014612400241240992,0.031110844887294084,,-0.04441179352791178,,-0.043522648878201405,-0.03066919821115915,0.08953224188418162
RTN4,0.15932466938447054,-0.003972229471521106,0.06347063629024109,-0.11113299184842046,-0.07911301158775005,0.055173375931888494,0.09066600636929995,0.12456816131390915,-0.02529790073336513,0.024777563807882184,-0.23513863534167379
HEBP1,0.06553932923489289,0.02650608463671054,-0.05205756489085728,0.03560954810522429,-0.06175161982322456,0.048104621035351375,0.058805662540771124,0.009384337593547277,-0.020674400481954104,0.05626970323005639,0.04572135510962413
WNT7B,0.06386708704067838,-0.012227907176140631,-0.053593588832054236,0.035985544984449176,0.03531431160549388,0.04991493442280864,0.12313344361431963,-0.0070441273658209645,,0.10259856496665626,-0.00967128172127564
PTMA,-0.007065101247873922,0.07199677361964962,0.13010126214013193,0.16013969683857787,-0.06171252340297664,0.06299316819692105,0.014172499642096837,-0.03116500084436267,-0.04167708972274442,0.011908084564974145,0.05809102334183136
FASLG,,,,,,,,,,0.009422979754648201,
CEACAM1,,-0.006606978188088669,,,0.007075374365363759,,,0.00818912528879185,-0.030603808580405262,-0.030376163987234528,
PDAP1,-0.08284028844682507,-0.012235558547477807,0.06589895552850246,0.038315515584787074,0.04020834800464361,0.04777704455611539,0.051838151247738176,-0.06229806259510523,0.00546003475061018,0.02721929553147274,0.03557593198447317
QDPR,0.09162547042697122,-0.06148844811462141,0.08444208927279062,-0.05854777362496821,-0.11236607229981008,0.07691866893016495,0.042060955258448635,0.023399648286464944,0.02587813399051009,0.1107749704388295,-0.1849844764078549
POMC,-0.015604888930825593,0.020035592431103002,,0.039415250606939026,0.0035841589916359657,-0.04351534621850503,0.07924776145159591,-0.030606646894788914,-0.03541949841585366,0.06117270624026934,-0.01420371885235684
CCL18,0.1854698662028143,-0.0367174256329263,,,,-0.015013332726654635,,0.10008755180052306,,,
CCL17,,,,,-0.033058300723091516,,,,,0.05929816552020846,
VEGFD,-0.03453072745277213,-0.01822700846334262,,,-0.028909468645783278,-0.02940072694577475,,-0.07013862765040674,-0.018886265009020752,,
TNFSF13,,0.03700650237555079,,0.08876385667711335,,,,,,0.008385267413288265,-0.010576633174520383
WNT5A,-0.046315778504228036,-0.01823260438382212,0.0645882120700358,0.17168559475768663,0.005253371486043142,-0.043106917584116444,0.04484534974652605,-0.021993165230436915,-0.03132662248203225,0.09187742038650407,0.0660242427754717
CXCL8,0.00904354165057286,-0.06264987322008088,-0.12699584831000876,-0.02015729981180515,0.13141945525496593,-0.010902661048348182,,0.0003722907293533979,-0.03455516975352025,0.06032857767829342,0.07694380532410983
GRN,0.04818131812733766,0.09880609798625853,0.08666374750754861,0.016564091494583405,-0.048457413698706014,-0.0417852906741449,0.0461922983553726,-0.16743459408243205,-0.11901509089519244,0.04082155765192757,0.0180360525924698
MIA,0.012884439414125991,-0.006973229270028299,0.021941226887998017,0.132032038469953,0.11496210919516277,0.013101783639902987,0.05044431813061568,-0.005595145726528059,-0.07759477111839315,0.12519937008249457,0.0760914059239445
COL4A4,-0.03476120351704947,-0.0019045618841837433,-0.001990910791330979,-0.013483061309677151,0.021232933731350618,,,,-0.0035622582016850203,0.16495360094462824,0.011608192714689856
TAC1,0.026703454619383546,-0.00791719434909992,0.10287011014338106,-0.06934990666710279,-0.13370912451578396,,,,,0.0756664355275253,-0.1489712134103334
RARRES2,0.08038526094584572,0.043701232601918584,-0.06845529029933184,0.08887267769422585,-0.17969907497498547,-0.12161566507808542,0.01197799198322938,-0.002225410753670455,0.11932015006365711,0.0941666350910236,-0.013735876989304247
FGF7,-0.004407906397572543,,-0.0021212913266029096,0.0389098474071275,0.003193494150732337,-0.03727616958989563,0.11184770273071318,-0.06832407856739924,0.03403889365240744,0.05352969387858948,-0.00838933119638007
HBEGF,-0.007303669110159251,0.13275944927996433,-0.01505037327989794,0.0900356550393786,0.13576692766922852,-0.04012561687663363,0.12689303975093494,0.12364090319105484,-0.10772910737649251,0.02217718868043844,0.12306137174851789
CSF3,0.015389560051542578,,-0.04429617878008493,,,-0.04416948354355539,,,,-0.028917455566454295,0.028659491798082738
PI3,-0.013104139188125058,-0.03862827983691294,-0.020234436969034344,,,,,0.198688423784601,,-0.026558413706670822,-0.041906205065835554
PCSK1N,0.07296145989169818,-0.004686240094784981,0.09409683846868167,-0.07312218468923591,0.04378691384599234,0.030369342416566036,0.0589620338216269,0.06198549561910144,-0.04001074593280292,0.06073110802520396,-0.13789761061587746
NTS,,,,-0.016459754397325017,-0.034967292789515984,,,,,0.010858914796528384,
SFRP1,0.013563950424325169,0.02049142470136003,,0.1254421027271023,0.022637130966457197,0.0016991340115727652,0.02992656824099506,0.08831439929305503,-0.06215147650583223,0.010519855355923645,-0.04876938701197841
CXCL13,,,-0.03216426704190058,,,0.004033118164606145,,,,,0.12854430266465366
MICA,0.012426838713432803,0.017269710026811925,0.04147435510800347,0.06116196278585566,-0.005609559615124564,-0.07973647785009293,0.05957038265748863,0.04310102501124869,-0.020018866620605782,0.05479518489859032,0.02418025176837973
TG,0.01338147801600274,-0.00029139227255527134,,0.059623059311878425,-0.04038824585300971,-0.02291994940728496,0.02812877092740344,-0.10297881646471607,-0.06644824687838803,-0.02143104204769137,4.910242573723861e-05
ADA,-0.040978867118543094,0.05732667712605747,0.051265940825630275,0.06227685088262076,0.07564071068673069,-0.011760206513890436,0.07361696322448483,-0.004546136775492831,-0.017477089412232083,0.108208853615774,0.09466727621416315
