,UKF248,UKF251,UKF260,UKF266,UKF296,UKF304,UKF313,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,0.10825817302116643,
BMP1,0.10209070137617066,-0.017992349033653987,0.002725360665140124,0.03088444405277475,0.04915765012745822,0.01275712662499189,0.06488049043457117,0.031089944616686554,-0.018050961132935597,0.061783665014420605,0.012050188435272492,-0.0717797979173167,0.2844063367025059,0.09339515408258466
NDP,-0.035620340415485896,0.011465933814065948,0.06465643376055821,0.0143861799180762,0.0036168627144892705,-0.05140248225928598,0.0699745752041851,0.09791289196107276,-0.04236660870409529,0.010442815424843824,0.046950694195963,0.059757818638607976,-0.06855472683574886,0.041706162882918216
TNFSF18,-0.027558992803403924,-0.023785814258966913,,-0.013633036835696652,,,,0.021195374417680577,,,,0.19330817448735935,0.1755363318360181,0.02935839250907947
RTN4,-0.07790035099929737,-0.018361701114271173,0.010677971424130125,-0.004451838974610751,-0.007287980459939546,-0.01585687430468383,-0.05170920338090137,-0.026182815653863753,-0.03400441816598469,-0.030249333308835384,-0.03636622432196805,-0.05645667727961015,-0.1219742207825485,-0.03580582302327621
HEBP1,0.02658793666336021,-0.047834489925174924,0.0024141991895525244,0.022947472203192095,0.035569165261782276,0.016144329514462617,0.0028784415691858168,0.08627180975127155,0.0007406079223277426,0.006301434239273242,0.016790678698723416,-0.07363187871471095,0.002136040081997018,-0.006752973888290805
WNT7B,-0.002110542858252358,0.0069543306657540846,0.03198443538473364,0.000866061974935464,0.027594959686943733,,-0.020644013578728963,0.10520112324268634,-0.022041145916578714,-0.02061233470421796,-0.025860407247953292,-0.03214811911811542,0.019126499189913777,-0.020036404954549347
PTMA,0.0056975713384634285,-0.022973121040394708,-0.08231836886970234,-0.0038335048197569925,0.009627182024559495,0.01744412085435706,0.06291684840927124,-0.008437565852743885,-0.035520921926448894,-0.03965821139551427,0.031102514317124835,-0.030210109227957548,0.2929955082952528,0.07414607166531507
FASLG,,,,,,,,,,,,,0.004455505579406137,
CEACAM1,-0.017540543645958792,-0.011338931891735576,-0.014777320781550952,,,,,,0.045109725417906255,-0.016479388959089965,-0.017163928396483053,,0.09279971522244967,
PDAP1,-0.03502200015237894,0.04611704973911344,-0.0335354199625807,0.04412432771259719,0.03214128699334966,0.08936217666539026,0.07728417403726785,0.06985109717981632,-0.029905819896345557,-0.01573347302116953,0.042345090960644344,-0.07066107219071067,-0.009666563798537092,-0.03730075649235798
QDPR,-0.08208415119065472,-0.05919054527775381,0.03536120548121708,-0.002196450806125049,-0.02458825372431261,-0.01469977210261554,0.020915028438102577,-0.07551914354273513,-0.020122251077183805,0.006071104939607609,0.023140145553378098,-0.022300536845915448,-0.018315339576146582,-0.029067140355715462
POMC,-0.0005254364396377334,-0.0036074855232258486,-0.005160707952984984,0.007273255439499946,0.029046564872880983,-0.07490009552357442,-0.03142384784231905,0.017411884359484264,0.07905080433533458,-0.03860532464203015,-0.014412514718248882,,0.09869958656310163,0.052344748364836276
CCL18,-0.021888941168954186,,,,,0.015259039295938786,0.053145870406594325,,-0.036277155723766503,0.006447046435189089,-0.01245755672579462,,,
CCL17,,,,,0.016953824322823687,,,,-0.014063966469556318,-0.0059175202003103914,,,0.0507381756329107,
VEGFD,-0.02188894811971822,-0.016240745012193344,0.06450618242729222,,-0.012475430741159548,-0.03342059322733559,0.08776957497699833,,,-0.016479388959089965,,,,
TNFSF13,-0.016518102663364308,,,-0.01322120171871108,,,,,-0.02698663921490599,-0.010394066143606879,0.07882221592419687,,0.05518886527578075,0.05095572026092032
WNT5A,-0.010451121261796236,-0.0027662438901237037,0.02228572745464391,-0.03301619374610222,-0.059674140702301315,-0.01966275514406182,0.021727727157565945,0.07088648832646574,-0.024092544965518357,0.02706700709053304,0.06469708444771155,-0.0703373957304099,0.10438785731773788,0.08719015337096835
CXCL8,-0.013970747081623842,-0.015206871009761282,-0.011025473557280214,-0.018806301928887104,-0.011617663555930286,-0.024828369673973165,-0.05373345298620084,,-0.0008185743438305953,-0.018801481896059215,-0.0068620637434543335,0.12304474301887088,-0.06772263854667827,0.0809797099824149
GRN,0.14178887513566138,0.037243910365675065,-0.00019134471340644208,-0.009825694401450659,-0.03085529627820926,-0.009528486901780441,0.061587810020603886,0.08420411978177757,0.017491012895665094,0.012690228125186196,0.04904934670183172,0.06826828944473977,0.21712430577866235,0.057759616458649965
MIA,-0.007878716501019513,-0.014443382852690676,-0.023716458579318873,0.08348437744854298,0.02577851396581271,,-0.028793351096818423,0.27513339835187955,0.00062787609685423,-0.03107419082964058,0.11491870167800787,,-0.06650612294676649,-0.00690695119173955
COL4A4,-0.026288440501388868,-0.02428946804669641,0.00975757772989445,-0.012579389317163544,0.07232848344133741,,,,0.013059070301444438,-0.0263860784228422,-0.010961945615005523,,0.12665801619139835,0.1987983560545483
TAC1,-0.04624409481118828,-0.009415168941093288,0.07530247274503084,-0.014794353790372973,0.011317764696633377,-0.05688589886502619,,,,,-0.029612666186633788,-0.0600360317193449,-0.04724140991496064,-0.05992050497442514
RARRES2,-0.0595784917840303,0.07001896131245296,-0.011294863987727093,0.07227264289749594,0.004240918602385267,0.059505061952464834,-0.006544823592636698,-0.04128139623373228,0.060242640782813085,0.007417869917797328,-0.02699801202610313,0.13293882934754897,-0.07184044281371024,0.009456055998036951
FGF7,,-0.018330683788836687,0.08391973526786906,0.058289873705370164,-0.01416330377278771,-0.019478007874736088,0.03421850466698718,0.006174754920445451,0.0458368469810853,-0.0003246487693862964,-0.0069649548707533945,0.051117661336409936,-0.041860923525719206,0.03311615502039469
EFNA2,,,,,,,,,,0.06141578253120077,,,,
HBEGF,0.12686510802555725,-0.01775724882448035,-0.03598190260551135,0.1001732748200221,0.003184261546123329,0.01429422495780569,-0.011238811054225608,0.12205380471049922,0.024680495110387092,0.006076088023341656,-0.00810871494467053,-0.035448614726497484,0.12691971718549364,0.09822703505698846
CSF3,,,-0.012445728246831763,,,,-0.031896221695606304,,0.04499006480728942,0.0063071593298960425,-0.024606835926078797,-0.02889385139515258,-0.03783497114568454,0.06183611047138679
PI3,-0.023028088985897116,,0.01899137761539989,,,,,,-0.0015040672464285958,-0.001636346519054607,-0.0016735312089162738,,-0.08220282286264355,-0.01821792967463991
PCSK1N,-0.07189581033600462,-0.010354525495407321,-0.0011082304531270977,-0.007254444664365115,0.03888542341406327,-0.0306148306843765,0.04415016585521607,0.051273059358301884,0.0008994975643257559,0.07262850657783987,-0.019021990331488228,-0.059387338482396176,-0.1654763322852257,-0.05418531491270907
NTS,,,-0.03781619027811415,-0.015356576216132616,-0.015981719748746594,0.005476586036924426,,,-0.032809769768520104,-0.01908185273726799,0.034013190600956394,,0.009991121007005003,
SFRP1,-0.010249554045783827,0.011305957556623435,0.07363175417198266,-0.01453002401286004,-0.01700780529539249,0.058118286335748386,-0.03793507111864218,0.018804672741460637,0.04178127832905931,0.02786656690639249,0.009921642904467926,-0.11275701784453288,0.2809253922499111,-0.007102845207655585
CXCL13,,-0.027418510117640228,0.0733473653528763,,,,-0.060036865323787623,,-0.03159055220776763,0.05273286611043337,0.0954147899279077,,,0.07155973014003178
MICA,0.08082020329346767,-0.02451955584291726,0.04520289111478455,0.05986473600673493,-0.011590135965941094,0.1309864841871008,-0.00827282798839755,0.05473687580187425,-0.010313227974196874,0.09334077699278363,0.07422393584737129,-0.005376504694364918,0.1582059444618339,-0.03614264784458785
TG,-0.02369874326985016,-0.015418662755946588,-0.022943931675296365,-0.01772553715076425,-0.012308474709864467,,0.019893857514396356,0.03764649233010102,0.07448826487211836,0.048111164805528614,-0.020251804090095804,,0.08499669033089591,-0.021994336075922365
ADA,0.1632342441669457,-0.02116890041820803,-0.011056718824020739,0.043066475997340876,0.00941874934638821,0.05427818788309822,0.038512754256283734,0.03872750773654471,-0.023291263540139034,0.09836354666019943,0.005298979557209893,0.057288225483174415,0.280245287386609,0.08746667456092656
LAMC3,0.171218598091938,-0.027418510220774236,0.0012827253188780908,-0.024786349685886003,0.03603589988091809,0.011152173896717502,0.021931950674291437,0.07743961716210535,0.03207645761143359,0.06532753571915367,0.07702669565217968,0.03613567857075149,0.24795561296556448,0.08454212128954021
CCL7,-0.013923215712287938,,-0.02119206087653964,,,,,,-0.021078643984847857,,,,-0.03964738223946801,0.08142089319369766
NGF,0.15456646598527812,,-0.02262031928789698,-0.016914916732648062,,-0.0300892893165337,0.02753628395328748,,0.09982821979249713,-0.015452025246338047,-0.02367204881887906,,0.1942076955313716,0.020599205328196334
TNFSF15,,,-0.015690529959371858,-0.020538417222348906,,,-0.020312140916587118,-0.014075641298103046,0.06378971789654021,,0.009747646988424303,,0.11454446597856845,0.04745976413506025
HMGB1,-0.015631829235706197,0.0546419964248098,0.02256967413489231,-0.009793547673209793,-0.031001679142219428,0.03287606619966607,0.07707800709721911,-0.002698162653367397,-0.010999941739790806,0.03822023130052735,-0.012460862603793544,0.03808209635978438,-0.08977365133451153,-0.08005809531106235
ITGB3BP,-0.027752904706000385,-0.019631164050468112,0.0023661118510075437,0.010598815955651028,0.05607950319340669,0.11913434073004257,-0.03915946710744926,0.037877064556060665,-0.016128855571571205,0.03221201127907544,-0.09047139470792052,0.09079187756991505,0.03904878516539013,0.00293131357070169
