,MGH258,ZH916T1
IGFL3,,-0.015954311688617606
BMP1,-0.025716463835431365,0.06794549251476348
NDP,0.003068131195886996,-0.017256789538031492
TNFSF18,0.04770191879160693,-0.0269120714805539
RTN4,0.03364986807280809,-0.007388167297256888
HEBP1,0.007240305537274085,0.0022106141164332516
WNT7B,-0.017945694864525644,0.017206959805272835
PTMA,-0.015784196084564196,0.022002235276515247
FASLG,0.9999999999999998,1.0
CEACAM1,-0.024917761418687363,-0.01925238847107168
PDAP1,-0.037084941622522564,-0.02431439092152671
QDPR,0.062451605781293086,0.02132995062786104
POMC,-0.02001530923057897,-0.012499385992423616
CCL17,,0.14928215779102977
TNFSF13,,0.021226560903747478
WNT5A,0.034550155662168236,0.056490582067210124
CXCL8,,-0.0247298076831331
GRN,0.0027437546793579646,0.042660294230801386
MIA,0.015550553233315206,-0.017144455035935504
COL4A4,0.07307570660797569,-0.03683144018134933
TAC1,-0.01794569017421067,-0.016487523448552484
RARRES2,-0.058013955266554076,0.030941005417717816
FGF7,0.024856101654836402,-0.025627287987088476
HBEGF,0.06927172600526155,0.04945980982790816
CSF3,,-0.013204622280806039
PI3,,-0.02868925741049554
PCSK1N,-0.04576550945885516,-0.00023017318387839222
NTS,,0.0010871605801805256
SFRP1,-0.02611143250778691,-0.01909985388525781
MICA,-0.033211236193598066,0.014619272594020773
TG,-0.02078330251618011,-0.025751532128645966
ADA,-0.05170512892513953,0.07694880785115145
LAMC3,-0.05175299099232498,0.06137734870790623
CCL7,,-0.013837164164313805
NGF,,0.039373729674009414
TNFSF15,,-0.0017281394668773326
HMGB1,-0.02390306884086638,-0.06538386822622384
ITGB3BP,-0.03526462056614057,0.05619062089010604
AANAT,,0.013202056107435587
RELN,-0.01722990879599531,
IL15,-0.02820496068203621,0.11167407425241449
BSG,-0.09211911053312681,0.023742757551075598
ADAMTS3,-0.0037906533078885247,-0.047179944576406285
CD34,0.0011126994589504117,-0.010311900514188007
PLAT,-0.02118322283103573,0.03806561775643503
LTA,,0.04371250152622755
CKLF,-0.015796334765516472,-0.008340383346606561
CD24,-0.009285118858177822,-0.022875656989844267
HSP90AA1,-0.060538405841453514,-0.029094994408826704
BMP4,-0.021389035513098006,0.017152247989987195
SCGB3A1,,0.044535609030927466
IGFBP4,0.045010186773796604,0.06598281664281809
RSPO4,,-0.009652924391233433
LEFTY2,0.0714321546403361,0.04521569023856376
PF4,,-0.01970362848759632
ANGPTL2,0.03715162553695134,0.0386320187132731
LRIG2,-0.03693961166798145,-0.03867343360762361
ICOSLG,0.0453774848687393,0.06044788157178127
NPPC,-0.04306882209986737,
LYZ,0.0729651945778028,0.03394164235891059
EREG,,-0.02975704309450855
SPTAN1,0.005193319662927847,-0.04713813667850679
LIPC,-0.008127507260106121,-0.02491284418684168
COL8A1,-0.00760935145982079,0.010695371848591036
GSTM2,-0.0008839926961826083,0.03363308782701751
SPX,0.08985411292221668,-0.05096295249595954
MFGE8,-0.018052788083781968,0.03824254940639424
TGFA,0.01067777360309063,0.03571684304544469
SLIT2,-0.021389032090531567,0.03289440770710384
PLTP,0.009520988333526001,0.03085623840149758
APOD,0.03016549674150918,-0.008429488913112541
B2M,-0.005393653812800298,0.059524075235759644
OMG,0.0027295311841725716,-0.04141833695782502
CXCL3,-0.016736859433429414,-0.01020514464230155
CXCL10,0.03207746223538246,0.0075739845353686875
RSPO3,,-0.014042015901351321
CORT,-0.02078330686523557,
NCAN,0.013163951310564291,-0.036287783710088665
PRG4,,0.03886861186936158
ZG16B,,-0.017508882628902097
TGM2,0.0343739421941196,0.05800092675657314
VEGFC,0.2348347002188165,0.05579556061969396
WNT6,,0.018926043924807245
NRG4,,-0.014042017475126286
PMCH,,-0.03027992410063044
COL9A1,0.03719699719028349,-0.0020014743947911824
GDF11,-0.03428107996142867,0.06147248650960744
RAET1E,,-0.01540399339898809
SORBS1,0.01842918540253287,0.025640974455463237
DLL1,0.03418168709857749,0.02732151210307423
TLN1,0.09651981764582482,0.06219083954595825
COL2A1,-0.019520840288824132,-0.0005065585393407757
SHH,,0.02382219753806463
PON2,-0.038747846773108094,-0.014048287472428048
ICAM5,,-0.030279922826647702
HPX,-0.0015371289475955604,-0.03240532560918664
SFRP2,,0.0013116475261460859
CD70,,-0.02142363485775165
HP,-0.02679342996562894,-0.0210053223071237
CXCL2,0.02399995980488209,0.11150779712518903
NPPB,,-0.014244062865934383
CCK,-0.03320378567551014,0.06939458252015338
SEMA6A,0.05264589131562367,-0.02649821624886324
IRAK4,-0.061621358364617296,0.035160290116946
GSTP1,-0.03143315771749392,-0.04300649614320702
VCAM1,-0.012858385594173068,0.0934915832497488
NXPH3,0.011565395687743237,0.07126627323810279
MTMR4,0.027558894046037664,-0.04949563280086623
LAMC2,,0.06977951821418057
IL10,-0.021587528875129217,-0.0012075184600817118
SEMA4D,0.022289987511100277,0.001904103346982239
TRH,-0.019083065134261695,0.010073127362833426
SEMA6D,-0.011326082660498471,-0.04356976222063292
CEL,,0.16075391906627787
PDCD1LG2,0.04547311304370295,0.05917053582876909
SPINT1,0.020722331437710063,0.0031066027609864466
CTHRC1,-0.008537453940130568,0.047763962914958484
PODXL,0.03299883734145285,0.0534784049348061
JAM3,0.02458591314362253,0.0533834432979755
TGFB2,-0.02730585009741033,-0.02193229637311095
COL18A1,0.00833332749098042,0.05496430613439406
NODAL,-0.013871569386656853,0.05337627714120769
INHBB,-0.02266284584470551,-0.026776783543394893
LCN1,,-0.016133862235658103
ARF4,0.09663699772961273,0.04445559191572828
CXCL14,0.007498120552821923,0.0015566472191451519
LIF,-0.02577526526936916,0.023054897280657127
IL17B,,0.14215218944557392
MMP1,,0.04992286848274976
MATN1,,-0.019403844888230454
ADAM28,0.04230161792371895,0.052470972970718274
TCN2,0.040025501862837536,0.07467484757621513
THPO,,0.05718196672358573
CUBN,0.020331582788862917,-0.048399158666309186
TIMP3,0.0025640735194091438,0.07572295755045898
PIGF,-0.048930788705211524,-0.0013490395133610987
CRH,,0.012296606943680458
BDNF,,0.07655742728592384
CCL5,0.007361681564117318,0.07550758892357756
GAD1,0.033765590448776694,0.08555778960033861
COL14A1,-0.010938542231383323,0.08456000621991065
HLA-A,-0.03028330277050709,0.03057077237529432
CD5L,0.04126122457948993,
FGF18,,0.03682374245534529
ADM,0.07581667908693178,0.009512988157683411
CCL15,,-0.01383716915113698
GNAI2,0.0810552940953293,0.022323048609488666
HDC,,-0.026822658069729985
COL11A1,0.11436380104267997,-0.016680740168800928
NUCB2,0.06106522933896064,0.09044615940343084
CXCL1,,-0.007873946238398958
VCAN,-0.020293921973906344,0.005845037313376112
MMP7,,0.03812004325498876
PTPN6,0.022187799527085057,0.04728685195020641
PTGS2,-0.04136075609643813,0.0037704636250237723
XCL1,0.031536577895383035,
CD58,-0.010136314919117671,0.01162369123054453
TNFSF14,0.034466449417974034,0.11133523350684718
CNTN4,,-0.023544803813289387
INSL3,,0.02574135468960759
BTLA,,0.004652492544561894
MFNG,-0.01134075088746376,0.0764823203232302
ICAM1,0.04866589193893581,0.0033183047091327445
PROS1,-0.013857744070133415,0.041354444204157424
CLCF1,-0.04182606521951267,0.03536339380645513
PSAP,0.037167322941415205,0.07851738195328825
EFEMP1,0.02509533572181346,0.040584241297057524
C1QTNF1,-0.034572757665532236,0.024665291902011093
ALB,0.007193676824173489,-0.021423641543807284
EFNA3,-0.04252277404616206,-0.03456118223125391
DRAXIN,-0.01950052391035057,0.03666984711847124
NPTX2,-0.010105474142814794,-0.01036767010715946
FGF11,-0.07434780501360969,0.007582869952597926
CD59,0.08678861214506074,0.03549693214543156
COL9A2,0.03291001884022219,-0.061748608649459705
DLL3,0.05605139977943724,-0.04574024736029789
FGF5,,0.0189578296530166
LIN7C,-0.007505904588388096,-0.009001524886762253
GDF7,-0.019303095639100536,-0.02702588113919874
PSPN,-0.02315488695350598,-0.004178440155433235
ANGPT1,0.026622357623275462,0.1186830205832895
PNOC,0.04356757609922819,-0.019554261187679268
L1CAM,-0.028986573638093153,-0.023798469512311963
APOA1,-0.0032848864135293972,0.031333910982116284
PSEN1,-0.01791372245845411,0.004193242591074401
CALM2,0.021657536355999523,-0.017765477223111215
CLEC2B,0.07486758448945091,0.02907017572555388
NTNG1,-0.007202811159049435,0.05343397557113486
LRIG1,-0.0072793817856706055,-0.023645688805376933
CPAMD8,-0.016985067559718677,0.023627108401507974
GHRL,-0.027098454222425006,0.036244700932396956
NPY,-0.024917757005933742,-0.02392444607724692
MMP2,-0.035564842362667305,0.06972083924934504
PPY,,0.056096443577281614
ALKAL2,0.011091675666555952,-8.708974052634546e-05
CSF1,0.007116819717846318,0.06553799862154581
SEMA4C,0.05922545554949036,0.010830814482180217
BMP8A,,-0.01700525517639625
ICAM2,0.010708356050788882,0.02542509123214521
SYTL3,-0.046415042870006064,0.04446672391840837
IL1A,-0.019736375525201407,-0.007788057559180251
PGF,-0.033089765242743464,0.02493672183186498
