,UKF251,UKF266,UKF269,UKF313,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,0.039971452325128595,,0.02126197503631717,-0.027584980774874274,
BMP1,0.056994193263535796,0.06986810871874631,0.00885396694736879,0.028767499979807154,0.1115339522507459,0.14912265007215314,0.05946036055034453
NDP,-0.025248580349824423,0.013553481171681684,0.030529084060345945,-0.010629757546667517,-0.023922286979325896,0.04409749119939849,0.025443127927954542
TNFSF18,-0.031802759926599325,0.08326897399209851,-0.020756773803969796,,-0.0244242742796424,0.1348480765958685,-0.028861142411724616
RTN4,0.02919031804383624,-0.10006159432171577,-0.0588529867650128,-0.03347908044446596,-0.0902091877474465,-0.06985108905133473,0.14858668608940895
HEBP1,-0.023515683228796325,0.038543111310502046,-0.008541690919350102,-0.03972759706209787,0.03418276085873916,0.029285209987067514,-0.05911910142551397
WNT7B,-0.019754888620392694,0.07309062354146213,0.001990920655213625,-0.02990320942956305,-0.012081385876501496,0.07861794037696647,-0.026276710471220256
PTMA,0.05384002133153628,0.1277210301207959,-0.013853736293743958,0.07224283361850087,-0.059890844226934914,0.11668858045281787,0.05554597893653072
FASLG,,,,,,-0.02392444441529628,
CEACAM1,-0.015160688839608793,,0.0015603521572723062,,0.037770128623701923,-0.020430687047455702,
PDAP1,-0.032365933593983466,0.019705001404665645,-0.0007505861928069055,0.025343196011846005,-0.02091282725647883,0.005393575389723252,-0.035700326868561755
QDPR,0.006273287935109656,-0.044670941394229016,-0.11597914073890686,0.04902718594458152,-0.09897700780307478,-0.037860446718673633,0.02070733231843376
POMC,-0.02693812529230633,0.03925853281429084,-0.011482730710637126,0.0205175452184379,0.04571221615873071,0.034127379862429315,-0.052329731195954
CCL18,,,,0.10657218024394546,,,
CCL17,,,,,0.03269362245181771,-0.021684821677986434,
VEGFD,0.00941825069322111,,0.08925873147030287,0.07321270217900767,0.0920702806412234,,
TNFSF13,,0.016118101742868585,,,-0.0027075209673340893,0.08656216208610819,0.0826790191247547
WNT5A,0.03201650119172077,0.10376499424965409,0.021398735560326197,0.018109570400842018,0.050246862040611344,0.01243702984490909,0.04829319340919782
CXCL8,-0.02033230658798587,0.05775991220616616,-0.00180885840146162,0.0480566537413013,-0.019368568873942834,-0.043690494150801854,-0.0445794829340102
GRN,-0.06064030192844384,0.10697060096799133,0.0527855040525623,-0.030881558792509076,0.036032452441293716,0.12112490572754901,0.08677088155822492
MIA,0.0956730141334105,0.02172758676553667,0.09652618124545541,-0.005609793908180589,-0.014949605187966378,0.12414551479044614,0.00662272455152921
COL4A4,-0.011731995895320443,-0.025141964710324177,-0.013774190856126954,,-0.048099892277299626,0.06005926882535874,-0.035090684964926136
TAC1,0.047071756085505144,-0.07624500725363528,-0.021533241188856963,,,-0.02850690310119025,0.08795246788247375
RARRES2,-0.00915406664444995,0.07968069077822858,0.02400750938187027,-0.02468815108099128,0.01507408176527176,-0.05434861973197475,-0.07934809678365445
FGF7,0.0739758456496397,0.026925466418556244,-0.03925434670491775,0.03198694416808804,0.026644348282600244,0.01341067820458848,-0.07696759192006371
HBEGF,-0.021262651395847647,0.07623902772170738,0.058487855807752245,-0.0015360728702682376,-0.1025283637966884,0.06154695863060345,-0.006088704609916932
CSF3,,,0.012145168767279814,0.003965188184790124,,-0.022830771948336694,-0.03691138565130674
PI3,,,-0.01640919757554822,,-0.02653089778031404,-0.049603682663323385,-0.05882322759718999
PCSK1N,0.009644137329165765,-0.059669389985993956,0.005728358438276323,-0.03400414743556881,-0.03387218211131123,-0.04101789027320742,0.0923316197973463
