,ZH8811Abulk,ZH916T1
IGFL3,,-0.015471719509742079
BMP1,0.03733734608003022,0.08653960986350544
NDP,0.012341179241911021,0.04136778221886979
TNFSF18,,0.15150318475338367
RTN4,-0.08960086877096758,-0.0004423441385214771
HEBP1,-0.01640039789642222,0.035487981613293085
WNT7B,0.045396378179684976,-0.03302308111769798
PTMA,-0.02811897849229358,0.06495917437927484
FASLG,,-0.013418617052545925
CEACAM1,-0.023621189775598236,0.0033898569255054038
PDAP1,0.04987208720878101,0.021091259659453743
QDPR,-0.0007892728214574843,0.003203417014665056
POMC,-0.041166281679055866,0.05655651752069212
CCL18,0.06543164237519178,
CCL17,-0.016758090848064518,-0.012162469184179079
TNFSF13,-0.03215625923357326,-0.01981772837556502
WNT5A,-0.014032642379529866,0.025365002470577342
CXCL8,0.027051318227389917,-0.022931929833731116
GRN,0.06675997049352643,0.018204592668052823
MIA,0.02227294663803311,-0.004674720901819867
COL4A4,0.04778300452845545,-0.03571734856052924
TAC1,,0.009544884360604453
RARRES2,0.0617077760670526,-0.026179580187288738
FGF7,0.07427152862163251,0.00435342872809928
HBEGF,-0.03130313766852199,0.04419062237644845
CSF3,0.04202007346494117,-0.012805203768613571
PI3,0.0241235458275462,0.0029318021557598207
PCSK1N,-0.03857336553714578,-0.0194874862411827
NTS,-0.0030573965755301955,0.023849650755435443
SFRP1,0.007311566611316422,0.093659515029875
CXCL13,-0.03764210793478919,
MICA,0.1097085858596491,0.021203469331402828
TG,-0.022267312974242785,-0.02497258984383323
ADA,0.01979249989209339,0.012873276970134151
LAMC3,0.08997866383525059,0.036138303306597015
CCL7,-0.02511651543088703,-0.013418612281045867
NGF,0.02915014992615987,-0.009151239525342513
TNFSF15,0.08509942080477256,0.07700735933874293
HMGB1,0.013691224616039145,-0.04372478001122157
ITGB3BP,-0.04800703031593105,-0.003969361640964332
AANAT,0.07724970701547022,-0.014197451378707019
IL15,0.08612323022238484,0.04125667240496031
UTS2,-0.018763794419447106,
BSG,0.04779770578106981,0.021456762225269484
ADAMTS3,-0.005311958336162255,0.02910511382202139
CD34,0.05114370002649014,0.046864844122677295
PLAT,-0.002148776995814254,0.028796415256042082
NTF3,0.02448567112490356,
LTA,,-0.019107629948466126
CKLF,0.06280233732042886,0.0546364735252781
CD24,-0.0613682132943819,-0.03105270680645254
HSP90AA1,-0.002676292425830124,-0.04650092887058428
BMP4,0.05930969074518029,0.054524625975679086
SCGB3A1,-0.015113741761783673,0.0014097418028588475
IGFBP4,0.060300585436487884,0.056372887102643106
RSPO4,,-0.009046779347789453
