,UKF243,UKF248,UKF255,UKF260,UKF266,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
BMP1,-0.03773208165795623,-0.0376337749387648,-0.05692421017673462,-0.007161881190812388,0.016149969362586166,-0.017356437734353577,-0.07050329125971751,-0.019430950397468637,-0.049247257065403276,0.0763600613785458
NDP,-0.06180626767224384,0.016267683898022977,0.02242841673927737,0.049392776274319775,0.00414572290505876,-0.07026598882507169,0.04232787744737841,-0.03505322133800265,0.05537762908036069,0.01303044199680314
TNFSF18,0.013667692560798668,0.01384767623395808,,,-0.011440816179218197,,,,,-0.02667448753092832
IL36G,,,,,,,0.0625704266917023,,,
RTN4,0.012957952846337616,0.04855294363353509,0.013896487807841643,0.061965858323438726,0.0734326477060744,0.12023170942688814,0.11397041635478089,-0.03842581105351163,-0.10882681850859857,0.0623432648960665
HEBP1,-0.056701831444771554,0.03393905944379144,0.04735779526746991,0.06589190788783282,0.009617160822207631,-0.05889238997391567,-0.022694385149942528,-0.004041604039617101,0.02761965009248137,-0.05202756264486568
WNT7B,0.06201657786765525,-4.9918934036248653e-05,-0.03110383176599721,-0.010062150359412055,-0.03311231130631379,,0.05457088745814791,0.07403129673367721,0.11103775240922405,0.0006701852583466689
PTMA,0.04010028225137185,-0.07473041458247892,-0.07295982881786124,-0.04215182931930314,-0.004363459681793042,-0.14179609288308062,-0.12812080055108827,-0.05337719528769304,-0.08066880004108137,0.02545095373485389
CEACAM1,,0.06251844643813498,,-0.017345623129093598,,,,-0.021078382354770806,0.016248507268909116,
PDAP1,-0.07114052234256611,0.06457150026655567,0.01152398416383098,0.021611713076746003,-0.042673434408598145,-0.014098379809762529,-0.00136091163120955,0.003118606683873881,-0.003883363318343858,-0.021347425801585152
QDPR,-0.038150046976783425,0.010259426788130405,-0.07157175282606153,0.044671845665356695,0.050365182984502266,-0.16398846393161845,-0.023794461599551994,0.00873246831333403,0.031829726904331064,0.029749402913740588
POMC,0.018809087667931185,0.05529872014741141,,0.052423527708000656,-0.030183180583707735,-0.03428954999897781,0.004613922266686215,-0.013854421173905495,-0.042146698158573644,0.032238824127744446
CCL18,-0.02463929013591608,0.027896145661536982,,,,-0.07961648701520453,,0.07798890496087754,0.08966757754250856,
CCL17,,,,,,,-0.015356740428851176,-0.014954092058326188,-0.017715748559202136,
VEGFD,0.012785193469050032,0.043574089688798404,,-0.016595310132676455,,-0.02597863305096493,-0.016458294367092653,,0.034970297610475445,
TNFSF13,,0.026445518189312883,,,-0.01109520500495352,,,-0.028694656520840734,-0.00916286856473285,-0.02901803759311923
WNT5A,-0.002577415766029186,-0.031473860575027754,0.04957574606249243,-0.015123378745154408,0.001709906181873751,-0.008618679504502954,-0.0378208138516092,-0.029520241639578202,-0.03693513214024268,-0.06464463084164289
CXCL8,-0.04845013562135586,0.07912125016930936,0.1345905476453684,-0.04901904156580703,-0.015782209493918623,-0.059196618240621564,-0.010856456221357759,-0.02560756290985518,-0.012973643413697711,-0.010281489877231095
GRN,-0.016349617963418887,-0.06262899422740066,-0.10653613853376206,-0.04277186602702292,-0.049271018911203376,-0.09786028248856178,0.04858175885591082,-0.0322333666273336,-0.04846446109275173,0.04030331655949514
MIA,0.08460954768150301,0.050916893335954484,0.05687058454965146,-0.025870210085111412,-0.020062270483647428,,-0.022540388379210137,0.05553551233328924,0.1614378146818954,-0.032525578004601784
COL4A4,0.056904401721637424,-0.025342179496985175,0.035558878789994496,-0.01680558320022853,-0.010556597371442147,,-0.0065667033221064285,-0.039512940843111785,-0.023020432682062487,-0.015948175251812087
TAC1,0.08890253184378283,0.022575484081591674,-0.07052041048883723,0.09677860163593606,0.059467545297544826,0.17072831023032703,0.07152230692180249,,,0.034710655650293624
RARRES2,-0.1202140838111987,0.025283750045967626,0.05503831422536283,-0.08631744538179278,-0.02246834493728076,-0.06787561607697387,-0.0772707058017976,0.026331680311621346,0.008458601800869419,-0.04888934857388434
FGF7,0.06777015560483844,,0.020592214787876165,-0.006544590311888171,0.009400787846237475,0.06175851940878774,-0.017009633450465293,0.042833715897460316,-0.021805681805788835,0.02264893600578445
