,MGH258,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.003233083866950428,,,0.17460233924619797,
BMP1,0.01714540995101693,-0.027349804285621507,-0.005749885312877597,0.023255728482466,0.04953995215395573,0.07259258478809248,0.11136796942764689,-0.036475107460141015,0.03535603793216679,0.04333679895879557,0.003938425243550314,-0.0003924436420358255,0.08517475712515447,-0.01583353394681853
NDP,0.014296023293866651,0.05111880479353488,0.031228261496767648,0.04283426047097523,0.06175895486317031,0.036174554291299135,0.05692015349731892,0.019926352408829017,-0.014224514612784036,0.08486566667790106,-0.08953112289300484,0.06823462162736327,0.1800829406371809,0.09933108891467987
TNFSF18,0.07548202062119283,,,0.06422958820934596,,-0.04584326104581712,,,,0.056461137822587215,,0.07749928527486112,0.012566043911281771,-0.029334972624519288
RTN4,-0.0018095916223561724,0.014798161496320537,-0.07335775334660187,-0.04892913732940767,-0.021677809550578568,0.10379926389716418,-0.058935570216660724,-0.0010946946019131185,0.008315748585028515,-0.02042555861105852,0.09838198988941124,-0.051263794535336846,-0.030302694169159577,-0.10384895542791239
HEBP1,0.030667317505495277,0.010496312463617395,0.006526479107148615,0.0781757018628566,0.08694759738263022,-0.03129194293203317,-0.034075994814359474,0.044544772255274166,-0.013323974369281887,0.09087165179115879,0.010922847970953007,0.03485014647445537,0.14918088368843366,-0.007284299446972212
WNT7B,0.007480291537346035,-0.009867246841244329,0.013044083255325542,0.03322973747102143,0.08886271522705386,,0.022501391428878633,-0.044822950787339694,0.05284393730524702,0.009446406331625686,0.09263157561821202,0.0762061517305084,-0.0003836065752708228,0.15968856505263673
PTMA,0.07325778822503472,-0.004530233298656644,0.07433983345729216,0.0018659341057673563,-0.0004688982931944467,-0.13738623150652546,-0.07723000077336878,0.027380885878004066,-0.02814902604255464,0.0302841432680203,0.009510616459410058,0.05742044222799741,-0.0564990496688025,0.038042637414916834
FASLG,0.059913458528372314,,,,,,,,,,,,-0.019248810980523192,
CEACAM1,0.06454773264071943,,,,-0.024953664277100586,0.006013251485311239,0.00264577928713569,-0.008141811535067598,0.0036918763647640807,-0.00849431037208521,0.006889526815428966,,0.11434086589284767,
PDAP1,-0.016262713312897376,-0.037761163557064374,0.08952204036317687,0.0348276222939283,-0.022234407624200793,-0.07604074780870956,0.06143939434746342,0.04420961099845216,-0.015964779541825496,0.04954962370863798,0.05597876013656549,0.07343944851678243,0.01415399427769721,0.02997245859460197
QDPR,-0.027742544634609637,-0.01780140052309078,0.002938630413743301,0.01853985199656235,0.03864336012813131,-0.06096683989544152,-0.13657494759408398,0.08052601083712001,0.042502426509365636,-0.031772035328351475,0.010911918738209927,0.030288201153939463,0.1013104238554878,-0.046290967402161314
POMC,0.02982241969751133,0.031175014272647048,0.0694579977467637,-0.02473214916506027,0.0034428104716241535,0.05802428654827172,0.030627052789654215,0.09677436420359924,-0.005441649706064946,-0.03026100896010425,0.05594014890970081,,0.10041178847772467,0.09939068747188688
CCL18,,,0.036117053455635734,,0.08422839312726392,,-0.04316027620375586,0.011699857107535528,-0.03481301271513966,,-0.06516644098932303,,,
CCL17,,0.08220875670096021,,,,,,-0.017818948226909628,0.020633291817422742,3.7249348531808e-05,,,0.03257357311137382,
