,UKF248,UKF251,UKF259,ZH8811Abulk,ZH8811Bbulk
BMP1,0.017237273310123376,0.0006342019778765899,0.013043709816509324,0.013555119754683485,0.012367146977715177
NDP,0.06201105671312761,-0.012576049003537162,0.004984187538860577,0.05527731444678622,-0.020648065889436948
TNFSF18,-0.029448343766773317,-0.007311881670772627,,,
RTN4,-0.012111740695232593,-0.05346778877446381,-0.01975366065813525,0.010779486971744825,0.0495443123653018
HEBP1,-0.017821035766947543,-0.019248419051560148,0.04049209231768644,-0.015082853782226395,-0.028705220182270053
WNT7B,-0.035479945362037676,-0.018238660278681568,0.016066747068444066,0.021097158023876954,-0.02230258140688572
PTMA,0.0707529734596027,0.020616322626040177,0.007613386645982183,-0.002240594312925481,0.02249409747142597
CEACAM1,-0.01874306375516329,-0.013997074782339485,0.007503205512990901,-0.02083308482264198,0.033380335148126945
PDAP1,-0.008227450131561299,0.0044777554056879675,0.003645681927530747,0.029860461167590644,0.01431004718478867
QDPR,0.012072264086125458,-0.03499328256627844,-0.00020605297135000927,0.028879896634644086,0.03373696401693264
POMC,-0.011835163665352465,-0.02487056875854804,0.013117981515510139,0.07739373859132972,-0.03909269182874192
CCL18,-0.023389572646298724,,,0.031298983958889734,0.003743501597717908
CCL17,,,-0.017867073652733156,-0.014780065332015075,-0.024089353636822877
VEGFD,0.06789871225940522,0.01245159824765658,0.008581982307767955,,-0.016687430557242377
TNFSF13,0.11802478352340331,,-0.012324307528739246,-0.028360725372265028,0.03645167344188109
WNT5A,0.054627365439605835,0.028570839520995532,-0.010816913480026603,-0.007305235324845042,0.025677929522756753
CXCL8,0.0257117636724598,-0.0009217459406642201,-0.012127096049053206,-0.031274787866006626,-0.04410975647571778
GRN,0.03342261104354351,0.018606369329644455,-0.00840383114856638,-0.010894436035621005,0.00048334719398443064
MIA,0.08210433936053439,-0.017829290433115663,0.02893983612856795,0.06188192100835939,0.0423928916587883
COL4A4,0.06013479708878899,0.07319547674009032,-0.035786744170314924,0.04324276637765847,-0.01108085701914071
TAC1,0.06695074784096318,0.03435161214828639,0.0012981118772121489,,
RARRES2,0.002336665696388107,0.04241303210762601,0.03514133563867313,-0.03513568829893561,-0.0022686098796878273
FGF7,,0.03368494952877255,-0.0316710458075668,-0.027053969714839712,0.021364261903606883
EFNA2,,,,,0.03505858085245172
HBEGF,0.04461333818558116,-0.013237394966359341,0.0011222349596767328,0.032804864554406794,0.021994175017145443
CSF3,,,0.06150282236897758,-0.03263416017161344,-0.0027370754551564345
PI3,-0.024606816569319068,,0.013126841481638047,-0.01097340897940287,-0.052582611577830805
