,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.02906234765718893,,,,,,,,,,,0.005360560985073009,
BMP1,0.02801192738832971,-0.04835094416638951,0.016765166896313747,-0.007164910024098913,-0.025431535037359242,0.035409375587170736,0.013302767044471395,0.15690018661700111,0.02080072490637209,0.11522188040724424,0.008256025870115175,0.0608660032791539,0.04056077289590317,0.005707548083961853,0.0816157478546551,-0.013181957210952628,0.009093301415305698,0.012066363416754329,0.009174755967487002,0.07707787730906296
NDP,0.06935881634477531,-0.011189731329300701,0.010162111816917528,0.06089695078866096,-0.0005845459241893442,0.008308244056892188,0.010743900793204364,0.07066487419800345,-0.027839430381848784,0.0016835203664384494,0.06656786617686954,0.07715874869869627,0.02285165756660619,-0.008772081847495488,-0.00010449806379935754,0.013975002695968292,0.07670987702508876,-0.0016938314225373834,0.07010762491942917,0.0424271138899891
TNFSF18,-0.018712516416420664,-0.008863005902032435,-0.014555817562239483,-0.015021723680174674,,,-0.017775836254598686,0.08956592246156778,0.04926046298033467,,,-0.0284115621881713,,-0.03069629208065969,,,,,0.012270484666575434,0.08478565011135519
IL36G,,,,,,,,,,,-0.01792678234849724,,,,,,,,,
RTN4,0.013570971016165926,-0.007754694146440565,0.01070992150811646,-0.03188022051056773,-0.04397483172114286,0.04273584383246394,-0.06256235489864308,-0.16644289930025993,-0.028875542437107424,-0.07865163106478154,-0.005000112528625245,0.03882485073638523,0.0043374102118639325,-0.03978861132254577,-0.04609113568416181,0.019761788234201078,-0.03840198585042308,0.04782912884234189,-0.021466917733283047,-0.14656252939981354
HEBP1,0.03736020302032734,0.03253824680091875,0.0009246832847896262,0.06447830513791625,-0.04600850958141926,0.011727487337737564,0.0976845864362149,0.09220930995976805,-0.00717615440922581,0.033657204788047575,0.02548152055277651,-0.05013740388307182,-0.08923440547810024,-0.09142810270545493,0.048869194489861795,0.03730865233846371,0.0010310966933038139,0.011242622782387189,0.11602911841382262,0.09408676876045448
WNT7B,-0.016485140870554426,-0.014864221635402105,0.011727046861221528,0.002087412608772938,0.05992265458143256,0.005487631464557098,-0.01829260605902353,-0.07030059878364375,-0.010251103973166597,0.04766683733744335,-0.01970359970848458,-0.006006420415210656,0.145569104366052,,-0.04146226953892314,0.006799676276975862,-5.480028572755384e-05,0.04530072197187456,-0.0016219385514906776,-0.05413569070011494
PTMA,0.09398845921743482,0.014887420430080612,-0.041789171350126095,0.011171938086077209,-0.01070722818385251,-0.007015857251744163,0.11023408418075042,-0.12138778624874118,-0.012423134545408245,0.21872303320901218,0.07565138741315443,0.004451109155820915,-0.103359614541867,0.015199718603601692,-0.039190179173905895,-0.009355250099276853,-0.038274574153811844,0.04968750107384136,-0.05567163550017287,0.07772978210068496
FASLG,0.01158989503342178,,,,,,,,,,,,,,,,,,0.05188621002408964,
CEACAM1,-0.02288976884243848,,-0.03427661534245791,-0.013060768104359263,-0.02973637856567126,-0.002381887637807588,,0.03771114116601808,-0.026114888255172844,,,,-0.01664668749301068,-0.04296745570007735,0.0038212361554201533,-0.02132106433741897,0.04529206199879181,-0.014826659356958415,0.07509514406784508,
PDAP1,-0.05752619922341636,0.06203533953058803,0.048894623914355055,0.03983768095166136,-0.003965960650366238,0.027126746653878517,0.05950298994306355,0.12626651146577048,-0.02319136048925856,0.12058823304478972,-0.006775516398511008,0.0755052204332026,0.036098596582311224,0.011000501968018139,-0.021693098001720014,0.011696157790060413,-0.007135953432200081,-0.036668862581349625,-0.02404948113434572,0.006142079351968073
QDPR,0.0541818310537466,-0.02385575622910425,-0.03140707548890422,-0.034032151122580005,0.057749568093033374,-0.0364276008225727,-0.00941482355064332,-0.139710673002005,-0.015575113013840625,0.07659832233800365,0.036756798455984924,0.04310713863775874,-0.07233867273977021,0.027539692013579233,-0.06848885000313469,0.006855888235241203,0.0498250026499162,0.030077683383731322,-0.04834638006124932,-0.08042388934265603
POMC,0.0200425143863516,-0.02198025605915418,-0.03623458815157779,-0.023206901172576722,-0.03237617249738707,0.01037421930675055,0.0009914374173113174,0.0833344578215449,-0.01926652330338093,0.03331827791809517,-0.038408323323300346,0.1463543728870763,-0.025390516463464068,0.04994327726877412,0.07646173596728006,0.07432051128548085,0.0700229443707283,0.06750057317779534,-0.011662410683060603,-0.005883395268935601
CCL18,,0.0678355847912651,-0.025509631450447712,,,,,,,0.201393901251398,,,-0.00566465505352513,,-0.02636408681768107,0.06675193203730952,-0.04572011505233654,-0.05105924455116696,,
CCL17,,,,,-0.013505410171927369,,,,-0.020709016948181416,,0.06629826888714145,,,,,-0.015126263178876923,0.012954584906665099,,-0.0014231182695147574,
VEGFD,,-0.04445322418972902,-0.007808655312877055,-0.01870692993586888,0.10848780622899008,-0.0272664675098902,,0.0013771752153691843,-0.022063705965534832,-0.03535070276149626,0.15746752544337306,,-0.01463507962587755,0.00950682950873761,,,0.00902348328327602,,,
TNFSF13,,,0.00990586266207764,,-0.01726438015250405,,0.047993582818318295,,,,,,,,,0.03048217082371611,0.006506859038547102,-0.016649344737564884,-0.034013115065389524,-0.018068329654225525
WNT5A,-0.02622154187634525,0.09361816346873637,0.06580109970129921,0.0027138449602793855,0.037542500789488335,-0.03498988822978472,0.10085632288261433,0.12439416688994806,-0.031205695609568214,0.044575549014053,0.056738260751014465,0.037092927620168276,-0.004381619615354595,0.01815747291181078,-0.005004648801326958,0.009245201092568286,-0.011184391836414185,0.0062147466721984915,0.0438600586692453,0.06819443590580486
CXCL8,,0.016065474441694053,-0.010393892628671311,-0.01751606039684883,0.014551884477826158,-0.007304715063351283,-0.0245211501788888,0.04237193582133233,0.05110680268937645,0.028310138462839397,-0.026643752231204996,,-0.04788272346512247,0.034941935743994096,-0.016170773931529717,-0.12240559265951821,-0.06739692380803201,-0.05032085157375371,-0.016235184799929428,-0.0030846095318663503
GRN,-0.008268854082856622,-0.044428852515706614,0.06038891947693289,0.004286809340412452,-0.03971653763297482,-0.025088623991434515,0.03560509231047599,0.14083447380363004,0.014352708207440164,0.02684417949175985,0.0028685599834346242,0.0752657765914527,0.006801462449191009,-0.03963549777036537,0.03051488350568471,-0.0003996410600965486,-0.04839752655826061,-0.010571282066073388,-0.03972236901433369,-0.08671342060120042
MIA,0.0006583554342591701,0.05136792194941593,-0.011440896112020956,-0.016636635256532768,-0.024078749794097545,-0.04024549104270486,0.06734219564292665,0.14051802839992533,-0.018766140010388427,-0.04794190380153862,0.16334466668495076,0.0973303557078683,0.025058761888139984,-0.012777515093013477,0.023877180689712483,0.15315194064242912,0.03369543718353207,-0.018164978121426575,0.031770622344373375,-0.05057112509911579
