,UKF248,UKF269,UKF275,UKF304,UKF313,ZH916bulk
IGFL3,,-0.022758179455249994,,,,
BMP1,-0.02401480281837368,-0.13296508175654742,-0.004574373423988544,-0.00935076253156416,0.05702671340043845,-0.06183544407970341
NDP,0.01183904568019465,-0.11635750486482647,0.027034412786818687,-0.0357068728610399,0.08859631862509718,-0.018884529261303146
TNFSF18,0.14387259501950386,-0.03379521327177672,-0.013383383838686697,,,-0.004861026869510128
RTN4,-0.011745892751030775,0.21824384311426712,0.07078031372396718,0.15671654618456946,-0.03783686466836986,0.08365427225253555
HEBP1,0.04699930300576658,-0.09124239240467634,-0.013789028177705515,-0.04547905379975638,0.023453340996297516,0.013823748556394486
WNT7B,-0.0449170051339179,0.09613807836155344,0.044062914362658974,,0.115504062867617,0.03203692986574701
PTMA,-0.04191407904935908,0.05710598670111678,0.09114943487461068,-0.15314550890182285,0.09709387527050127,-0.11623101814295651
CEACAM1,-0.019317947135926446,-0.04447257583423504,-0.02104887440068795,,,
PDAP1,0.0035956420891289755,-0.11279089629039038,-0.006846318717997486,-0.00019288409486555415,0.041432783065489975,-0.03670476325307006
QDPR,0.08907380876474665,0.10208126490681199,0.05413970686504749,-0.15918352728312984,0.02118796391643981,0.15994063407212913
POMC,-0.012326974818931167,-0.05732761579856637,-0.015529020273347844,0.08228109695316928,0.028846953223717678,0.033130359945505485
CCL18,-0.024106972788194177,,,-0.07455545875117893,0.04274412596748051,
CCL17,,,-0.016691685311640007,,,
VEGFD,-0.02410698044328714,-0.038126055327277565,0.04398028611748224,0.09365390308089301,-0.02221449863291837,
TNFSF13,0.0005982994504907894,,,,,0.02985261697700182
WNT5A,-0.022648395736888812,-0.13243258780059713,0.021855022131509236,0.007358554755310929,0.0024475760841058693,-0.12012856289770435
CXCL8,-0.0650666641710051,-0.06332020407883009,0.055735647183543666,-0.06080908629657248,-0.015061096495452163,-0.048259784145004606
GRN,0.022873659127670965,-0.18318930217985677,-0.03118764758229461,-0.1320383788207405,-0.06596128480792263,0.01594349551145962
MIA,0.011692950034914718,-0.065010840042478,-0.032807728276118726,,-0.017360833113261424,-0.060145371058800835
COL4A4,-0.005128923157460093,0.012551461318386178,-0.017426635883920762,,,-0.05736493058383843
TAC1,-0.021131982502994008,0.17185224393099086,0.05151803272100266,0.13255031862629416,,-0.07753675163048254
RARRES2,0.013207089675151136,-0.15722966438201097,0.04622684376582752,-0.07563416540446666,-0.029215694178471627,0.004530493141463112
FGF7,,-0.029043100413401864,0.025781976779970312,0.021879570614309885,-0.006782141354638776,0.053866746849496855
HBEGF,0.021337696734468736,-0.06135967414741556,-0.027539088243603443,-0.03982637206444847,0.03445073858862004,-0.019696207353714995
CSF3,,-0.023726801771178654,,,0.04700417917403507,0.045659684083477634
