,MGH258,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1
IGFL3,,,,,-0.012644888909914576,,,,,0.10673646654001646,-0.015471716984034652
BMP1,-0.01017377641490581,0.03978619231949483,0.03981263350444514,-0.02299393407144888,0.046850794264662696,-0.037782620266466116,0.006630385967075214,0.0059709148508745305,0.10016121268012067,-0.01126909454836282,0.06586953730242033
NDP,0.07460478132297693,-0.019575747124199797,-0.011219834121427921,-0.003411509777612468,0.028478971267752177,0.03313779454581645,0.02084880005721609,-0.0039649196596654055,0.03144686438448278,-0.05548875447573661,0.04896119783991292
TNFSF18,-0.021672641483712514,0.01367026264676748,,,-0.018777280421255607,-0.01951002141914181,,0.11513780707328428,,-0.017122455308836482,-0.02609802049299929
RTN4,0.02062754879444047,-0.016349332792824835,-0.04399538644553957,0.04576519450646575,-0.052143782057784825,0.0828740810479781,-0.03083644032358155,-0.012252583135882835,-0.08502853479351312,0.013153666970962,0.01598176130081816
HEBP1,0.02994184403423706,-0.02188595958648588,0.02401697951081351,-0.004170059541975459,0.06060932286511078,0.006269582616905509,0.05482173793115497,0.03197493638644976,0.046943762363912234,-0.04219154919624535,0.05331187240498225
WNT7B,0.09699686904855499,-0.01503769250312139,-0.04096004772671931,-0.03041242896316699,-0.05233680466376644,0.015891465716142444,-0.013606576524009687,,0.012837757908337966,0.09501741485762269,-0.018818849118564858
PTMA,0.007024234391960837,0.03956685258033672,0.006963205537097126,0.023761154369315942,-0.08536828829477504,0.053007927651386046,0.006993635703064612,-0.014483650231209472,-0.05561776772713451,0.08219793849686934,0.022087745902753232
FASLG,0.012527299130857351,,,,,,,,,,0.017898206827836487
CEACAM1,-0.026835118102473163,0.014864876633349212,-0.00929558053767686,0.2367818078355029,0.04070905796505435,-0.030684615741137247,,0.07163608204507653,0.022101173885659936,-0.02460318067026859,-0.01867003174468644
PDAP1,0.034792377390880105,0.060960963498117304,0.0017616784557387048,-0.03820407286082808,0.059405325277711744,0.03539470304451275,0.006155285920926514,-0.025963621843101328,0.009182292542447994,0.06516349583824092,-0.01358446797823389
QDPR,-0.06391665490136952,-0.05199696700157174,-0.006136085622576319,0.046662538797008137,-0.061721756717547836,0.018053042039050136,-0.016012458606474027,0.047259908013964506,-0.12649933194541169,0.04559578175106222,-0.013478253897517388
POMC,0.022948943856996522,0.033146058954579415,0.0045901868414086,-0.008218381540092487,0.01726849216788813,-0.02263788603862043,0.03857974722357331,0.033040064564774235,0.03416090731857343,-0.006948495010562042,0.018336284513811377
CCL18,,0.03073965781665386,,,,,,,-0.019964883929448833,,
CCL17,,,-0.016997744607735142,,,-0.0012015377976315159,0.017858101642774533,,,-0.021890191632227007,-0.012162467198695905
VEGFD,,0.031617105970445585,-0.02056698720955819,-0.020412468778176606,0.03408832436107585,-0.025924535183250122,-0.012353170638961282,0.08723556364085162,,-0.023087395779263734,
TNFSF13,,-0.018891212158460683,-0.0032890704666173774,,,,,,,-0.0015245582230102152,-0.01981772514038591
WNT5A,0.02893759629969948,0.025120522670385607,0.05082870744561594,-0.01198891658814019,0.0889023076911908,0.0008296224552017204,-0.004701336201088931,-0.02910710094344085,0.03962109246664865,0.025229903710565414,0.10164964484050873
CXCL8,,-0.003423104875488004,-0.05144446108643144,-0.03954676673849947,0.07297296342684684,-0.04318106923065048,-0.011503809632717287,0.055015342613244,-0.035151321493671464,-0.01389378214273449,0.021611663344497132
GRN,-0.10042139597319488,0.03730094344099455,0.0726644399233867,0.00044579824609700775,0.0046662768292640875,0.0014580662480989722,0.03509581913049372,-0.017889877652641016,0.05811557615976012,-0.005903474804456893,0.03407401860516413
MIA,-0.02346595411464225,0.03475145411800816,-0.047909314590390197,-0.0361312983567131,0.03762775377158421,-0.02882388182642906,0.06618890658360344,0.03536924373670392,0.030572988251780286,-0.024402355517927684,0.007183351296297087
COL4A4,-0.02333214000736586,-0.018472319914665337,0.06665475217554596,0.0089600833252681,0.04856002236632814,-0.025404191007066174,0.0012220900238410204,-0.05260345435518833,-0.02524185138012182,-0.03372007071523806,0.08503183392990762
TAC1,-0.013222339672474699,-0.01429697930017795,-0.050448998804889504,0.030410928374541703,-0.04363269684925819,0.0643283123679697,-0.043827112388654554,,,,-0.015988799864404674
RARRES2,0.1123529984900014,0.03801897062078743,-0.010430858248210143,-0.006449844297561674,0.07323599889022142,0.04559625226036377,0.009396606613328775,-0.03137209050307159,0.08456136195927635,0.01876823925934917,0.00493650887135827
FGF7,0.018116846615129467,,0.015335801914921631,0.09762576417374075,0.01097938534759293,-0.038058106048965507,0.007114634333631313,0.014700413999881446,0.015489305052671442,-0.03695062020140753,-0.026732956175157026
HBEGF,-0.014628915185823013,-0.02600752802173369,-0.006632472078949908,-0.03546504217860005,0.09329546644270746,-0.07523545172919849,-0.03172412665506143,-0.008751121149286598,0.07487755219592344,0.0239565104807036,0.053909430404394325
CSF3,,,-0.032675087129776716,-0.02218082548106048,-0.013183074383171164,,,,,,-0.012805201678206089
PI3,,-0.02633646996282139,-0.030478046166620774,-0.06261722922870971,0.01076628671998081,,,,,0.0361889003679986,-0.02782144913553247
PCSK1N,0.08582619009779612,-0.01769088556177528,0.03760008410852824,0.01150300455583542,0.04162401838064333,-0.02982403455509971,-0.03559155943486074,-0.023608556853634128,0.0528523286319401,0.03372670525051888,-0.03720430677223391
NTS,,,,0.02134150826889439,0.030720011084009735,-0.02902133517755178,-0.0038113263882284874,,,,0.002564286118836449
SFRP1,0.02655969194603351,0.037083749037385025,-0.0002196067310358053,-0.02328709190930638,0.05213902392164856,-0.017131639884372222,-0.01684112760251552,0.05164851330051033,-0.04931159060193052,-0.024034058726641515,0.18500755505711733
CXCL13,,,,-0.023077805471871268,,,,,,,
MICA,-0.012961616394193175,0.030085868492925907,-0.015734559173906256,-0.039138054760862274,0.04035814588346148,0.03445563431879551,0.0302158515373387,-0.01592418508162574,0.03112639892159454,0.04749103971740434,0.003759097332208931
TG,0.010445675554486035,0.013391983503301974,-0.025813218215642766,-0.017376809832652527,-0.01591079131751338,-0.024514370320149144,0.07999546920781879,-0.06948207211752151,-0.010486714763201727,,-0.024972585767139906
ADA,0.08135229018328571,-0.04783571482446993,0.04454922417410359,-0.03382950526408013,0.06781385993949193,0.0032933019948485484,-0.019794049828237896,0.015866510492914557,0.08809852909280984,-0.019235161015106143,0.04172361580104154
LAMC3,0.045470440965019426,-0.0027602423266263492,-0.017965524531557524,-0.05996268861801114,0.016177384527445923,-0.03583026535515558,-0.011136291108159302,-0.01875919673176366,0.09573151338896142,0.02104520561141891,0.08685671888496435
CCL7,,0.027225958339136856,-0.018662915527374493,-0.018900415406447334,,,,,,,-0.013418610090501458
NGF,,0.07426961753549217,-0.01546299944482664,-0.02111236606816197,,,,-3.868701201001307e-05,0.0650203906161234,,0.0843383046703252
TNFSF15,,,0.00742937517875009,0.00881160148263613,,,,0.16752912284394852,0.08992785593161905,,-0.012492175704046957
HMGB1,-0.02730137712948815,0.008068915779405477,0.08744996267959332,0.07182452792734795,0.016466156801648556,0.10722386757362501,0.009216646413113982,-0.04363171500540155,-0.055323133692395846,0.007687389552105612,-0.10866503948549926
ITGB3BP,-0.013923332152507222,0.019025600587921264,-0.052908021073798196,0.0344889849450653,0.05670736018404175,-0.010861827726537838,-0.013408405165647294,0.043456093202207766,0.011506498190686257,0.03548779819556625,-0.011444437158807946
AANAT,,0.036166051833699815,-0.0035424557639768556,-0.020412471692171558,0.05133407883720154,0.053194380439800605,-0.01404913082975415,,-0.020794263503327214,-0.027077464766228663,-0.014197449061019683
RELN,-0.012018483614824453,0.01374405428691671,-0.032822760699860405,-0.016108466330131944,0.0007233741652902778,0.008716916926079753,-0.004309085799188263,0.05503570285506613,,-0.033862039305342324,
IL15,-0.001718253388332784,-0.009757088091680636,0.01131017353916773,-0.06600423683000622,0.044671960003447024,-0.052738212965740515,-0.020421063266874845,0.021482841520868417,0.16477066311019228,0.06954206326146868,0.02445218881769694
UTS2,,,,,0.014543622394995102,,,,,,
BSG,0.0598281726136387,-0.013176278257316994,0.011154202459228423,-0.008061190764562052,0.008906701306935653,-0.10902736115154471,0.024753929971057333,-0.00666467794197861,0.08757729395863302,0.019060791951512068,0.007821446103085014
ADAMTS3,0.03058327427391651,-0.02004155449774675,0.02771165121651824,0.012596116041425149,0.06194929717466924,-0.014824888114316814,0.023675478209278022,,0.0030001448729926466,-0.041954749656853474,0.0007850087453565491
CD34,-0.01648424435589621,0.01672648359952719,0.01412692730954822,-0.03810275542963008,0.012756376813511404,0.029208114045253666,0.006902056646936492,-0.04029264200132499,0.09356359626717611,0.044643310381357486,0.05502715871093574
