,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.018276108367636486,,,,,,,-0.01606076202472572,,0.044694744824835014,
BMP1,-0.06035052740397506,0.03743982815634196,0.017804556409803624,-0.06416918544440772,0.03446871485533048,-0.005691615823445616,-0.06255135012841989,0.046476211134745204,0.013959598607922423,-0.1001215429668041,0.006270359047443604,0.0020437576096208184,-0.009435338792021354,-0.05589503670960409,0.01553728202954753,0.0982515862409858
NDP,0.036004561217130006,0.03838291355309972,0.010017339538953729,0.04742001440864419,-0.006648159293064073,0.017145703133963845,-0.0024607441407770232,0.019690660965466525,-0.03619166578961112,-0.018732671641502573,-0.02879183686638129,0.027929233922334085,-0.07687663292726889,0.021694616445646412,0.11652254318987551,0.05327969409298464
TNFSF18,-0.02166145505407046,0.11587102640714675,0.01828327437727778,,,-0.027139472262131936,-0.03683164661588954,,,,,,-0.03322669761710101,,-0.001306067205895128,0.022226853734702137
IL36G,,,,,,,,,,,-0.013552787638953342,,,,,
RTN4,0.022498788243227402,0.00826954389395381,-0.07943015565983301,-0.018803693045567508,-0.0360610676228335,-0.02638786437049243,0.005851346785290543,-0.15152987879996194,0.01261071641956558,-0.02080922957211068,0.019311000601619707,-0.05592600328917782,0.08643429681846028,-0.02034472363848684,-0.001516144447137124,0.0316689448781173
HEBP1,-0.0016980666634492764,0.06433984963634655,-0.033591078138990205,-0.005098044684219746,0.0831258362918843,0.025258641894024717,0.07364811541466937,-0.0065217486352902535,0.0013095947186727247,-0.031234149826447115,-0.013785816366372142,0.04162132211168305,0.03823555609854539,0.041227365022405704,0.12234339033677194,0.05722138239845047
WNT7B,0.079878640318131,-0.019197096255763078,0.08051076486919018,0.009006668765896559,-0.040896137815497106,-0.003440916963095551,-0.026309921373554073,-0.052615399571740766,,-0.06538981418568382,-0.014896075457424161,-0.03132424463132923,-0.004812538032643143,-0.024159454834219152,0.0011241258545335458,0.09261726853955844
PTMA,0.04367947370859319,-0.002980965965571625,-0.09674554328348965,-0.024281410627881687,0.06323364208669295,0.013657623268084357,0.016775864577019746,0.08701164003995478,-0.007495289628763824,0.012520719373742648,-0.0220113953077381,-0.023478275709427673,0.06493829775803764,-0.10113393091226562,-0.06985058254686452,-0.01655936474646679
FASLG,0.004951754598124649,,,,,,,,,,,,,,0.01715606718672086,
CEACAM1,-0.02649700809579224,-0.020954408714943574,0.03337883819791913,-0.01898689966317418,-0.03368868889656766,0.03231219866742401,0.059015204865387375,,,,,-0.015175138184607986,0.10188619260741737,-0.01603498154134533,0.12514355278811584,
PDAP1,0.01584246612578569,-0.043396529958004505,-0.004611662957338789,0.04930310547631556,0.010710664423083681,0.04077993490208302,-0.039931069703422244,0.05338712958178483,-0.06799363437808227,0.12791729645764344,-0.060917750250099593,0.017063877496840747,0.09413961047258525,-0.02468238838021669,-0.000874587607279721,0.014712180028723959
QDPR,0.08314954717455801,-0.043009901550950067,0.03733855789563126,0.009404133716904777,-0.12177377483717353,-0.02354483411099144,0.03565345374543062,0.02642804116318776,0.06058618461651931,-0.0061323190021339855,0.03760849556552831,-0.012603827949488455,-0.0021491932207188544,0.032311857682176925,0.08669497526245702,0.028427428955959996
POMC,0.030933548516315072,-0.018981035348845425,0.06411414686250654,-0.0030133247890560583,-0.039680844930928945,-0.018644895154715634,-0.021376581509374645,0.0660178046133835,0.026661732625931894,-0.032445247867551236,-0.00577115758168596,-0.01220901178096234,-0.034698398831471765,0.10652277292196766,0.011944169916572947,-0.006583876000500821
CCL18,,-2.452576806954957e-06,,,,,,,0.05909669333768841,-0.004521460818448919,,-0.037056682554817776,,-0.05522039888970355,,
CCL17,,,,-0.009471445928532572,,,0.012519570972457315,-0.008135059997970033,,,-0.01238085627169449,-0.003682026165419284,0.03527183865857767,,0.058509282785319895,
VEGFD,,0.0009301005389025044,-0.03378423168452757,0.01162389742582331,0.04955178347959697,0.008630985885197992,-0.01071448368311347,-0.0017772473314586713,-0.025007586658026416,0.026265560549078085,-0.013268947142805673,-0.015175138184607986,-0.03349145611382909,,,
