,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1019T1,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,,-0.03019487330630342,,,,,,
BMP1,0.12081902985051644,0.028393424351092777,0.00855023960063293,0.021906365596381535,-0.04311766691318072,0.12326516468974646,0.16470957623910265,0.12413067073771628,0.010597642102748158,0.04013308420561555,0.029842565156134232,-0.06334941947443375,-0.0014842404240855442,0.04377382125183808
NDP,0.07914596830662522,0.05562041528423647,0.03485441515342528,0.047752629279724415,-0.03201054284272087,0.037407615911854486,0.016276581262508596,0.003011871606318174,0.05337056858263787,0.08463222086672018,-0.05927837457156143,0.06548240360824722,-0.017790245175818207,-0.04502342457823066
TNFSF18,0.11063513315735327,0.02699172598516319,-0.02216514108019079,,,,0.07108378938355984,0.05546842896548046,0.02864601717889829,,-0.04541159697621152,,,0.16769793285154722
IL36G,,,,,,,,,,0.11871874391669707,,,,
RTN4,-0.12507084732662654,0.05112685230774119,-0.0253424875612924,0.024413966329514033,0.04665972600189183,-0.0641462060600656,-0.13580560803482572,-0.17034520294658959,0.026405975645862875,-0.022445600692963096,0.07550897737217531,0.03934022887392375,0.07439859969637284,-0.03831382051286522
HEBP1,-0.01965838842827993,0.04619237888107779,0.006693166708511822,0.011317710707354154,-0.018517247669091685,0.026058503401208587,0.021829200135395934,0.09230894046801592,0.019103863400665343,0.0403548927076351,0.06486136413037825,-0.022186897158121825,-0.019423685046722563,-0.005447593699355287
WNT7B,-0.053282693581265896,0.014890962078796754,0.06557654119536688,-0.004141385211186457,0.022919505754558922,0.012178080476671967,0.060096554440915266,-0.03504276676238814,0.04035881837924599,0.015267966961826262,,0.025965820454020145,-0.02655853385667094,0.08078618790550161
PTMA,-0.026856654494669473,0.077585625610464,0.041854529607032134,0.08263732105735799,0.0007906782978283196,0.034637330574070375,0.1622320300113409,-0.04879075850309366,-0.03949738083595528,0.08842639260840421,0.062138870451839925,0.047672728752585464,0.04809571785938403,0.004294976015606321
CEACAM1,,-0.028178548749241958,-0.021423947634241335,,0.014478258028161993,0.1033183356202899,,0.14955873078928397,0.06211724159499768,,-0.03193205967494689,-0.016687425961315214,-0.017627285180033227,
PDAP1,0.0702162253576108,0.04550629318520442,0.020732782012653373,0.0042016841715191555,-0.007961962039218458,-0.034557436756836674,0.05989560125397402,0.13540159973187144,-0.012324524854355553,-0.0024245902666214353,0.03618767771634777,-0.007050749947928269,0.048006723043049385,0.010714663528088001
