,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH916bulk
IGFL3,,,,-0.01585954919251447,,,,,
BMP1,0.027128904009574094,-0.07360599777250432,0.008620164658411044,-0.11002411318199012,-0.028932145543242565,0.0003252301400790103,-0.03406534024650573,-0.17149894568484084,-0.06802453610786913
NDP,-0.0010868336702188227,0.11267277866439514,0.026950321944352353,-0.036861228723187964,-0.02243681960856692,0.015233895080387468,0.04111953941044945,-0.05708111983220384,0.07711642401869616
TNFSF18,,,0.03390689918339071,-0.02355095443417019,-0.012880578189226714,,,,-0.04227634020002424
IL36G,,,,,,,,-0.021081204656090022,
RTN4,0.02143694450957828,0.1647104495912576,-0.01002232537417998,0.13174800056839134,0.07704784329760528,0.05333465097510579,0.1844552645014629,0.19638133175574893,0.19067971026842548
HEBP1,0.03329931541447914,-0.0608436947422106,-0.020757246537909748,-0.03205089223016482,-0.016706042843685796,-0.03075609811187742,0.04190709358165093,0.018185523053645705,-0.021804206412880205
WNT7B,-0.0121847796600649,0.0256991435805698,0.0290457652744944,0.0786304820163119,0.01624447462021487,0.1466345965942637,,-0.00855222576403424,-0.035117140823150636
PTMA,0.011302187199429456,-0.12607524458615701,-0.011789717381923939,0.07564441301524129,0.0728281971219213,-0.019420713152446707,-0.2103587366065052,-0.17569356005901896,-0.12256297706310186
CEACAM1,-0.005151353657417648,0.06763727384674632,,-0.030991714673300662,-0.0202580808995073,,,,
PDAP1,0.0013674686594061182,-0.09858903104656812,-0.004988461060463513,-0.09579788300556678,0.0016120399111677378,0.0025564289338991754,0.035833797622409645,-0.11117027165949023,-0.027170287610335592
QDPR,-0.0032647151021968144,0.16371485471160208,-0.01656802172700256,0.07697550822345026,0.07033600953190135,0.02639281553551778,-0.13581356724741764,0.053141367642076366,0.19185555703643312
POMC,-0.02617557439012138,0.06768078785267952,0.029307917810178656,-0.029080830066769873,0.02171937423952255,0.06072343193433124,-0.028524179413580517,0.026732846624339116,-0.036267205523793755
CCL18,,,,,,,-0.059047104649290964,,
CCL17,-0.016291908985069433,,,,-0.016064588773510347,0.009063302967215945,,-0.0192582789485355,
VEGFD,-0.01815098572032252,-0.0013255859517326287,,-0.026568999122642906,-0.017115460576562522,0.032314976597908406,0.014504716033030678,-0.020639694042304788,
TNFSF13,-0.011237794194211047,,-0.025886370668175895,,,,,,0.04796451745676592
