,UKF248,UKF259,UKF260,UKF296,UKF334,ZH8812bulk,ZH916T1,ZH916inf
IGFL3,,,,,,0.10341339613701801,0.06901076859386926,
BMP1,0.00507983850141402,-0.06188885354270206,-0.03205746964298598,0.0027317239917572724,-0.014257759205134684,0.018168962428036787,-0.021513822187290078,0.08643652185761262
NDP,-0.008474239556188073,-0.01619758315477306,0.046845341468027824,0.005882693977947494,-0.01496458392279282,0.015133469909537487,0.008792918285645506,-0.09140682512782325
TNFSF18,-0.024469139197139268,,,,,-0.01712245116002973,-0.00418122373558645,
IL36G,,,,,-0.016140240177164644,,,
RTN4,0.047601964701776675,-0.02925854004260057,0.02497807517672955,-0.030171813779563805,-0.010623963207494922,-0.045043267230619674,0.09386408375257767,-0.012421130850854464
HEBP1,0.02350597409749627,-0.044898979194973265,0.00579129552238568,0.02560789762153702,0.025226494439942067,0.0024600653873404245,0.042789951160657036,-0.03083575754746811
WNT7B,0.0222307395480203,0.00739972349096812,-0.026913634191579952,-0.012332312690747553,0.05928427534903743,-0.006225244551621078,-0.004773199706570903,0.0432111854404523
PTMA,0.05261508425154945,-0.04054833117577931,0.014990925505339727,0.014115244255221905,0.015844948672231796,0.00621601081427169,-0.03183533278055989,0.017133921985433963
FASLG,,,,,,,-0.016133858895967357,
CEACAM1,-0.015573936505163206,-0.02430815139703736,0.04939944105868263,,,-0.024603174708866426,0.07209474512889906,
PDAP1,0.05478343492368264,0.08365538861408894,0.05189222570326492,-0.0402864294372153,0.022786279126626268,0.014521860354732836,0.011533466161052447,0.043855771462164295
QDPR,-0.03720811023453956,-0.039395613127315224,0.09208820881560563,-0.03643783434236075,0.05413630519562153,0.03361262945527885,-0.02798707943651998,0.008216849850572886
POMC,0.07565787012930525,0.03121585625192591,0.10240364262045111,-0.03316902792383135,-0.0345806375728229,-0.02326830065145421,0.17178628883126068,0.0251598176018871
CCL18,-0.01943480127020381,,,,,,,
CCL17,,-0.014089305203183662,,-0.015263946019111355,-0.014744567623103168,-0.021890186328187764,0.013634599122668189,
VEGFD,-0.019434807441663482,-0.01569704187438183,-0.01997194968737744,-0.011196288998412855,0.026227201540365046,-0.02308739018513942,,
TNFSF13,-0.014666129354791791,-0.00971848740119451,,,,-0.023474393929999227,-0.023827823090704466,
WNT5A,0.027756063884897802,0.0009936215451608248,0.06567456751600032,-0.00625243757825802,0.02925894522013676,0.10237135930166917,-0.0032605780331259443,0.06044207781567535
CXCL8,-0.011855736869700104,-0.020906201303062814,-0.08298901073267628,0.18130842621658627,0.07756432953992277,0.032824980598149804,-0.009601763924463064,-0.016367596974141477
GRN,0.015124509018146012,0.02669432322648634,-0.01107925821386573,-0.0013078476575796461,-0.05599500150995192,0.022203310113597597,0.030879276247463113,0.00845320806757639
MIA,-0.029770023628240057,-0.006966683899324277,-0.042064722838301746,-0.012733420819186759,0.010801643472533831,0.0480810004876746,0.010719955098493831,
COL4A4,-0.02334103842230209,0.012987557955638336,-0.002624911605016141,0.0060970718085930865,-0.020993397889496897,0.08511140387687349,-0.02365429925097473,
TAC1,0.06313018387571717,-0.016089528150352996,0.06845426741695723,-0.018005919935275564,-0.03720469460582884,,0.0891992735465995,0.027691986030064474
RARRES2,0.031189965989715865,0.0019068044224879231,-0.05668081822845573,-0.012625168508310228,0.05236110586152016,-0.034878292508154676,0.06061588959718854,0.004467316895636068
FGF7,,-0.013017370539006222,0.019702569755127793,0.06321684461167716,0.01536864842843726,0.08217578823259757,0.012205703310047503,0.011490188074073152
HBEGF,0.03471271755597014,-0.024875506111700314,-0.02126560866440937,0.10255370630627601,0.05125385859225804,-0.06352866339285002,0.0343175828217304,0.055605928603399184
CSF3,,0.00016427810837867104,-0.04792241337779066,,,,-0.01539632213423387,
PI3,-0.02044623034156853,-0.00651533469457698,-0.041848264052425574,,,-0.018599283494527618,-0.033451093071098635,
PCSK1N,0.003159135690265276,0.02908095195836968,0.006863050186361232,-0.040708686812491256,-0.00180820255766449,-0.0043429627711468735,0.06004947688450599,0.06822166930170113
NTS,,,-0.02208683728025946,0.047506573678108024,,,-0.004500027300672762,
SFRP1,0.010321924458367085,-0.012293463392011345,-0.022784535914403322,0.06003782565834085,-0.016432082786765747,-0.029248656917418223,-0.022270042783554506,-0.028932750719043145
CXCL13,,,-0.006772298170918261,,,,,
MICA,-0.025377668031231326,0.041417862430566416,-0.0705904812743615,0.006463971548770889,0.035574331450365114,0.028616348595538722,0.0341983907299677,0.07762723424523331
TG,0.028365295785064196,-0.013266594705553417,0.013166674962368567,-0.0110464514484964,-0.022148421071723774,,0.08085675719604304,
ADA,-0.020298474748632955,-0.041508899453579585,0.025259207545530685,0.04648756835580494,0.06990887753559928,-0.007967208376059064,-0.017301221133118876,0.22621175464842283
LAMC3,0.06269522203141466,0.009515532081042128,0.005188677603005593,0.05371024951787632,0.024357888987375797,0.04625003896136123,0.03330017006436024,0.02878571580178155
CCL7,-0.012362175416428504,-0.00959172677568797,-0.017665901040414003,,,,-0.01613385315895971,
NGF,0.07531688131186949,-0.021977095885143287,0.013676738332605765,,,,-0.04830427009130899,
TNFSF15,,-0.010680856890075736,0.04250607167775486,,,,0.018811223509628102,
HMGB1,-0.009660928000140775,0.023828643934020472,0.007901191636129207,-0.030378036122087077,0.041584089416383176,-0.03352669528449665,-0.01619586885701157,0.03043172792999482
ITGB3BP,0.011671962063481471,-0.023432260225650356,-0.007927814721520716,0.004466422672484391,-0.006730391746278917,0.038034782088728195,0.029466389527980235,0.09335275973288296
AANAT,0.0006962884845501924,-0.00971848843843017,-0.019971952538485806,-0.012733421527452136,0.04872268076555093,0.04879112916335218,0.05595677538439117,
