,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.06098723047671328,,,,,,,,,,,,0.0749895201035355,,,-0.028873162274234202,
BMP1,0.05229703633204964,-0.012730872795563787,-0.02961317423271888,-0.0039713465716488625,0.026078381638429925,0.024892045454798988,-0.009799144503977102,0.12374206103543933,0.0236058522739919,-0.01497426960827196,-0.040659336603638234,0.04812318409177843,0.03013228013444564,0.0687524782338987,-0.04775873990019658,0.00022416833341313373,0.022351355220266624,0.014998922269276198,-0.05989976466716452,-0.0033419386194964195,-0.027114896376092622,-0.06195307562931512,-0.02350660698047399,0.07113669468845119
NDP,0.03404010584582633,0.0004512553093444374,0.004929168233523054,0.059676558315658636,-0.042124006647441724,-0.024223864804177476,0.06475129362432629,0.08442566980068086,0.02455829853109047,0.03601992441519509,-0.003026983560517072,0.013371403618955505,0.025657095158175245,0.02764961426847362,-0.03641871960285062,0.003889635584440043,0.04122339690859163,0.082686357625391,0.0655597458985096,0.03597968514477045,7.872681136889891e-05,0.024177767481254834,0.06497921940201305,0.04539810817157713
TNFSF18,-0.029214553764331692,-0.04881496627050319,-0.034582040845888985,,,,0.0035899184209775494,0.034947896824639973,-0.02231040239853052,,,,,-0.008455678271715703,,0.04339788226591277,,,,-0.05692140904762016,,-0.039479513841296256,-0.023349429595646773,0.017591774415472505
IL36G,,,,,,,,,,,,,-0.021869726294797154,,,,,,,,,,,
RTN4,-0.08223229919922455,0.03282078361885041,-0.017021583298841455,-0.017959585764839622,0.015589040656972178,0.004991018642957131,-0.03275938349676923,-0.16438913423019472,-0.030253150808076328,-0.029729711790258143,-0.010883737980942975,-0.0474682226124489,-0.05695691231546662,0.07833461887175439,-0.012086753504885408,-0.04241091102732758,-0.13901112736951676,-0.007062550118406404,-0.006112740064761069,0.057412606136461326,0.08279884572798941,-0.06077413893536336,-0.011671112347271506,-0.0351338414649103
HEBP1,0.024590521236759026,0.03197490282237837,-0.024334768179941797,0.05173530314561892,-0.012410413381584287,0.02904697116428851,-0.017892365080979012,0.09332464243959149,-0.016308431766612036,0.009807061656276636,-0.01829313533363495,0.008879038983458163,-0.02341788329714539,0.0011685946245066547,-0.019258810401018844,0.06526526966977861,0.024551721798896347,0.03349111181300859,-0.03577810806234498,-0.018939613598656906,0.01662284187740259,0.045814572334200686,0.058999703680034626,0.03512366376613238
WNT7B,-0.024631825662466182,-0.026983436522064103,-0.030363966324920718,0.015295400027801236,-0.010679615241560709,0.053531936036893574,-0.01155069070222386,-0.08325114828263064,0.003233759773976056,0.008950600748846689,,-0.0007141780261484056,0.03206576231126927,-0.03477632298893087,-0.06735475119508917,,0.08356207655142246,0.07159384762630788,0.02351783683678392,0.03307295488755503,0.034984810444226765,-0.03947947290400609,0.004965852308987432,0.06221837837125349
PTMA,-0.06689611200949311,0.02745830983057499,-0.005771428085534445,-0.03079983318962662,0.0007355574990735534,-0.0021505448945431977,0.035322539976902066,-0.023612668483298627,-0.05014955237719594,0.018345167564670355,0.0192161573762611,0.09293376832952106,0.06905490969321769,0.08230779447945884,0.09248385016148555,-0.06450812161423693,-0.07343426822634949,-0.09023250351451023,0.021457675848929783,0.08130001876817454,0.06683468386311361,-0.10341455310798299,-0.020214222376547457,0.009009013495314366
FASLG,,,,,,,,,,,,,,,,,,,,,,,-0.02111065475550533,
CEACAM1,,-0.03106938822299811,-0.023302517884777222,,0.062438266873161015,0.02752419982840386,,0.018378132876932653,-0.03508894787564865,,,,,,-0.050719816694421445,-0.008528279428569431,0.049902820698174935,-0.019825642784516734,-0.03085547936190802,0.04106484117153242,-0.02226847862337672,,0.011587770098010132,
PDAP1,0.02253303201486533,0.06383432845163362,-0.0030093917306799013,0.04216992566632116,0.014111005278495304,0.015184357680914468,0.0650802477245039,0.14809156289234837,-0.011261090423031752,-0.009367261182237675,0.02715423848707252,0.05781501764354955,0.043083061743772494,-0.023061454022308678,0.06750943386792642,0.0701385208895976,0.07930905028885968,-0.04012604767540544,-0.05824791589740446,0.0038186043704809824,0.06709078301964191,0.08290326620749111,-0.05046518228400216,0.0382065480248973
QDPR,0.04527882502454587,0.011325327831267084,0.023944074328972036,0.056711535247612126,-0.00040771410108515765,-0.028382007071374855,-0.03632460090484799,-0.0962854074267127,0.021193827746590226,-0.023374992034466417,-0.036134882989547916,0.11683662603163371,-0.04508091003962163,-0.008587860687588373,-0.09572073546567642,-0.027048697181684834,-0.21302434775834764,0.12911717687184684,0.05396594659394395,-0.005659640752163878,-0.059515124243724384,0.013386923769366085,0.05979938143692713,-0.06340552719223463
