,UKF243,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.02264096410961085,,,-0.014197363619796058,
BMP1,-0.00639631967777042,0.09686984070026396,0.050694926474704145,0.03695133866265713,0.03145691398014336,-0.03696524511340051,0.04470803285747684,-0.01615077998144385,-0.0019015488450873307,0.031034960632833338
NDP,0.0065879407321783046,0.08854411241678062,0.11696749855346418,-0.004936580157867108,-0.05808060286993511,-0.038326694345599974,-0.030677098980314885,-0.0800625478442627,0.0584463654205734,0.034771385122858406
TNFSF18,0.003428635087436041,-0.009242992709652434,,,,-0.03362115200240369,-0.027962394254248533,,0.011586966024423904,-0.025347683667358203
RTN4,-0.004575679842253286,0.0006463878608954023,0.051015926978191004,0.008587275017450968,-0.06830709935781061,0.0694888505980244,-0.01909081371605411,-0.03946633401550788,0.0604329977114407,-0.059220644489246264
HEBP1,0.011395623071181735,-0.02185347078244011,0.04569229510630855,-0.02160117858330808,-0.017789060937298713,0.014104300183492272,-0.0030519665539591235,0.02937931106913028,0.060197528311778915,0.029894992812542882
WNT7B,0.0005770739133952061,0.022216688632003694,0.05748321626929694,0.025687256023735405,0.033893792658833036,0.08118363170019069,0.00701178508490424,-0.02390731737527292,-0.0303030758913878,0.034949035383911656
PTMA,-0.050379898211954155,0.006874295881425238,0.0955180341843277,-0.027738008290028964,0.07385310420499218,-0.0059999940610558225,-0.0626692635486612,0.018460116950813243,-0.05587034547158439,-0.0035375578199954437
FASLG,,,,,,,,,-0.012313368623948533,
CEACAM1,,0.031471697378985856,,0.0034948351695164776,0.03168073191100331,0.0009986504459395273,0.08532641721148003,-0.01586763424283104,-0.017132243935561328,
PDAP1,-0.014443636132763059,-0.09324189926431106,0.00441649471297094,-0.01122837239943578,0.0312988700218459,-0.02245964958127937,0.006773478486988695,-0.021381300909079397,-0.016050276061470532,0.004102708533377412
QDPR,0.004279962161105522,-0.01524854394567571,0.009255779632886325,0.009898493642214729,0.006627987888706985,-0.08342426613288484,0.028886460520556434,0.05256058349465447,0.03531970604551481,-0.08203759057160859
POMC,0.05472089463802436,0.04713250289408815,,-0.03075871349808812,-0.025114591389277803,0.06292217778881379,-0.03244535107857904,-0.01142014625128304,-0.035513650993048006,0.07954389415343661
CCL18,-0.030303989092761663,-0.0304243284483991,,,,,,-0.03162212448369059,,
CCL17,,,,-0.019144495297027733,,,-0.02673029200797179,,0.025186423476811333,
VEGFD,-0.01676372862921165,-0.019211827046254983,,0.07339172636469492,0.001765815067506055,0.035416547064848855,0.042114398212006736,,,
TNFSF13,,-0.02295918184874827,,-0.013205444389433043,,,,-0.017818289765623857,-0.018185405680931792,0.04840606359693907
WNT5A,-0.02239010289490837,-0.010739204686703,0.1066890016062721,-0.024457533174442332,0.06414308975167737,-0.07211788109118494,0.03967701507690187,0.009093703455558723,0.0007480511137961071,0.08069800072032997
CXCL8,-0.050291035541430634,-0.07058958134548088,-0.06121144726648854,-0.038176319428894566,0.031319024925474025,-0.021947729843187633,0.06926581299310614,0.007444649566906707,-0.03524230340936836,0.04487892181954659
GRN,-0.02229687741829115,0.06888796475070638,0.07403679656780751,-0.02001983636392416,0.021238220184046155,-0.0781231282060854,0.0007555364060378884,0.06488730949256831,0.01293966922970674,-0.08246642565959168
MIA,-0.06451241611085555,0.039632559420480745,0.09189155520079192,-0.024498263373444778,-0.08788512589083579,-0.039166295959158125,0.03202304266023162,0.13229918652518183,-0.03544428682590908,0.09117456547302885
COL4A4,-0.03437163141070363,-0.03653937127597781,-0.009471651825027986,-0.010423857844744824,0.048464541757906675,-0.02231098960067645,-0.012824662471608824,0.018211677878155166,-0.032775425170391184,0.03472986114947426
TAC1,0.01432033318175884,-0.010784612112189977,0.1670393068794866,0.028330609492846506,-0.10907731702393557,0.08805611937371195,-0.1019888105261919,0.00042569489232578407,-0.014671856119998857,0.002559074546121553
RARRES2,0.03641204744986569,-0.012616722020390792,-0.029916103064950173,0.0030952911197501282,0.04513805824067632,-0.04650149341537026,0.0368565211398787,0.058569678141338885,0.03866780977180005,0.07296245592194404
FGF7,-0.026270984213413118,,0.016249859630206972,0.023903610477574017,0.005843400366792778,0.03327163554168902,0.07817320651481888,-0.044713946581157696,0.06806276630706423,0.052391833686939525
HBEGF,0.08725611244012048,0.10114814887865953,0.08243430390750334,0.007276179635792558,0.025994816203140113,-0.05341893826660309,0.1251004166401981,0.03977780532456521,0.029646391296927935,0.02741294410898152
CSF3,0.15186191908278002,,-0.020253855325172446,-0.022818569127363512,-0.03195562400810177,-0.023604597564291684,,-0.022748421184766644,0.05779821320861783,0.07411686838383703
