,UKF243,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.020915609199613466,,0.07299595992438304,
BMP1,-0.027317378847828828,-0.057222751570006156,-0.005083387991258613,0.031678764037396945,0.09342249231514657,-0.011721157500552366,-0.07232900360172703,0.08736599016980544,-0.050996875822338604,0.047263495296661164,-0.03749806228837502,-0.01393755222574989,0.08497643586939597,-0.020588863557490015,0.020619933050297464,-0.01180449377630558
NDP,0.03153044467072791,-0.004737265242530411,-0.005879849633112095,-0.010199685572716874,-0.010370167146036127,0.001767325132595321,0.001876934042294924,0.025961247012859817,-0.004375534876776315,-0.11609258921389701,0.03102515238491464,0.11319009290795992,0.10671752000276427,0.027837491899921334,0.06057696628564034,0.03932475220168418
TNFSF18,-0.021274479478159688,,,0.046338242856626036,-0.01660448081141944,,,,-0.02739624081889196,,,,0.14290298330273896,,-0.0024239905139726244,-0.028861130304955542
IL36G,,,,,,,,0.035662369101811635,,,,,,,,
RTN4,0.018152915644695705,0.02090890944914105,0.005474298633666256,0.003081456899710288,-0.0453104515987322,0.011786529539550374,0.1232729712348125,-0.07057121573180863,-0.003701046854206248,-0.022533186299884926,-0.0069942076711092364,-0.07169710432048952,-0.15221422972370954,0.0396027110045308,-0.06866663860766088,0.007085790655553962
HEBP1,-0.02497508659063316,-0.02525128833351971,0.08122216365303833,-0.035931463580716576,-0.011440532363212977,-0.003948964668295215,-0.10452421544827128,0.01185704547499454,-0.040946500908931954,0.11107910732254905,0.10826865406712562,0.10276464679422222,0.028659659327078903,-0.0183096773795321,0.07169629783356068,0.0441950049347832
WNT7B,0.1156709594404228,-0.03186427556486044,-0.019361953139032974,-0.004200865322460797,-0.006400649882708649,-0.017327980808661683,,-0.015116034573743229,-0.030160587120286197,0.16963942807929946,-0.02247364146524777,0.03157180343115858,0.010482150152491694,-0.02415945712353435,0.008400705361607358,0.16044060750254574
PTMA,-0.11095206783917454,-0.007075226611673526,-0.010230572134302068,-0.005929532727669049,-0.03917476716163909,-0.04963851681321898,-0.17848104444048526,-0.005996208398053878,-0.055482335802484975,-0.08093145522562041,-0.08076905399699891,-0.061220503641340844,-0.2337308632138776,-0.04965105600785303,-0.09687438526876366,-0.09416986784541324
FASLG,,,,,,,,,,,,,,,-0.015772859330412732,
CEACAM1,,-0.036794102929930274,-0.014343780121463739,,-0.02611489256385981,,,,,-0.018599168022630667,-0.03130872283476463,-0.03227557987847825,0.0014427695107320931,-0.01603498306079712,0.05380451239215904,
PDAP1,-0.018544749061079103,0.037535078834398605,-0.005614795958646413,-0.028657883692536832,0.024717472955238965,0.0739154882108177,-0.015560178313341106,0.032806565915145296,-0.059572116443229975,-0.01925665268980306,-0.05907643075284597,-0.10072929481071247,0.009920580857344624,0.05550069428964446,0.03999800389259529,-0.003636441319661942
QDPR,0.10367031094846021,0.0046824562637536775,-0.008339771239835517,0.029543386268131817,-0.02399679448121702,-0.017803520626762867,-0.11908795951895874,-0.04940527527493737,0.08199872510217664,0.07709619134740195,0.06047652413990059,0.11829284869332354,-0.1632618153444292,0.03670675423808215,0.005787738309909148,0.013533983108523152
POMC,0.08046090510977259,0.0033323514174812933,-0.028863077508689966,0.011483115016799677,-0.0047382812256201124,-0.005935069431180518,-0.011316838122783338,-0.006062348853766809,-0.004282783475348049,0.08394208120152664,-0.006614886056162119,0.13310466602302942,-0.002775756802641416,-0.01160396588794135,0.0013809926413876237,0.09218466441336323
CCL18,0.012500229674039716,,,,,,-0.08800801489177093,,,-0.03815060945993713,-0.023936112704170065,0.11310720356410177,,-0.04656452290764654,,
CCL17,,-0.02132631714315899,,,0.03348631424066286,-0.02144718272364667,,-0.012563675042489455,,,-0.022212023466483904,0.030624483560436597,0.04515730101615926,,-0.01429632538146984,
VEGFD,0.09363698117432677,0.06398950322025844,0.14412020795487077,,-0.022063709605818542,0.0022503347619552425,0.06503478270824804,-0.013464879681973988,,-0.042980926083860525,,0.04910993912139346,0.04540502078986321,,,
TNFSF13,,-0.01471041626827958,,0.07975140424720414,,,,,,,0.07160645978367461,-0.015328828440867482,0.03832519488119628,-0.018006211272057714,0.030434453827890406,0.09989079296633314
WNT5A,-0.04560047704014438,0.003360379140634686,-0.02289014736240449,-0.006816764520315719,-0.011151180602085736,-0.006875190252959633,-0.07039461483323403,0.012991404357679905,0.023279629812504633,0.06450399381767263,0.06262216572559924,-0.02594767223224514,0.0548646324217802,0.0024032892701738324,0.010663523615589298,-0.004428752522858908
CXCL8,-0.11017886123633241,-0.018970070153719275,0.00034344929217007834,-0.017104126742927973,0.010795219619002235,-0.014650106306349586,-0.06543590473501022,-0.040483741055510364,,0.026771242887710222,-0.07301020179428931,-0.13201379998616367,-0.013655586652663558,-0.05351008180116089,-0.03240170467413192,-0.02615000098246824
GRN,-0.015396357524474113,-0.058563370788015115,-0.027867997748461267,-0.015377228618468514,-0.014747469991268861,0.0026321636949071634,-0.13717555151117405,-0.020074483381500866,0.015679869897269817,0.10979732214302229,-0.013290207313407415,-0.05392740513741059,0.08345694035126895,-0.01597555610248242,-0.07242046388524133,0.014371161540845346
