,MGH258,UKF243,UKF255,UKF259,UKF260,UKF275,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,-0.024714119811096755,,,0.0359643334417333,,
BMP1,0.028015774018983065,0.052883384718942834,-0.01596595046814839,-0.02004388334967077,0.06739420630944437,0.01901332825786945,-0.0003122591189490081,-0.01623317737260991,0.026456718287195154,0.03584502214418289,0.024438365599654586,0.0478061238349655,0.06222695677127266,0.017404026205639113,-0.008361871340612441,-0.02085093762568893,-0.02034167647277455
NDP,-0.008956146303735283,0.037982424079401646,0.020239505422658437,-0.04820052180466331,0.0008280692090441758,0.03999093169479721,-0.05894112903290668,-0.03904668393973606,0.021574750344658934,-0.034350706480249106,0.041844766734291064,-0.07382075667607972,-0.014987829958608803,0.07131871304660312,0.010387484534736239,0.03346099363093467,0.030787820360992327
TNFSF18,0.008300621745231185,-0.019581138300468953,,,,-0.010647509681371023,,-0.013423825888838455,,,,-0.025487235531351803,,0.058850275919156966,0.03913207222319553,-0.016906825399218308,
RTN4,-0.043655934109926346,0.04251586707954317,-0.019081592012526957,-0.009730981220664054,-0.004460718741235245,0.0014548630958083303,0.0202166394185751,-0.08999217981282517,-0.011045812554590409,-0.03350691721697403,-0.04407316236293822,-0.03987700606159848,0.026632041744128414,-0.027493420651214736,-0.029335453802057508,0.008825173451895369,-0.03723602902297691
HEBP1,-0.04712817398464661,0.05451261235393642,-0.004689452830199259,0.008602314477799402,0.003974771568501249,0.014218076944668763,-0.055400848596417133,-0.02098660893656564,-0.010959281650019565,0.035302334173770815,-0.025158704867063158,0.038459858850582965,-0.01596205917476341,0.013951654758460925,0.029354566436631948,0.007980895867293373,0.03727393468855198
WNT7B,-0.00648962531679721,-0.045702594460514695,0.018994323239715186,0.054801759050063716,-0.048351836291422555,-0.030520095349847606,-0.04135646478967921,,-0.04288069914022189,0.07455697321626868,0.03491972055064476,0.010165236521238968,-0.005197864926519834,0.05868238495068972,-0.0037782374331779174,-0.0285924559683503,-0.05704069474415422
PTMA,0.022635124849037687,-0.04880921796162313,0.05586147361655533,0.0858052324184785,0.028556023895998463,-0.012990772547305277,0.06326025130022757,0.1613724343631268,-0.02795768209776479,0.0005972371156790086,-0.009245323729591795,-0.010907782652882416,0.014355603545164996,-0.09528348664914729,-0.03398672097406352,-0.014055685913250682,0.030604219282263076
FASLG,-0.03545372963650537,,,,,,,,,,,,,,-0.005323160593506435,,
CEACAM1,0.07393163637827296,,,-0.007160094527694577,-0.014562082107673584,-0.016745996129576765,-0.06312138848198846,-0.055028855710719506,-0.038456097824041476,-0.029190092059051414,-0.029129647915479336,-0.00742921997085895,-0.01842543522956471,,-0.03293599943826555,,
