,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
DCN,0.15699849785901268,-0.0027476953968535596,-0.00815079698166917,0.08244815763825324,-0.02801435680518052,0.19203349524967023,0.049836632174233196,-0.032415140457864595,0.09760349774320481,-0.002773328889023374,0.13037674520375933,0.03381466136939388,0.18518070857437355,0.01995758345027914,0.09899645155897746,0.14793855250287385,0.09533176349020084,0.15445537749328964,0.24656815881085625
RARRES2,-0.04056894516540284,0.027671857555441104,-0.04798747374523256,-0.06103084731404599,0.061316079556759794,0.18067380422353058,-0.002794306255802039,-0.026733074934980294,-0.022239958418087364,0.08708495161096895,-0.007976946598916245,-0.023899468898092736,-0.028028313291747115,-0.02275249930926099,-0.03407456594418349,-0.01008671613763684,-0.037878366172054624,0.05265925345132259,0.04738258410438201
SEMA4A,-0.03657877744122376,0.005142298363287305,0.005817637804121446,0.03449451984413957,-0.05786563032166279,-0.07641158805493437,-0.03721516914549244,-0.0030311941431129604,-0.03202993880337699,0.00027871277862573737,0.011610808306705146,-0.007079792090276492,-0.05436960156113643,0.06561161749880413,0.06488657338374391,0.022488593740291975,-0.025836254664917794,0.0898676948240703,-0.0028463534465236204
GDF11,-0.004836922582624065,-0.07082868276220551,0.022237299310698858,0.03826116881624852,0.12209333496119483,0.1263921935534392,0.035445142231929905,-0.04583061012821739,-0.031152372470019972,0.01666882826288075,-0.03153166486607877,-0.01356315795281365,0.053437714172534456,0.03545053090319121,0.07375115082348951,0.021949694282699692,0.007024419790905133,0.07378532002509734,0.014691058949298078
GPC3,0.12558112922713832,0.012667804385598046,-0.00983626409588809,-0.048646321910626886,0.14143521087848868,0.11067148513826261,-0.015976348696395033,-0.0016242888712645798,-0.022589201383573905,-0.02331639534495016,,-0.04164384210278976,,0.09947616557971328,0.1848121509679793,0.113859486250154,0.10513122226068587,0.09831865949744534,0.10257501291670613
OSTN,,0.028272540937921756,-0.029787545638873467,-0.02209547188310738,,-0.024260086226173372,-0.024688800533792986,-0.0038218929214338406,,,,,,,,-0.019169703713017426,,,0.08488220582002962
GRN,0.12750625130973214,0.06825181577246682,0.025988812408277433,0.04560966068513427,0.019484453416872407,0.12695606323104258,0.002181120487612359,0.0029929703427774954,0.11535857522457449,-0.02574860151539446,0.09781556816046079,0.04458258035524749,0.09948068316739143,-0.0033932632522248687,0.010520736178737819,0.034209789840959855,-0.008364560013819208,0.14464807669094779,0.14308589008304548
CALM1,-0.08901150957124368,0.01610816084972002,0.03432199868137578,0.006306891103287061,-0.16126569492306905,-0.1738122484468427,0.017682929376571285,-0.05118760647314618,-0.1400371729245439,-0.019312407779014405,0.027799021291660564,0.06913363431529268,0.10020701853429662,0.08183992853941739,0.08467287924215242,-0.10228573994672381,0.12250565057844803,-0.02800584979510904,-0.17079664409114018
ANGPTL4,0.09875563081029812,-0.07818601259580969,-0.05031643379304102,-0.00017273682005762914,0.026309280138287143,-0.006073358526866644,0.02474149720266772,0.014112522750368508,-0.045445276232733,0.050854814918824494,-0.03305184945343354,0.017054393258195227,-0.037167502475098604,-0.08902918476262733,-0.16594846195921967,0.10584358279793746,-0.08562048162588859,0.1540058772885866,0.12411883078036426
BMP8B,0.022422712933533036,-0.06060611109572084,0.0033189681268060716,-0.010394255011162416,0.12162759152154888,0.09266313318697907,0.09327529724437317,0.017362720308241156,0.05094194829974315,-0.018136614876774784,0.01609920200613759,0.07750064914619718,-0.03891608687953307,0.06183421148736212,0.03256784361645098,-0.028956166722279592,0.05790929448621026,0.11486369474828091,0.11667736838361939
