,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,0.06389941596763198,,,,,,,,-0.016113800673977153,,-0.02405656397449942
BMP1,0.0648331077832446,0.06284851275103026,-0.02837721834745308,-0.0011874768837125324,0.06318309126599572,0.0502747179736932,-0.03130385092392878,-0.05031428995291144,0.057341399252647245,0.012582099932832066,-0.07589060183278275,0.02949765226175871,0.033895963129851096,0.043622257643755095,0.03947125320428368,0.026509679655496863
NDP,0.06682922489186975,-0.007285015252382337,0.030759255650031708,-0.03001859080369739,0.006175408389743182,-0.03422771830481117,-0.006217803616879927,-0.03907591485434141,7.30936328122731e-05,-0.02761616934988437,0.03651970933207632,0.056489029344418344,-0.028981118238661844,-0.005662505382835645,0.037606061833245996,0.01748848083849396
TNFSF18,0.04820754377340272,,,,0.09511827807521321,0.0001543178192310375,0.03554793895701428,,,,,,,-0.016617878209787856,,0.12514195614849516
IL36G,,,,,,,,,,0.0614984620174486,,,,,,
RTN4,0.01812337502251897,0.036646757725310335,-0.011612223254210921,0.02164666634962165,-0.06906283585650762,-0.07677135260203538,0.037753698603582346,0.045968814125463546,-0.033719857509384686,-0.021929482372571328,0.05923113348786873,-0.009563190647200664,0.009716754810756822,-0.06080150103592233,-0.03142250790364258,0.013777904516724851
HEBP1,-0.006962611369473546,-0.06534168505969028,0.04554127099703552,0.043148404272335704,0.03388497656271522,0.025289573419388662,-0.035939444749594214,-0.029123495896221204,0.07943212195114892,0.0017450146873919956,0.07552052452301761,-0.005423989325302041,-0.01882194769048422,-0.006862861014954013,0.03868826199057669,0.045421419287801246
WNT7B,-0.035988413733210926,0.06533795266051869,0.013616739743399324,0.0013815464901337205,-0.051934555779625025,-0.0021319865891633698,0.0017790509143370428,,-0.0005992904728313978,-0.019011425213784478,0.12016113894641406,0.032301237233350204,0.06086811436965929,-0.006105922412048707,-0.02877349020217971,0.0046016463183096755
PTMA,0.010127292643929007,0.05015676920266437,-0.013895958147883442,-0.03428724334789349,0.0738019969685901,-0.021991064699662465,-0.05212015688440231,-0.045212934590363386,-0.05330962988504104,0.09109272183808532,-0.1093719826618002,-0.051414525637623595,0.037726499845444274,-0.03541927461868388,-0.003133757049782187,-0.023543327803333288
FASLG,,,,,,,,,,,,,,,,0.06172155675043404
CEACAM1,-0.021644961120341123,,-0.031788084192851986,-0.01752851007327118,,-0.0359903138638783,0.011789583752096466,,,,-0.04579527718738854,-0.02405699792769088,0.05865002224613996,0.0833924041386446,-0.01909738392020899,-0.029029539096110092
PDAP1,0.05649122262042617,-0.0017531462173826994,-0.008539592064563055,-0.011448778058306163,0.03752693885870954,0.07906996168271076,-0.014635429025620083,-0.01815159849330277,-0.006058459653207861,-0.029835485792768193,-0.14841004849583006,-0.0003768514721773889,-0.02124190655751744,-0.04037525871222863,0.0698516443807679,-0.031543636179845916
QDPR,0.0026420001289199167,0.08123410528910872,0.06190786696020327,-0.006992146334706282,-0.02354129860959178,-0.12204403724475521,0.015191345973772226,-0.03083931443696196,-0.0014967077781410185,-0.0072034499731985155,-0.10467395784733605,0.020556523854067907,0.032758787857218453,-0.024173105745260343,-0.0032254724529445153,0.021731617226315548
POMC,0.011752046940983203,,-0.029602353754966775,-0.035271507271616674,-0.015094537276571311,-0.036925498519395576,-0.013382430579129018,-0.026582284616710822,-0.021208901533206443,-0.037059064193907074,-0.046371147432500835,0.009144693234111722,0.03405484247658463,0.007974471741228397,0.006278433163558736,0.01917960995440145
CCL18,-0.01416908758267979,,,,,,,-0.0223420755731501,-0.04446186363053597,,-0.03926705601698837,-0.033783638779043855,-0.042274621727234875,,0.005081990877153435,
CCL17,,,-0.0024305259053293148,,,,-0.014384379439253138,,,-0.015801324567983627,,0.008032371849092439,-0.01578836753042969,0.02560442189154421,,-0.018911098913915056
VEGFD,-0.027010874952306356,,0.03712055752505857,0.005524113652730044,,0.09667220656098671,-0.01532533964497221,-0.02012693948931951,-0.014329591212868635,-0.016934768959255157,-0.044238727928300026,,-0.02060674731380075,0.0656776127451872,,
TNFSF13,0.046569496674436654,,-0.012708991757143427,,-0.013056610130915178,,,,,,,-0.005355367237068609,0.058280083600693616,0.042728956321624566,0.048035090870155714,-0.016401256450617102
WNT5A,0.0019384984717188759,0.027119337732081465,0.001664140784146919,0.005766194244020804,0.06950084448282556,0.08104972537579778,0.040903896824365335,-0.02453286543058124,0.059930151014962074,-0.04487507564130373,0.029019011895625217,0.026349620649193297,0.011982561664384097,-0.012892506637575026,0.04274523603157404,0.04675288208323986
CXCL8,-0.01888249730624467,-0.03708150744574552,0.016081894721160655,-0.0007085272061221301,-0.01857218107051883,-0.02854548862564254,0.0001979077708636488,0.0016319609924247318,-0.017762059728202627,-0.0007118199184036045,0.07957074675911846,-0.01046776115591555,-0.08456551633457599,0.02159840825070158,-0.0005441609131486588,-0.008995988766312192
GRN,0.039291346293058325,0.009292290007501472,0.07727694472472418,0.006337630611321339,0.009449702488793683,0.05381979439668246,-0.01482564188813088,-0.05751347932810752,-0.00978734229496342,-0.014563344583040217,0.08060022878084822,0.012033506220719718,-0.03855867160539336,0.057411220758827576,0.037593673558396504,0.07666854963871744
MIA,-0.03323188586304277,-0.02905204640344515,0.010981541192945506,-0.010396889586741108,0.0070954531589248575,0.017683918333961393,-0.02827268806311078,,-0.01943350003754335,-0.008559552688115993,0.022419818042278678,0.02812790517508812,0.047412119186144075,0.09670610198861711,-0.02174034314021557,0.015118730483169673
COL4A4,-0.032439831059515596,0.022786949700752596,0.006330847593533726,0.07315474486702189,0.16541971696165012,-0.018149087099307265,-0.015017737168170443,,,-0.007748244356013161,,-0.0450965695555174,0.01724909652284411,0.08970073063356514,0.030851991236434305,0.12876190088709066
TAC1,0.005234316252857506,0.016445100381753026,0.014667820476776273,-0.013516886738181707,-0.0440714862739211,-0.00730867403949185,-0.03579197107288074,0.08053177454724078,,-0.005332024238415287,,,,,-0.032948427772689526,0.04442749066236206
RARRES2,-0.016434634235443783,-0.07630026828255572,-0.028029280052593013,-0.009633838532308108,0.03443960744593853,0.07468623911400694,-0.018548144574530738,-0.058816405368595115,-0.003571160034381013,0.0819239389756865,0.06356102804506522,0.056351759395139395,-0.04041544896255252,-0.045159061035469246,0.0025173858190046094,0.004119378272722828
FGF7,,0.01892000045607832,-0.03265960859625304,-0.03211022043347726,0.018716029083064644,0.023788178387827468,-0.034234851959152234,-0.04672634793552166,-0.03122144989098117,0.011930597579943365,-0.05161992133091805,0.014818738600854234,0.03002311875377158,-0.03238786145739529,0.014780097909720659,0.052445374797643114
EFNA2,,,,,,,,,,,,,-0.019585334254826756,,,
HBEGF,0.04642916889502358,-0.001863890031876576,0.007152677925286944,0.008039674552088786,0.02877770060080314,0.02067645754442511,0.03043610050238932,-0.005439352163339236,-0.010189135267828999,0.11153152762975134,-0.07065668596922169,0.04574493416299734,-0.014077643869889493,0.02172743114275765,0.0037433395750728475,0.00037687705587521354
CSF3,,0.07375177119786819,0.031231902467454338,-0.04005769097703752,,0.019860446789717715,,,-0.021527720876766864,,,0.09602833073201889,-0.06445172471912021,,-0.027378708526785017,0.02140158476273711
PI3,-0.028416570252104808,-0.05219924876004534,0.016407983156434915,-0.01259230073421644,,-0.02162101274325637,,,,,-0.045628355251131784,-0.008514606299561408,-0.09431473645750921,0.09299098141921627,-0.04274326644837455,-0.04325883621597142
PCSK1N,-0.04295724151420682,0.015589909975054867,-0.017291914895691193,0.007969995089318622,-0.04341146810636856,-0.005114731615409868,-0.019044122683866897,0.024074346810497957,-0.04224119817605066,0.012104558072083917,-0.11114186514222985,0.029506941576836948,0.029617246356541067,0.060690842344871154,-0.05019634425220191,0.02556950796455792
NTS,,,,0.016997847779241296,-0.015165401214321318,-0.023600811710120146,-0.01715601901452498,-0.0181207108587322,,,,0.01714275335889383,-0.006952066912955832,,0.04105026029250908,-0.029484690720890695
SFRP1,0.02383439378203125,,-0.016076321187247035,-6.21900249616804e-05,0.05983203692967056,-0.0004204734235311137,0.04597610549819133,-0.015239103197703838,-0.017196301027681885,0.0020954349199779287,-0.039640417146840815,0.024459714387105858,0.012603190643538709,0.05373568214459966,-0.0023590339681109954,-0.028799541206287426
CXCL13,,0.06289792064373977,,0.09763787280976849,,,,,0.0023868039268003928,,,0.1165143380677488,-0.05032030689291527,,-0.044660371003339965,
MICA,0.04161058736850583,-0.021263693292181567,-0.02330236240061595,-0.039365347423604896,0.07337833388783004,0.01685246896846555,-0.019497289308900875,0.007318883488402731,-0.018335615509587955,0.047144613089094796,-0.01104458478755664,0.03563144903916816,0.007522551154506268,0.019066630577625074,0.09571409271572179,0.021632859318827198
TG,-0.03362438743381917,,-0.01734889760082599,0.008521377393792577,-0.01750487080240571,0.009361858769418328,-0.014491717929880039,,0.023042106948794206,-0.023735819114444733,-0.02622717200228184,-0.02267814225979377,0.025039608464004586,,-0.022533097834681364,0.07072854876648571
ADA,0.04827312272285947,0.11923225000089609,0.004901734640847649,-0.022287699778057918,0.051456150848770164,0.0709047092045964,-0.046925379825891664,-0.05070352635020073,-0.041164312530020244,-0.0138452887900725,-0.02166504497868743,0.04717645845499054,0.04674486640772733,0.047738336196722894,0.0741415053515419,0.09130950282115581
LAMC3,0.0166194806681302,0.07989723843596591,0.009981415335354401,-0.03883125581699627,0.06002717159717857,0.13990298241447488,0.020268114868545427,0.013687496147921098,-0.04733107177371346,-0.02226028681857706,0.07237986017854785,0.026636922070817772,0.02362023972167565,0.0012276411751397612,0.044102240520269724,0.05985907042817577
CCL7,0.022718735919841502,,-0.01254322524655507,-0.02513752377978859,,,,,,,,0.024678720377211173,,,,0.0388999172916895
