,MGH258,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,-0.018872394878027537,
BMP1,-0.09938331467382343,0.00580481713436409,0.07754440213197834,-0.07219608129982291,0.06012467501148943,-0.08070518938912072
NDP,0.003919104960614715,-0.01019691691124941,0.11487290393471,0.05170486245264971,0.02258225110737074,0.0935156964328256
TNFSF18,-0.02089570027209748,0.09324090267489847,,,-0.01946276772037787,
RTN4,0.0800441356156775,-0.020530613297401995,-0.1327423493709486,-0.021711012501870026,-0.08400865043857637,-0.017274758754766313
HEBP1,0.00985759678720824,-0.06620860320794794,0.008719586293965905,0.010627642065567731,0.06632748520126511,0.0544536481993451
WNT7B,-0.018408457468185858,,-0.00215344704474736,-0.02165257968219523,0.007876032153222886,0.03808379084272888
PTMA,0.11079790093868944,-0.014371308844569958,-0.14836473249053594,-0.05568545319033352,-0.09059793495349432,-0.05223743230803607
FASLG,-0.01840846267220963,,,,,
CEACAM1,-0.025560311525470347,-0.012836379765684806,0.011291611730013692,-0.016479388107636498,0.025131352691918536,-0.026292644376462792
PDAP1,-0.07615024353812284,0.058846138475261156,-0.003368393585391802,0.007441911985654622,-0.049351728207159405,-0.002312480094049452
QDPR,0.09086961623050774,-0.007880593133952424,-0.1034838275937374,0.07562460172575616,-0.09605273337857781,0.07562573607831907
POMC,0.029992519606428108,0.05329200850242267,0.0015150119875914812,-0.027306674343189546,0.013919651942784564,-0.024675469309061848
CCL18,,,-0.03874591362240628,-0.04024157449990959,,-0.02678903416670347
CCL17,,,,-0.023789031300029583,-0.005019987412430258,
VEGFD,,0.026021793788240002,,-0.016479388107636498,-0.026243001556461747,
TNFSF13,,,,0.07178715379623295,0.04797257166957086,-0.004722093346868519
WNT5A,-0.06577321944440048,-0.11899597091590007,0.06018983085781258,-0.02315025523736594,0.0905408545024571,0.014712848333051979
CXCL8,,0.0982062702782476,-0.047119762027322605,-0.0675633592885288,-0.035327246796378976,-0.05978134628546134
GRN,0.12466259160486576,0.014036599103980066,0.07953175035350585,-0.04923473746294968,-0.011401923436387176,0.014639083969612318
MIA,-0.024095089868376624,-0.03477099021745073,0.04116729224330371,0.07103751220608057,0.04369444063355276,-0.15276059832799507
COL4A4,-0.02131924283364743,-0.06616705548818029,0.05030634018130996,0.0684583409418795,-0.025294976380442466,0.050537712877548754
TAC1,-0.018408452656922522,,,,,0.030705336764043623
RARRES2,-0.09606606971982322,0.055136623726254934,-0.002657137717349914,-0.034656512120330156,-0.019466393089548287,-0.08314316729462094
FGF7,-0.05043955737242345,-0.03883154393060915,0.07074046606547628,0.022689727537963264,-0.03061967550340072,0.030453662745258965
EFNA2,,,,0.09052115477400248,,
HBEGF,-0.040100665068879895,0.00367409266336169,0.05999359563308688,0.004694789371980871,-0.0248536489685293,-0.10140424820747186
CSF3,,,,0.008634490502565342,,-0.03769409725380388
PI3,,,,-0.07852246183919868,-0.021141455217841634,-0.12694376057487317
PCSK1N,-0.08882661181198492,0.0433372028727411,0.07007967140652822,0.03298588621173351,0.0062363159687191935,-0.03084889201474337
NTS,,,,-0.019081851751350996,,0.13562322824999895
SFRP1,0.02796316089695422,-0.006164338062690252,0.07006590034230317,0.021556752162150913,-0.05178972306386076,0.07747315768126112
CXCL13,,,,-0.017991114944202243,,-0.0013967858230689977
MICA,-0.06318912097231108,-0.027288040491960208,0.03754254090742118,-0.04292856670451567,0.030886442066332818,0.02667861915075563
TG,-0.021319238029273973,0.19052551515996025,-0.0386715168480781,0.011834986402117213,,0.05199085675209602
ADA,-0.05052319784064793,0.05914731316453047,0.04055789307976935,0.0012057690207184842,0.006728442399960777,0.032077136472787586
LAMC3,-0.008009858829026807,0.07660016210691566,0.0635355830137855,-0.003752151981724411,0.021792037598199854,-0.04545129534129077
NGF,,-0.026768427325083433,0.04749509674582776,0.09167406291441199,,-0.05876458766211051
TNFSF15,,0.04813201730995372,0.08077429223600585,,,-0.023407387266808556
HMGB1,0.03621934305618448,-0.0434245428335473,-0.07174091510617553,-0.021199802007274737,0.005617219907977961,-0.061659657474106434
ITGB3BP,-0.0029191745496189806,0.1170412008229565,0.024400906964698946,0.039894109147267494,0.05120458211783872,-0.025383843896405554
AANAT,,,-0.04035549319438063,-0.021077557628707028,-0.014718213156437291,
RELN,-0.017674213545154076,0.059176859464494136,,,-0.03849033293712637,-0.002690807236701502
IL15,-0.04926225703870507,0.08418823506343694,0.16432072461868308,0.02619406556050278,0.01323245214214347,-0.05063077190128719
BSG,-0.09006305879282085,-0.04115299796424505,0.09669622570373829,-0.04333213636830455,0.07749430717315027,-0.020115477111114114
ADAMTS3,-0.08289692128456132,,-0.04832159474076445,0.07025471103446607,0.08605089697291975,-0.012856881177179477
CD34,-0.0592675952592924,-0.020216799551288304,0.08091227293403123,0.003895407114484743,0.08354498930126841,-0.03169583007565489
PLAT,-0.15299189525520518,0.059335813171359685,0.06623976689023775,0.06274192596982787,0.0634334281528495,-0.15377485619035475
NTF3,,,,0.02246620191680931,,0.04995729191115696
CKLF,0.05859377807986645,0.04807475124352605,0.12979860111554176,-0.010636641056600424,0.025636253716152,-0.04246162649734882
CD24,0.03322146441582502,0.013023989320819015,0.031166016290948267,0.030544905848520938,0.12413082074625921,0.10136124904820455
HSP90AA1,0.10038660067222413,-0.01826602255936388,-0.1086300594733195,-0.06057349448044919,0.014798020260395504,-0.10026027143393071
BMP4,-0.021940590960716145,-0.007875555074926615,0.1305625611087386,0.07621042892170606,-0.04535961862074134,-0.04282037679227645
SCGB3A1,,0.07595365756303425,,-0.0026115388134615785,,0.03038825295281454
IGFBP4,-0.026027440106194913,0.03050294282707016,0.03766694478548303,-0.07375672942587219,0.07217314075511429,-0.20652650312958637
RSPO4,,-0.017718241115216134,,,,0.04742983398745618
LEFTY2,-0.021108448788494095,,-0.03778601013248335,-0.018009124829899886,0.051472017842437164,0.11869768803140092
PF4,,,,-0.014355816526179547,,
ANGPTL2,-0.05640625060696153,0.06055802370910482,0.04841241675624835,0.060611481944157206,-0.014246790640258189,0.019288457563414893
LRIG2,-0.0064555862778119385,0.039047848985881324,0.1399225531727736,0.029594554760530255,0.012642774531238805,0.04047177000938194
ICOSLG,0.010520052373050376,0.051376214204242224,-0.000303833936023969,0.07024927315317495,-0.013546478968823107,0.01581472415408755
WIF1,,,,,,-0.030431843249606776
NPPC,-0.06819862018712422,0.1227859059620417,-0.04832150193624817,0.032875875062495334,0.09157556579521924,-0.0304901144310491
LYZ,0.01288519293979229,-0.008564620574586035,0.03418227301714837,0.032278101068339476,0.07239465010007624,0.004712832802307498
EREG,,,,-0.003978062937238447,,-0.040773990751957694
SPTAN1,-0.023807985258006755,-0.04616396348526195,0.066166016165806,0.011592508987461513,0.034368091278141125,0.1553524834710259
PTH2,,,,,,-0.01681217471087917
LIPC,-0.027295006570536646,0.07526157165363181,0.10316319278495271,,-0.0203854473801689,
COL8A1,0.01709550923905396,0.02890151982391641,0.02234229099079658,0.04508573308284493,0.02482431569676233,-0.04196811852697504
GSTM2,-0.06095326792314791,0.054111627467009794,0.0406314846386558,0.03124767769689211,-0.03249606078807128,0.042181612180588184
SPX,0.05310929096107065,,0.03488561141120839,0.027520380877867987,-0.011586209274942298,0.13586208172887143
MFGE8,-0.047599621603134704,0.09842533810428741,0.00031221105167758426,-0.03238721944036702,0.002058746022061367,-0.021709348311632005
TGFA,0.10569122657709526,0.04426358554566777,0.02068814180058797,0.020481966977138347,-0.045160591270239615,0.045884379700166865
SLIT2,-0.02194058744989256,-0.06903858636751245,-0.054647345265360005,0.05663146454304128,-0.031598882832021495,0.010453692083572337
PLTP,-0.057788078959470635,0.014009050072520004,0.07029063198534241,-0.051856895198248106,0.07276473137644118,-0.112849294593353
APOD,0.1141531919300151,0.027906195233047257,-0.11376175364228887,0.08566310166523916,-0.09200694353904677,-0.09632503603589164
B2M,-0.05626883144081314,0.07266472207628838,-0.015890715321464327,0.0340659893468146,0.05757861637938716,-0.05506404645936431
OMG,0.03741364139923831,0.014791216635234685,-0.04935311250295385,0.0905273704144344,-0.037180664732714315,0.10052289789054451
CXCL3,0.09344653762428805,,,-0.031216022240461123,0.06958341749794701,-0.030447087325144687
CXCL10,-0.04209376710443627,-0.02319284435043978,0.001392382618063484,-0.019255311662407733,-0.029199757091969182,0.03424575503752499
RSPO3,,,,0.10860344110705512,,-0.013211142591981353
CORT,-0.02131924249047779,,,-0.015022632344423881,,0.07692895643210049
NCAN,-0.07316488093898581,-0.028461296733481325,0.11535002208578449,0.07815441036954139,0.03296726154708221,0.19328967569582012
PRG4,,,,-0.022166813319847985,,-0.01153773375507618
ZG16B,,,-0.029122890386084434,,,
TGM2,-0.04031682124671064,-0.0677139131421416,0.017662166169709004,-0.07396735112384666,0.03407387908919817,-0.0850029594001633
VEGFC,-0.02131924386315645,-0.03442025576413076,0.06108057426628233,-0.0300998800950687,-0.010835136098757518,-0.027314968555452034
WNT6,,,0.021903046316130166,0.0011839498361063477,,-0.04344681452151
NRG4,,-0.03607480946044293,,,-0.022956243873497914,-0.016179382952191488
PMCH,,,,-0.02107755688125436,,-0.009950356438979105
COL9A1,-0.07437023701552553,0.10404097278533349,0.12605852422699879,0.052223814198662004,0.031045185666091143,0.022927351794094997
GDF11,-0.045541104458429585,0.04326535611534096,0.04599436169180138,0.02513471679587004,-0.03709527763750007,-0.026327251845177053
IL24,,,,-0.014126920330435097,,
SORBS1,0.10294299044381787,-0.01791227703282429,0.052948318134932726,0.015668693330880692,0.04534097931014521,-0.07667800491454062
DLL1,-0.0018568075601696201,0.009785866394054292,0.008164557510303845,0.014275720325445787,-0.025554074117046955,0.08430166631582278
TLN1,-0.045252051667700355,0.011960949577462174,0.0020528124838413704,0.022384603440739587,0.005964786557370765,-0.07497228562350657
COL2A1,-0.020024220901605452,,,-0.024194924597188493,,-0.05243433241577094
SHH,,,,0.0586059966504075,-0.0144681978323061,-0.03907987453189323
PON2,-0.09154292266892432,-0.057120958110678355,0.0607258121701272,0.05589747505441084,0.12445119474170792,0.04952523896136702
ICAM5,,,,-0.016320900891612682,,-0.0812316612722396
HPX,-0.001667408150175563,0.18037695179191224,0.16797948366780335,0.052860797201567465,-0.03077842411502488,-0.024272960208605122
SFRP2,,,-0.02731364284929592,0.04517365610735691,-0.02374632399151566,-0.1150788808769358
CD70,,0.19586954088561823,,-0.06811544018623915,,-0.050567972107469605
HP,-0.03973251096402145,-0.08995521231449038,0.05413831904231056,-0.02819619256525704,0.023542701895583207,-0.09657614295945638
CXCL2,-0.005301652771961944,0.0679020808178655,,-0.01189805969802031,0.11648258971314557,-0.08672517073632496
NPPB,,,,0.0044856013853016696,,0.07351050235964281
CCK,-0.04581195164434233,,-0.00426216579834702,0.05958247589029879,-0.025904108012188166,0.13317340757774188
SEMA6A,-0.004022787640165938,-0.04248160023005578,0.0602637818538811,0.02347946832224525,0.02549476389005765,0.06907866554666009
IRAK4,-0.011063122342391738,-0.016284972493447503,0.09418976477076942,-0.005460313248282902,-0.003371759301407513,-0.014600873096111164
GSTP1,-0.056041808004708614,-0.07441777269289811,0.02266944725736582,0.06857238343423994,0.010541957988471965,0.015739052681087207
VCAM1,0.015815227929776313,-0.11132467168716852,0.15118096050336474,0.028434222229064398,0.011197433038309482,0.02441375806157372
NXPH3,0.017060925394330944,0.05385648825775914,0.21853371277249498,0.013739579551815987,0.06426824771104224,0.09443831368299857
MTMR4,-0.032117588287134576,0.18046279036957139,-0.07511112264659744,0.004934699834206132,0.0832233698637766,0.05720557131469436
LAMC2,,0.10281223546194025,,-0.018552610331641323,-0.0221951392714203,-0.02415941421316802
IL10,-0.022144202837561987,-0.10567078231378774,-0.07719563814185565,-0.014199660962389293,0.07423979000890213,0.049379151451479475
SEMA4D,-0.022191638930726322,0.08453133698960759,-0.02892439112390554,0.04087762690527622,-0.08058400099127842,0.11901283442887708
TRH,-0.01957515691304286,,,0.07434269201496665,0.06687696987717326,-0.034783947347926635
SEMA6D,-0.07504561503598883,0.003397476658651882,0.03436296101233104,-0.055210530551618384,0.10853683626627703,0.01162204607844699
CEL,,-0.03335226999435544,-0.038806080673801605,-0.005669252836842908,0.13699532351506352,0.07596489783695229
PDCD1LG2,0.04389993343691621,0.03434715648157928,0.058112307929751084,-0.01830323959275313,-0.008762116697946116,0.012876090193837654
SPINT1,0.011046281604228022,0.04139682225260581,0.05674708232408672,0.00948321672960782,0.03988694837616057,-0.01054830183469626
CTHRC1,-0.04192239370596275,-0.022048384272532067,0.09031663239805826,0.015213436750623572,0.06315611713348604,-0.05816814330159878
PODXL,-0.07418522775685427,0.04138439356169978,0.07929285027788177,-0.005085679817296105,0.07951451255209496,-0.05324498831688181
JAM3,0.07659955340732068,0.05692378723979831,-0.06277303962148995,-0.040580146633661066,0.028724309194683495,-0.056244800253831155
