,UKF248,UKF266,UKF269,UKF275,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,-0.015859555312050834,,,,,,,,,,-0.02851794863790676,,0.03433021487735676,,
BMP1,0.07283086367534915,-0.005041916166856857,0.04037060638301176,0.011485670062735088,-0.014463236129719025,0.07885682813447643,0.038645561191940014,-0.015896783656200245,-0.15633087832755446,-0.02892779625555055,-0.03618293827021805,0.027126677807170173,0.04379942127635568,0.025777971022441473,0.026421444109303985,0.0173286198869267,0.1014327478806173
NDP,-0.030966197858980027,0.05443100507252476,0.03393650668622347,0.05321809851692072,-0.007320032790553722,0.030151764604598837,0.02246826235224335,-0.006446751767064147,0.032340331915753695,-0.04744444800697363,0.015552136540381538,0.014016280988940347,-0.036582530816438905,-0.06259554097511805,-0.06707787156489972,0.039450044081558645,-0.05577395497400043
TNFSF18,6.987955687241118e-05,-0.017907431635616436,-0.023550963521497978,-0.011533385881328436,,,-0.024507793190574216,,0.14391113039422757,,,,-0.029410057058919283,,0.07671739087403133,-0.011229496065062078,
RTN4,-0.011725710574934269,0.04908660113869456,-0.07798759890400632,-0.005325782374788123,0.00020691256495907994,0.06993590169267397,0.05669780643441929,0.02085194556682968,-0.02538975191632559,0.09090662832795464,0.03509609545032452,0.05210659900120362,0.016020983326392055,0.028511313888668028,0.07719395457741152,-0.034134081428192214,-0.03967723226345766
HEBP1,-0.028447245656957165,0.007342753449299677,0.033076857998300395,0.027351882736481214,-0.01635240556446349,0.030427451304679835,0.045107963127521675,-0.029980987385194204,0.06003615412321016,-0.036602875051591294,0.026685398028013577,-0.015599844225905522,0.028175914294954512,-0.03244177556875032,-0.018137280519435386,0.03506057282728034,-0.0365639313635704
WNT7B,-0.011383971292787249,0.058056263168159594,-0.03002712111759061,0.0029581956854458627,-0.011878752784761032,0.042747435038082836,-0.026980688209622995,0.059293296128059,,-0.0348971444560993,-0.012420585442165446,0.013417262239637219,-0.009481903408050574,-0.04380931515747988,0.05664441374464413,0.02594393921509682,0.11997766745749357
PTMA,0.005759241169835696,0.058636874259049954,0.0022067697348185193,-0.03694106645779541,0.08242160598665249,0.08701433648577149,0.020959354039363547,0.1457905221761079,-0.01732601635965916,0.023148467074393688,-0.029224170117893026,-0.012968380462464173,1.0603826997054469e-05,0.01775674006715943,0.03848666172091809,-0.014068887322308309,0.1031509675433346
FASLG,,,,,,,,,,,,,,,-0.019252386952036606,,
CEACAM1,0.036605749074973354,,0.020843852748725133,-0.018139268346246004,,,,-0.04449318874528668,-0.03759369886997237,-0.03129631810794486,0.06258517818809727,0.0657340874828217,-0.005590116665627667,-0.029076879619575835,0.06633082037402928,,
PDAP1,0.00911058213276896,-0.009831226397936016,0.06013310327566939,0.010064878728754178,-0.017509270978560768,0.0527704339149433,-0.011782274170630824,-0.015131901826521863,0.029167307448933436,-0.01419614497276526,0.011181142444055773,0.058865527295137283,-0.04416723227813543,0.022293500546129986,-0.010880398278869679,-0.017669603418357473,-0.02914426363463681
QDPR,0.02622439473174355,-0.010340049549710437,-0.04207410880435111,0.05266442881130497,0.022410275501532982,0.037035894350487764,-0.027455854515051285,0.056118918800166964,0.009690156581350756,0.13424280420149967,0.017674139515199916,-0.01459091106483826,0.02785299395336198,-0.006130683041423981,0.031987455139970866,-0.010266718594880446,-0.07736076704429404
