,UKF260,UKF275
BMP1,0.011625228170788784,0.05638780625189519
NDP,0.004218815294297065,-0.011185685662276129
TNFSF18,,-0.013134251171412063
RTN4,-0.05694968317546816,-0.05712140893088497
HEBP1,-0.01337858261425599,-0.01508834204713318
WNT7B,-0.013879050807412563,-0.03764810834609426
PTMA,0.019479380824632436,-0.04128872048540264
CEACAM1,-0.018417548270448343,0.032241970855052496
PDAP1,-0.025823366454846234,0.024232137854951357
QDPR,-0.024877824068293395,-0.047832715929124615
POMC,-0.03706046235709742,-0.015239946427189614
CCL17,,-0.01638096837090809
VEGFD,-0.017620867417497077,-0.0014936355551850274
WNT5A,-0.0007314081263360975,0.016791829525379814
CXCL8,0.060654183768151994,0.03833357264050933
GRN,-0.04767618220703808,0.06814962645678484
MIA,0.016178486675779615,0.03995495235962381
COL4A4,0.045736729483600365,-0.017102237784627283
TAC1,-0.011911069272234676,-0.059843245642268804
RARRES2,0.0019565002057958885,-0.06442559876757036
FGF7,0.009587559911861188,0.004853206010721889
HBEGF,0.0994326630074013,0.08094052852015486
CSF3,0.09063181511041514,
PI3,0.016124765598429684,
PCSK1N,-0.021767191988762907,0.06367002128834863
NTS,-0.003555838891296294,-0.019537318661153387
SFRP1,-0.02010235819743951,0.012892063985940182
CXCL13,-0.01992169369250383,
MICA,0.01764030398886146,0.013561493162248323
TG,-0.03283930041946157,-0.016503205720622468
ADA,-0.03455734518130624,-0.004033411724762378
LAMC3,-0.05955896822476027,-0.009265735249793516
CCL7,0.029849847606919735,
NGF,-0.015162557852502955,
TNFSF15,0.09356656018682448,
HMGB1,0.016219581323787542,0.022467058934958782
ITGB3BP,-0.034526390140342596,0.016693667704665086
AANAT,0.06836576332568899,-0.014841429349590212
RELN,-0.044907065578436135,0.019354077228583257
IL15,0.07464158954471713,-0.001110554657965428
BSG,-0.03507229963640026,0.06413507979601447
ADAMTS3,-0.0642712644061904,0.0029321147933036805
CD34,-0.05021355445320152,0.03525593450263337
PLAT,0.0077387994066295245,0.06600254227948053
LTA,,-0.014293843182488128
CKLF,-0.017230164973398975,0.015292283115893037
CD24,0.007059204730862326,-0.05231915731716786
HSP90AA1,-0.02979958249077404,-0.002866232663779527
BMP4,-0.03419614455283756,-0.04099889314646883
SCGB3A1,-0.020984280800787004,
IGFBP4,0.03356048845939353,0.006395054230554494
RSPO4,0.005640457282054125,7.114066280799023e-05
LEFTY2,-0.017041441580039524,-0.025957030076660784
ANGPTL2,0.015715951707564603,-0.013973419498423982
LRIG2,-0.015139328204948732,0.01004745147312819
ICOSLG,0.07012281447875827,-0.004230263868892391
WIF1,0.006757678122581963,-0.012828817623801378
NPPC,0.023534983694186874,-0.02502494699716384
LYZ,-0.023643886955052637,0.03690334620293013
EREG,0.0805138771837398,
SPTAN1,-0.03377810050294942,-0.07736915408212462
LIPC,-0.02344824073456183,0.027061084498829976
COL8A1,-0.02329488968165487,0.04920078642972026
GSTM2,-0.014033362148011815,-0.0395257234174093
SPX,-0.012988529080961358,-0.041856974705319655
MFGE8,-0.017880873530527912,0.04725526050628451
TGFA,-0.07164495431694794,0.0213621709089334
SLIT2,0.07213562534186294,-0.04278122854034424
PLTP,-0.020072757043771074,-0.04676255667705333
APOD,-0.08383809139913677,-0.07471977642387022
B2M,0.034573541578077474,-0.03343311098568705
OMG,-0.035171094009379844,-0.09664564224154046
CXCL3,0.10064501183771887,0.0677165380327719
CXCL10,-0.04801737310522771,-0.011983081554404515
RSPO3,-0.007691934610961202,-0.02510896007336929
CORT,-0.002621972021622292,-0.012471557371534926
NCAN,-0.019857497038579253,0.08587384773646521
PRG4,-0.01678884583128462,-0.021245591363050893
ZG16B,,0.013130578956747014
TGM2,0.09243293146070804,-0.03569873910684575
VEGFC,-0.025843597020083073,-0.030583634703440027
WNT6,0.04137378006130043,0.04063421718289486
NRG4,-0.00833169151237862,0.06649834624380824
PMCH,,-0.01662460900594036
COL9A1,-0.05854797043181934,-0.021156692825879862
GDF11,-0.004048693171529403,-0.031178708417792547
SORBS1,0.020271154152736778,0.0017985358947483145
DLL1,-0.04827255369559627,-0.050339266531880825
TLN1,0.03896949870785725,0.04446632637520731
COL2A1,0.009250656672258365,
SHH,0.06421598937943326,0.0146653195147082
PON2,-0.04602349110133594,0.11218855284242983
ICAM5,-0.039766618211068624,-0.02157918073814741
HPX,-0.04253964533643319,-0.022288892184902584
SFRP2,,0.011068838780349777
CFC1,,-0.014293844046338908
CD70,,-0.004338957383071689
HP,0.10824739774257452,0.01841448714758705
CXCL2,0.04694120104029666,0.04956434925228462
NPPB,,-0.012516271158857322
CCK,-0.05716848442028448,-0.08371542714634604
SEMA6A,-0.037419659557314945,0.013865387760181742
IRAK4,0.0469487902203923,0.018287864781494533
GSTP1,0.02420712520977001,-0.030684373503130573
VCAM1,0.039762293698244015,0.0023464348809312625
NXPH3,0.032759732845531526,-0.019538627399889708
MTMR4,-0.012635562873590175,0.01964679946312754
LAMC2,,-0.01575658902140736
IL10,-0.04648227024209915,-0.007247444306222371
SEMA4D,0.03150184189855191,-0.05230980288731112
TRH,-0.014756203311998938,0.03266543268886585
SEMA6D,0.0067066310662701354,0.043411928437670146
CEL,-0.02911245203031456,
PDCD1LG2,0.02203417782408791,0.0010525330342906869
SPINT1,-0.03935922371080684,-0.016921511002446852
CTHRC1,-0.018090149484111813,0.03067732635127477
PODXL,-0.031102205231237887,0.0514597667162426
JAM3,-0.010377502039415695,0.011792821521917867
TGFB2,-0.028838405095551838,-0.02438013438100165
COL18A1,-0.03155498962122285,0.046985014246346074
NODAL,-0.03554023936419091,
INHBB,0.03920539647449582,0.009721587306943386
ARF4,0.03575922691284206,0.03343173304412664
CXCL14,0.013534883992508755,0.06755504445267839
LIF,0.11985076387145258,0.03998408387278769
MMP1,-0.014756200092975747,
MATN1,,-0.012673465709954227
ADAM28,0.014736598837750154,-0.04978899132034789
TCN2,-0.03606656247636125,0.001810827241955224
THPO,,0.028911807816710697
CUBN,-0.02723689397588823,-0.02005173531923466
TIMP3,-0.03747673541258283,0.009199394227812635
PIGF,0.020131504028067074,-0.02000269029161598
CRH,-0.01499498897671269,-0.019950993351102387
BDNF,0.06025895207754477,0.03221278606509798
CCL5,0.0615566094213195,-0.00035867447262926636
GAD1,-0.00855419487904061,-0.10877960762649345
COL14A1,0.07107895741835607,-0.007774262796207716
HLA-A,0.010223511783886603,0.020304091191857044
FGF18,0.015651126763385946,0.0667364599566693
ADM,0.06506919872647571,0.07573086285072436
GNAI2,-0.06822104976210068,-0.011298911928047837
