,UKF248,UKF266,UKF269,UKF296,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.017845834106080462,,,,,,0.05251583126080759,
BMP1,0.018357370706010647,0.04441757894943094,-0.04021023357046726,-0.041448251351167364,-0.01378357638447586,-0.0523130697607008,-0.06998186566013287,0.030704144685295382,-0.003664889161878382,-0.03596617813129489
NDP,0.027218532511595284,0.024222309515785183,-0.0005090033644758215,-0.018726205793251408,0.06270443584596812,-0.009377472857012672,0.03649750074957069,0.005799827073742564,-0.009567146619915631,0.03213385969460795
TNFSF18,-0.020877102814570003,-0.013633040820821597,-0.026500527900908538,,,,,,-0.029959410098520715,-0.030335019044847946
RTN4,0.041963834727003546,-0.018369740930216507,0.12535365483285923,0.01694960823465082,-0.10635435202188959,-0.020179772021132514,-0.016122147660669467,0.026454198772717177,-0.04454182154931538,0.04098359998885948
HEBP1,-0.009706542443143533,0.012744768873450706,-0.0647070871382709,0.04172616257121955,-0.013412321194664205,0.03309973899912726,0.02175918263224918,0.03309454320308902,-0.0035090333330997803,-0.010611650225079428
WNT7B,0.017149202578852784,-0.03758287974679151,0.11618969173593585,-0.011083478311619481,-0.051675559262633106,-0.0067614987083647795,0.022240413652628976,0.023337592010183986,0.05264504812563918,-0.056999096047478374
PTMA,-0.008721192298323546,0.026886883799166025,-0.04592982436875203,0.06276984504492045,0.04847835690617799,-0.07873806634261751,0.058923330119444964,0.04398313111221889,-0.01870114213359507,-0.016508260517606076
FASLG,,,,,,,,,-0.015403995322657663,
CEACAM1,-0.020060544450266223,,-0.03487318536038512,,-0.038912991984647975,-0.01876378603025162,-0.015175139175628113,-0.018811727312809272,-0.021432397056378408,
PDAP1,-0.016375440228140775,0.007950473351949497,-0.0865578899693793,-0.018755355916956123,-0.032869497685479775,0.04798413740688791,-0.007784393467153768,0.005523220877289071,-0.02179036227645801,-0.0725030183664741
QDPR,-0.08027706873763302,0.006908570415554907,-0.008689078222393596,0.08345826083657547,0.003695391775341186,0.03179563153885951,0.05842625087835529,-0.0054388833400212475,-0.007820848126176227,-0.0005453512710545418
POMC,0.0013949711185008507,0.0065837549057871335,-0.026497039721629357,0.010065738299640059,-0.05477071935874469,-0.023283034595439032,0.05132828035864241,0.019137445757500576,0.0513290373955946,0.03386145894999762
CCL18,-0.011445648487409504,,,,-0.03336585626062296,0.04274401137470931,-0.0370566849748233,-0.04643794394169321,,
CCL17,,,,-0.013718239140942196,,-0.013311997995691004,-0.02190626608666587,,-0.013961991589104657,
VEGFD,0.04471591412488418,,0.021816587898711035,-0.010062494310384732,-0.03759036675858424,,0.03753785303795224,,,
TNFSF13,0.054554367393518675,-0.013221205583450933,,,,-0.02554372466095605,-0.007114258448947469,0.01561055423850062,-0.022749899934359042,-0.002560050866428064
WNT5A,0.06546284270251154,-0.030095102423875125,-0.07311094801353811,-0.058624993417885164,0.018149637459541547,0.07753667169693633,-0.026136028075910634,0.045975634057577305,-0.01564492207038106,0.05241942446855395
CXCL8,0.06631394359898336,-0.018806307426228883,-0.046463517068365816,-0.009370632233628743,-0.1335345228873011,0.01964739653607977,-0.06954275536743575,-0.054582577492758196,-0.03372089228736875,0.0008792720002015342
GRN,0.06494366166554386,-0.04986769619249069,-0.08603517465679791,0.0016163292103521917,0.03700641826855095,-0.04179655522599306,-0.04354824284973836,0.018660682703910962,-0.03153428109171356,0.05671787403855135
MIA,0.03944572635887702,0.11529478644042769,-0.02347348355912893,-0.01144396813649277,-0.033850751273906556,0.06639774708586665,0.1119994602341046,0.02832903490071321,0.02084307324830228,-0.04369307567805208
COL4A4,0.06672592773024581,-0.012579392994292768,0.02551991628795373,-0.019224956360712902,,-0.009720820760431287,0.08259931933857355,0.02185881652072688,0.0008309916686949209,0.07475115142296312
TAC1,0.04484201840959283,0.041745764243839266,0.07262928598086227,-0.052296959201138665,,,,0.012554304643890018,-0.01835445765893878,-0.015831689586573994
RARRES2,-0.025280730766066305,-0.027367710367047167,-0.08527611842157061,-0.014125428833800642,-0.07429480984450355,-0.005590381015816508,-0.003545171194707645,0.05188358841165334,-0.033877289629745504,-0.14174129561798185
