,ZH881inf
BMP1,-0.06833989017768066
NDP,0.016068483756836317
TNFSF18,0.13935620197928286
RTN4,-0.024762793729220665
HEBP1,0.14658838232616095
WNT7B,0.06757544555590925
PTMA,0.003424928198648951
PDAP1,-0.040440959948232616
QDPR,-0.04079576755800701
WNT5A,0.015303071749220652
CXCL8,-0.04850803272287554
GRN,-0.03011356480568539
TAC1,0.10895384507208014
RARRES2,-0.03789725337754913
FGF7,0.1082853910367839
HBEGF,-0.03838827799404052
CSF3,-0.02750916954975969
PCSK1N,0.02986763915203781
SFRP1,-0.1175699917227811
MICA,-0.04576196755641838
ADA,-0.07512656666010417
LAMC3,0.003722206415416759
HMGB1,-0.07280143171308806
ITGB3BP,-0.01939818976323846
RELN,0.03528393959792394
IL15,0.07677784120247808
BSG,-0.04034040404943453
ADAMTS3,-0.03345088575673703
CD34,-0.046232158247490635
PLAT,-0.057036784525448206
CKLF,-0.0008436558322077566
CD24,0.0021351845426993248
HSP90AA1,0.03579052924376255
IGFBP4,-0.07836317365921865
LEFTY2,-0.045049601176911154
ANGPTL2,-0.025455678439678463
LRIG2,-0.09373317977268117
ICOSLG,-0.005893223861073015
WIF1,0.004397969566202871
NPPC,-0.029890380374255437
LYZ,-0.059256601997190655
SPTAN1,0.09832441940144884
COL8A1,-0.06275074145963976
GSTM2,-0.010636329094432056
SPX,-0.010032754610719851
MFGE8,0.03920702439961232
TGFA,-0.04272492815582354
SLIT2,0.01884703148247643
PLTP,-0.049860052672561044
APOD,-0.12021420624998994
B2M,-0.12534819160030525
OMG,0.05596106955962897
CXCL3,0.010172858236527076
RSPO3,-0.050865007622082466
CORT,-0.056244943432952985
NCAN,-0.04257689534063729
TGM2,-0.030890406052665395
GDF11,0.00887618469599731
SORBS1,0.009115807851560567
DLL1,0.04230870444932399
TLN1,-0.05040019074051681
PON2,-0.016082951365823786
ICAM5,-0.06159907262076997
SFRP2,-0.0502063096204571
CXCL2,0.1711408632285187
CCK,0.02959473348608791
SEMA6A,0.028785304278393903
IRAK4,-0.04007928781182669
GSTP1,-0.0712229649353175
VCAM1,-0.04010034607950064
NXPH3,0.04101324604517794
MTMR4,0.03998279423209527
SEMA4D,-0.02275240791535356
TRH,-0.030607517255414315
SEMA6D,-0.05075499468202145
PODXL,-0.059982173383830224
JAM3,-0.02434722003238902
TGFB2,-0.06625414715162349
COL18A1,-0.03618578171689545
INHBB,-0.09349188073802138
ARF4,-0.050309620328309525
CXCL14,0.0822962979009648
LIF,0.0063479723084095205
ADAM28,-0.07997362773959547
TCN2,0.004382978813113174
CUBN,-0.03818885774905809
TIMP3,-0.05330314618735141
PIGF,-0.024601183995399088
CRH,-0.00697145129160925
BDNF,-0.032991708753281355
CCL5,-0.04396496164683939
GAD1,-0.05671141315057978
HLA-A,-0.13197704864758225
ADM,0.04664488319358239
GNAI2,-0.07839065416820569
NUCB2,-0.019089416039934685
CXCL1,-0.054699594345788694
VCAN,-0.014063493248242204
PTPN6,-0.01917410011861112
PTGS2,-0.002868177709546267
CD58,0.04765704410643825
TNFSF14,-0.036947292027199034
CNTN4,0.02848910111428585
MFNG,-0.028674541393898464
ICAM1,0.09355937630216568
PROS1,0.05875754077544736
CLCF1,-0.06974738108508723
PSAP,0.04961493070527294
EFEMP1,-0.04515634054882068
C1QTNF1,0.07885607699473945
ALB,-0.037778736040578416
EFNA3,-0.053283317390884814
DRAXIN,0.0069342581562693096
NPTX2,-0.045646654894565375
FGF11,0.01862060995509515
CD59,-0.12396357700284359
COL9A2,-0.05104885321576506
DLL3,-0.014715372123345912
LIN7C,0.011101139802093365
PSPN,-0.050536453057450144
ANGPT1,-0.0010219420984448964
PNOC,0.06318839084634979
L1CAM,0.16680595740935658
PSEN1,0.10007334321779364
CALM2,-0.041070700725348214
CLEC2B,-0.022437145740804028
NTNG1,-0.045049761448149116
LRIG1,0.05983548559511075
CPAMD8,-0.036525613315485934
NPY,0.006099421216998754
MMP2,-0.035879009211403086
CSF1,-0.023942756643692983
SEMA4C,-0.056610429079321796
ICAM2,-0.06751771174393996
SYTL3,-0.045761938875575676
IL1A,0.07082029363655651
