,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF313,ZH1019T1,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,0.008416814553985604,
BMP1,0.014647773483944821,0.041978436891294275,0.11518798221760106,0.03776886563808412,0.042211113356392986,0.02556920677776971,0.17461908812772722,0.09489367264685615,0.0803384073821239,0.2103330140236222,0.14238894808803237
NDP,0.03166710915000725,0.002245299256301323,-0.029655175997645597,0.0316583825792611,0.004484498793877131,0.026356250354636932,0.125514002231933,-0.0796273645378601,-0.0721289183227841,0.0009883613825476978,-0.03846068641426509
TNFSF18,0.007011763143118564,-0.02636383671939816,,,,-0.02037910638588087,,0.06935777688285678,,0.07724560050501206,0.026332897872515557
RTN4,-0.02482255464172766,-0.00016483732958939165,0.005836362792188601,-0.029640496199836722,-0.06518227710090226,0.00010154865621659285,-0.1115141046525891,-0.03118121539639603,0.00419387709219009,-0.04080288564847078,0.008496112407814192
HEBP1,0.09887988807532824,0.062321348427370325,0.08904120395093794,-0.04002341814371131,-0.07369886184052213,-0.02750544639512504,-0.001736136535948418,-0.07205601992606757,-0.010036363780132465,0.056967556877148044,-0.04430112163266986
WNT7B,-0.035118776495390004,-0.016376398123935414,0.04629916014826322,-0.023719160235872862,0.041641707629571784,-0.0410269491497791,0.06013465375129847,,-0.02365267470866465,0.09261885028412521,-0.04377540860257482
PTMA,0.052784043932311966,-0.010405005115965182,0.007318530652219363,0.006640792925661556,0.00960580638837984,0.01744118952616949,0.18257914980042514,0.029181339856842875,0.01594467835535683,0.15105952155102922,0.04378667955025493
FASLG,,,,,,,,,,-0.027922866577465278,
CEACAM1,-0.015103915895409221,-0.012567900586098201,,0.0054426729619991895,-0.02487525409039298,,,-0.03565900279063562,-0.015698624201556464,0.14365877312888864,
PDAP1,-0.027116239073568523,-0.04649657310218303,-0.05785037073707841,-0.047773335181580334,-0.023198789971841056,0.03830824912586072,0.1690062609806983,0.06856112694045155,-0.0031817231488814428,-0.02600158621141872,-0.10602653750971747
QDPR,-0.055816056654738065,-0.02305071248396428,0.07610378879015668,-7.624863961943948e-05,-0.020334536510365833,0.006673631565398428,0.030144511737117803,0.017967861525764784,-0.02402792332015665,-0.08697764949041499,-0.09137487262841372
POMC,0.0864871610750978,-0.022331154225990937,,0.020014558301602592,0.03574330621929157,-0.013967213378110258,0.07985671641833365,0.11420470305476763,0.017912028860574202,0.028558122874097706,0.04793058158258289
CCL18,0.0187528733764741,,,,,,0.09741822096977475,,-0.025100291598921663,,
CCL17,,,,0.055823522872622454,,,,,,-0.025308942266739087,
VEGFD,-0.018848265943876234,-0.018000996099657676,,-0.017686396744397294,-0.02379923472260819,,-0.0018641684603674133,-0.008276092193338264,,,
TNFSF13,0.08172129558482287,,,-0.010950153876666122,,0.07319470011502809,,,0.023743049402925733,0.20110781995441884,-0.03005857121169313
WNT5A,-0.04588083541530159,0.015050313013884705,0.007138382544173217,-0.0017079683402955975,0.09324440462093565,0.0022398924618569804,0.03079730468946238,0.01800382720579332,0.033078493410149006,0.050056172636403724,0.012330576216389702
CXCL8,-0.058462007962752416,0.10226686381832858,-0.06101937616908461,0.035085621950010346,-0.07486639640137445,-0.028112271121447638,-0.00918377947011102,0.14783393081293306,0.005170011305169679,-0.039831216583049285,0.0007381190443977968
