,UKF248,UKF255,UKF259,UKF260,UKF275,UKF296,UKF313,ZH1019T1,ZH1019inf
BMP1,-0.03829819812894159,-0.046417242641956576,-0.011928261324603213,0.03228669172500835,0.022273192366828568,0.06467303301621245,-0.009024079576855106,0.07652000231783082,0.057024876544035145
NDP,0.03811747747634815,-0.009186118488972878,-0.01938208681851703,0.05755696786829876,0.004335983092762323,0.008022670609776468,0.06353478217788253,0.009103063134527382,0.11183892302513956
TNFSF18,0.07471879976616547,,,,-0.018062788959244975,,,0.010915160088130852,
RTN4,0.040470100846201604,-0.08970456000699109,0.0013804806953407777,0.032560163908840076,-0.05645004220387984,-0.014636877435401452,0.030297048154383235,0.06333951220552324,-0.08028327951671745
HEBP1,0.06812122759101749,-0.013644566825280657,-0.013395062857448993,0.07100249738718532,-0.012344758999041071,-0.01482085816470264,-0.06785786359887193,0.05492273390478938,0.040871348723679486
WNT7B,0.03327375259554861,0.017410323904860393,0.06305211442345031,-0.02149611162447411,0.012586621321881099,-0.02089145512341684,-0.042448841950565794,,0.11607077965435189
PTMA,-0.019423065958271743,-0.039636737274368936,0.08064820755721863,-0.004048209005613623,-0.09988225189505433,-0.04179123863533073,0.008746332735691392,0.12495033271800471,-0.07719113481827414
CEACAM1,-0.0025625379933578944,,-0.03720149458159463,-0.01752850809792634,-0.01839192601190919,,,0.14380952526516552,0.038672538877298025
PDAP1,-0.03480327912490409,0.028333225753531033,0.02495007859810649,0.0347746468227108,0.016747741700413026,-0.022841994533545105,0.059899860421851546,0.00615961201686776,0.05820981737210713
QDPR,-0.043474518552267354,0.020418868599987813,-0.022432647871176215,-0.03289607929330918,-0.02846209511146721,-0.06138149098211932,0.04268689702347401,-0.04455722418161578,-0.13082129608682036
POMC,0.04137549720183023,,0.019311933833604685,-0.035271503296755734,0.005889279511772283,-0.022821777987040368,0.06292865667244586,-0.01227226820276808,0.056484397344399
CCL18,-0.024574384661306226,,,,,,0.0013103163859238072,,-0.031054258313180788
CCL17,,,-0.0021701082051323165,,-0.022527814549169235,-0.003308815000863229,,,
VEGFD,0.06018552190510925,,0.013654995185813389,0.004623053656378249,0.021462506690750366,0.04177482288409835,-0.015492195504408167,0.040811289753842385,
TNFSF13,0.05627023210189726,,0.03571137633532417,,,,,,
WNT5A,-0.041818415299866026,-0.05169568429225776,0.0028921428371503663,0.02471553502068757,0.00835524762815084,0.009460140159828436,-0.023442382601106468,-0.006614023380682029,0.09562785043616383
CXCL8,-0.02467826103060963,0.08443824058386533,0.08889624051448013,0.07219821751033986,0.05309950307594227,0.014494543218202644,0.0011533220392269236,-0.057478474119557504,-0.02863729742366003
